[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[IEEE] 2026-4-3 | Simulation of Energy Output From a Charged Capacitor With Conductive Near-Electrode Layers
[IEEE] 2026-4-3 | Rhythms of Recovery: Patient-Centered Virtual Reality Exergame for Physical Rehabilitation in the Intensive Care Unit
[IEEE] 2026-4-3 | A Crosstalk-Free GaN-on-Si Power Integration Platform for Integrated Half-Bridge Circuits and Bidirectional Switches
[IEEE] 2026-4-3 | System Guidelines for Impact of PRS Inter-Satellite Interference in NTN PNT with LEO Constellations
[IEEE] 2026-4-3 | AI-Enabled KPM Granularity Control xApp for O-RAN Digital Twins
[IEEE] 2026-4-2 | Digital Twins Reimagined: Zero-Day LLM-Powered Moving Target Defense In-Depth for Real-Time CPS
[IEEE] 2026-4-3 | Toward Simultaneous Neurostimulation and Prosthetic Control: Real-Time Filtering of Amplitude-Modulated Stimulation Artifacts from Implanted Electrode Signals
[IEEE] 2026-4-2 | Disentangled Graph Prompting for Out-Of-Distribution Detection
[IEEE] 2026-4-2 | A Quantum-Resistant and AI-Resilient Real-Time Keystroke Protection Framework with Blockchain-Backed Decentralized Identity
[IEEE] 2026-4-3 | Blind Radio Map Construction via Topology Guided Manifold Learning
[IEEE] 2026-4-2 | A 400-kW Integrated Modular Machine Drive for Electrified Transportation: Architecture, Thermal Management, and EMI Filtering
[IEEE] 2026-4-3 | Data Semantics for Earth Observation: A technical guide to ontology-based integration for environmental data monitoring
[ACM] 2026-4-2 | Key Instance-Based Spatio-Temporal Network for Group Activity Recognition
[IEEE] 2026-4-2 | Artificial reference-based terminal-free NMPC for autonomous parking among irregularly placed vehicles
[IEEE] 2026-4-2 | In-Sector Direction-of-Arrival Estimation Using a Switched Receive Array
[IEEE] 2026-4-2 | Airborne Capacitive Micromachined Ultrasonic Transducers in Pitch-catch Mode: Modelling and Characterization of the Measurement Chain
[IEEE] 2026-4-2 | Federated Learning with Residual Seasonality Adaptation (FedRSA): Robust Personalized Building Energy Forecasting in Heterogeneous, Data-Constrained Environments
[IEEE] 2026-4-2 | IEEE VR 2026 Best Dissertation Award
[IEEE] 2026-4-2 | A Systematic Review of Electric Vehicle Supply Chains: Challenges and Research Agenda_supp1-3679958.pdf
[IEEE] 2026-4-2 | FD-TE Diagnosis: Enhancing Microservice Fault Diagnosis With Frequency Domain Features and Centrality-Aware Time Encoding
[IEEE] 2026-4-2 | A Comprehensive Framework for Assessing Power System Reliability in Taiwan: Global Insights and Local Challenges
[IEEE] 2026-4-2 | KMoPSO: Advancing Self-Driving Networks with a Knowledge-Driven Multi-Objective Particle Swarm Optimization Algorithm for Traffic Engineering_supp1-3679812.pdf
[IEEE] 2026-4-2 | Development and Modeling of a Soft Array Actuator for Elderly Assistive Robotic Exoskeleton_supp1-3675670.pdf
[ACM] 2026-4-2 | A Real-Time Profiling Method to Detect Attacks on IoT Networks Using LSTM and 1-DCNN
[IEEE] 2026-4-2 | EMO-Debias: Benchmarking Gender Debiasing Techniques in Multi-Label Speech Emotion Recognition
[IEEE] 2026-4-2 | Improving Multimodal Speech-To-Slide Alignment for Academic Lectures with Vision LLMs
[IEEE] 2026-4-2 | State-of-the-art Embeddings with Video-free Segmentation of the Source VoxCeleb Data
[IEEE] 2026-4-2 | Audio Aesthetics Prediction System QAM16k Based on Pre-trained Audio Encoder
[IEEE] 2026-4-2 | Speech Synthesis From Continuous Features Using Per-Token Latent Diffusion
[IEEE] 2026-4-2 | An Effective Strategy for Modeling Score Ordinality and Non-uniform Intervals in Automated Speaking Assessment
[IEEE] 2026-4-2 | Personalized Federated Learning with Fuzzy Clustering for Dysarthric Speech Recognition
[IEEE] 2026-4-2 | The T12 System for AudioMOS Challenge 2025: Audio Aesthetics Score Prediction System Using KAN- and VERSA-based Models
[IEEE] 2026-4-2 | ULTRAS - Unified Learning of Transformer Representations for Audio and Speech Signals
[IEEE] 2026-4-2 | Pedagogical Insights, Impact, and Recommendations from User Trainings in Scientific Computing Under the National Supercomputing Mission
[IEEE] 2026-4-2 | ScaleFree: Dynamic KDE for Multiscale Point Cloud Exploration in VR
[IEEE] 2026-4-2 | Domain-Informed Eye Movement Biometrics with Practical Evaluation for VR/AR User Authentication
[IEEE] 2026-4-2 | HAMP-Net: GPU-Accelerated Hierarchical Adaptive Mixed-Precision Training with Gradient Compression for Image Classification
[IEEE] 2026-4-2 | AutoTuneGPU: An Energy-Aware Autotuning Framework for Machine Learning Workloads on GPUs
[IEEE] 2026-4-2 | BlanchTouch: Bringing Fingertip Blanch Detection into Mixed Reality for Touch Input on Flat Surfaces
[IEEE] 2026-4-2 | Tuning PLGA Properties for Drug Delivery Optimization through Computational Simulation
[IEEE] 2026-4-2 | Accelerating Robust Graph Representation Learning: A High-Performance Dual-Stream Contrastive Framework
[IEEE] 2026-4-2 | An Improved Spaceborne SAR Range Ambiguity Separation Method Based on Phase Coded FM Waveforms
[IEEE] 2026-4-3 | A 1024-Ch 583-nW/Ch Spike-Sorting SoC With Sparsity-Aware Spike Detection Scratchpad and Ultra-Low-Leakage Dual-Voltage 5T-SRAM for 16K-Template Clustering
[IEEE] 2026-4-3 | Real-Time Human Activity Recognition on Edge Devices for Industrial Applications
[IEEE] 2026-4-2 | MACS: LLM-Enhanced Multi-AUV Collaborative Search Scheme via Multi-agent Reinforcement Learning
[IEEE] 2026-4-3 | Dynamic Segmentation Effect of Stage Performance Based on Dilated Convolution Supported by Embodied Expression Theory
[IEEE] 2026-4-3 | Winding Loss Model of Vortex-style PCB Litz Windings
[IEEE] 2026-4-2 | High-Gain Wideband Integrated-Feeding Filtenna Enabling Frequency-Interference-Resilient Heterogeneous IoV Network
[IEEE] 2026-4-3 | Distributed Interval Estimation for Continuous-Time Linear Systems Based on Robust Observer and Interval Analysis
[IEEE] 2026-4-3 | Optimized PFM-IPSM Hybrid Modulation and Fast Control Design for CLLLC Resonant Converter Enabling Wide-Gain Operations
[IEEE] 2026-4-3 | Corrections to “Adversarial Learning on Incomplete and Imbalanced Medical Data for Robust Survival Prediction of Liver Transplant Patients”
[IEEE] 2026-4-2 | Bridging Research and Industry: ComSoc's Research Collaboration Pitch Sessions Spark High-Impact Collaboration
[IEEE] 2026-4-2 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes
[IEEE] 2026-4-2 | PhysicsHap: A Modular Haptic Interaction Framework for Enhancing Student Learning in Immersive Virtual Physics Experiments
[IEEE] 2026-4-2 | Just Noticeable Difference Measurement for Point Cloud Compression: A Benchmark Dataset and Prediction Network
[IEEE] 2026-4-2 | The Methods of History
[IEEE] 2026-4-2 | A Convolutional Autoencoder and Adjoint Sensitivity-Enhanced Neuro-TF Framework for Parametric Modeling of Microwave Filters
[IEEE] 2026-4-2 | Knowledge-Enhanced Industrial Fault Detection via FMEA Graph Learning and Cross-Modal Feature Alignment
[IEEE] 2026-4-2 | PRIME: Novel Prompting Strategies for Effective Biasing Word Recognition in Contextualized ASR
[IEEE] 2026-4-2 | DiffRhythm+: Controllable and Flexible Full-Length Song Generation with Preference Optimization
[IEEE] 2026-4-2 | Long-Form Fuzzy Speech-to-Text Alignment for 1000+ Languages
[IEEE] 2026-4-2 | LLM-Based Dictation Detection from Doctor-Patient Conversations
[IEEE] 2026-4-2 | Towards Scalable and Robust Multilingual ASR for Indian Languages with MixLoRA-Whisper
[IEEE] 2026-4-2 | AudioLens: A Closer Look at Auditory Attribute Perception of Large Audio-Language Models
[IEEE] 2026-4-2 | DeCRED: Decoder-Centric Regularization for Encoder-Decoder Based Speech Recognition
[IEEE] 2026-4-2 | Masked Self-distilled Transducer-based Keyword Spotting with Semi-autoregressive Decoding
[IEEE] 2026-4-2 | Evaluation of LLMs in Speech is Often Flawed: Test Set Contamination in Large Language Models for Speech Recognition
[IEEE] 2026-4-2 | Multimodal Analysis of Speech-Gaze Fusion in Mixed Reality for the Detection of Neurodegenerative Disorders
[IEEE] 2026-4-2 | Trust-Based Framework for Securing Decentralized Federated Learning against Malicious Clients
[IEEE] 2026-4-2 | Analyzing Communication Performance From Testbeds to HPC Systems: A Lab Course
[IEEE] 2026-4-2 | Evaluating Replay Techniques for Asynchronous Task Handover in Immersive Analytics
[IEEE] 2026-4-2 | α-Forest: Proxy-Cloud Enabled Efficient and Secure Community Search over Encrypted Bipartite Graphs
[IEEE] 2026-4-2 | A Two-Phase Integrated Sensing and Communication-Assisted Covert D2D Communication Framework
[IEEE] 2026-4-2 | Lightweight Ensemble Framework for Reliable Multi-Fault Detection in Cyber-Physical Systems
[IEEE] 2026-4-2 | SnortML+: Bridging Rules and Learning for Zero-Day Defense
[IEEE] 2026-4-2 | USAD: Universal Speech and Audio Representation via Distillation
[IEEE] 2026-4-2 | Time-Frequency-Based Attention Cache Memory Model for Real-Time Speech Separation
[IEEE] 2026-4-2 | IEEE VR 2026 Keynote Speaker Tomasz Bednarz
[IEEE] 2026-4-2 | In-situ XRD Observation of Stress Induced Anisotropy in Vitroperm 800
[IEEE] 2026-4-2 | 2025 IEEE 32nd International Conference on High Performance Computing, Data and Analytics Workshop (HiPCW)
[IEEE] 2026-4-2 | TD3-Based Statistical-CSI Optimization for Stacked Intelligent Metasurfaces in MU-MISO Downlink Systems
[IEEE] 2026-4-2 | GenVC: Self-Supervised Zero-Shot Voice Conversion
[IEEE] 2026-4-3 | Risk Assessment Factors, Anxiety, and Cyber-incident Experiences of Cybersecurity Students
[IEEE] 2026-4-3 | Exploring Tryptophan as a Possible Accelerator of Planarian Regeneration
[IEEE] 2026-4-2 | Multi-Axis Accelerometer Based Evaluation and Classification of Misalignment, Soft Foot, and Looseness Faults in Induction Motors
[IEEE] 2026-4-3 | Embodied Intelligence-Enhanced Anti-Jamming Resource Allocation for Low-Altitude Communication Networks
[IEEE] 2026-4-2 | Multi-Similarity Preserving Semantic-Aware Hashing for Cross-Modal Retrieval
[IEEE] 2026-4-3 | E-Band Automotive Radar Array Antenna in Multi-Layer Waveguide Technology With Reduced Sidelobe and Cross-Polarization Level
[IEEE] 2026-4-2 | Multimodal Image Representation Learning with Limited Visual-Tactile Data
[IEEE] 2026-4-3 | MDbFusion++: A Visible and Infrared Image Fusion Framework Capable for Motion Deblurring
[ACM] 2026-4-2 | ASSETS 2025 Conference Reflection
[IEEE] 2026-4-3 | The Applications for Deep Unfolding Techniques in MIMO Wireless Communications Systems
[IEEE] 2026-4-3 | A Simple and Fast Unified Threshold Fault Diagnosis Method for DC Microgrids
[IEEE] 2026-4-3 | Zero Trust Architecture for Edge AI Security: A Framework for Distributed Intelligence Protection
[IEEE] 2026-4-3 | Depth Cue Conflicts Between Real and Virtual Objects Disrupt Visually-Guided Reaching in Augmented Reality
[IEEE] 2026-4-3 | Meta:
                    <i>Graph-encoded Printed Circuit Board Datasets for Component Classification with Graph Neural Networks</i>
[IEEE] 2026-4-3 | Probabilistic Multi-Objective Design of Lightning Protection for Complex Power Distribution Networks
[IEEE] 2026-4-3 | CMP-LSTM: Accuracy-Driven Column-Wise Maximum Pruning for Efficient LSTM Acceleration
[IEEE] 2026-4-3 | Fast Estimation of Nonlinear Interference Noise in Distributed Raman-Amplified Few-Mode Fiber Links
[IEEE] 2026-4-3 | Multihop Routing for Maximum Semantic Spectral Efficiency
[IEEE] 2026-4-2 | NLP-Driven Knowledge Graph Construction From Informal Text Using Large Language Models
[IEEE] 2026-4-3 | Attentive Dilated Convolution for Automatic Sleep Staging using Force-directed Layout
[IEEE] 2026-4-3 | Exploring Dataset Availability and Methods for Enhanced Automated Fault Detection in Induction Motors
[IEEE] 2026-4-2 | A Reconfigurable Multi-Mode Readout IC for Non-Conductive and Capacitive Sensing With 33.9-dB SNR on 6.5-inch AMOLED Panels
[IEEE] 2026-4-2 | Title Page iii
[IEEE] 2026-4-2 | Introduction to the 17th Student Research Symposium (SRS)
[IEEE] 2026-4-2 | Scaling with Multiple Scaling Factors in Time Series Searching
[IEEE] 2026-4-2 | Eliminating Ghost Touches in Self-Capacitance Multi-Touch Sensors via Variable Dielectric Thickness
[ACM] 2026-4-3 | Minimizing Weighted Flow Time
[ACM] 2026-4-3 | Deduplication can Make File Systems Faster
[IEEE] 2026-4-2 | Low-Resource Domain Adaptation for Speech LLMs via Text-Only Fine-Tuning
[IEEE] 2026-4-2 | Dissecting the NVIDIA RTX Blackwell Architecture with Microbenchmarks
[IEEE] 2026-4-2 | Towards Scalable Mining of Temporal Graph Motifs over Large-Scale Transaction Networks
[IEEE] 2026-4-2 | Optimizing BLAS GEMM Kernel Performance: Scalable Multi-Core and Vectorized Design
[IEEE] 2026-4-2 | CHOP: Breaking Anonymity in XR through a Novel and Cost-effective Chain of Privacy Attacks and Differential Privacy-Based Defenses
[IEEE] 2026-4-2 | Does your brain feel virtual touch as a physical touch? Influence of haptics and cognitive workload on touch perception in VR
[IEEE] 2026-4-2 | Invisible Risks in Virtual Reality: Raising Awareness of Profiling and Overengagement through Lecture and Storyboard Interventions
[IEEE] 2026-4-2 | Physics-based Hand-object Interaction via Control Force in Virtual Reality
[IEEE] 2026-4-2 | Avatar-Driven Interaction: Constructing Immersive Education in Virtual Classrooms
[IEEE] 2026-4-2 | L2 Vowel Acquisition Analysis at the Inventory Level
[IEEE] 2026-4-2 | Efficient ASR Domain Adaptation with Long Noun Phrases: Harnessing the Linguistic Characteristics of Japanese
[IEEE] 2026-4-2 | TurboBias: Universal ASR Context-Biasing powered by GPU-accelerated Phrase-Boosting Tree
[IEEE] 2026-4-2 | Beyond Accuracy: Auditing Image Forgery Localization via Scene-Disjoint Evaluation and XAI Faithfulness
[IEEE] 2026-4-2 | Heart–Brain Symbiosis and Neuromodulation: From Mechanism Discovery to Closed-Loop Synergistic Management
[IEEE] 2026-4-3 | Beyond Predefined Clusters: A Comprehensive Review of Clustering Methods for Unknown Cluster Numbers_supp1-3680286.pdf
[IEEE] 2026-4-3 | HSplitLoRA: A Heterogeneous Split Parameter-Efficient Fine-Tuning Framework for Large Language Models
[IEEE] 2026-4-2 | K-Means and Gaussian Mixture Models on Lie Groups: Application to Geometrical Clustering
[IEEE] 2026-4-3 | Design and Fabrication of a Hydrophone with a Dual-Piezoelectric Layer Structure
[IEEE] 2026-4-2 | IEEE Transactions on Radiation and Plasma Medical Sciences Information for Authors
[IEEE] 2026-4-3 | Weakly Supervised Multimodal Fusion of Remote Sensing and Social Media Data for Urban Flood Mapping
[IEEE] 2026-4-2 | IEEE ComSoc Publications
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Systematic Analysis of Global Internet Latency: The Triangle Inequality Violation Perspective
[IEEE] 2026-4-2 | Semi-supervised road extraction with class-aware multi-perturbation cross pseudo supervision
[IEEE] 2026-4-3 | Comparative Analysis of Brushless Doubly-Fed Machines With Different Rotor Structures Applied for Flywheel Energy Storage System
[IEEE] 2026-4-3 | To be Healed or Hacked? - User-Centered Ethical Design for Embodied AI in Mental Health Care
[IEEE] 2026-4-2 | Motion Matching Factor-Informed Foot Kinematics/INS Fusion for Pedestrian Autonomous Positioning Under Complex Gaits
[IEEE] 2026-4-2 | A Bridgeless High Step Down Voltage Gain Based Power Factor Correction Rectifier Fed Low Voltage Low Power Switched Reluctance Motor Drive
[IEEE] 2026-4-3 | Hybrid Genetic Algorithm and Support Vector Machine for Prediction of Student Dropout and Success
[IEEE] 2026-4-2 | STSA-Net: Small Target Sensitive and Adaptive Sparse Network for Infrared Reconstruction
[IEEE] 2026-4-2 | Analytical Time Domain Eddy Current Loss Model for Simple 2D Conductor Geometries and Arbitrary Exciting Waveforms
[IEEE] 2026-4-2 | 2025 IEEE International Workshop on Information Forensics and Security (WIFS)
[IEEE] 2026-4-2 | Towards Secure RISC-V Microarchitecture: Vulnerability Classes and Defenses
[IEEE] 2026-4-2 | Learning Continuous Spatiotemporal Implicit Neural Fields for Unsupervised Video Denoising
[IEEE] 2026-4-2 | Region-Aware MoE Network for Hyperspectral and Multispectral Image Fusion
[IEEE] 2026-4-2 | Data-Driven Band Optimization and Frequency-Aware Modeling in Medical Hyperspectral Image Segmentation
[IEEE] 2026-4-2 | Characterization and Mitigation of Atmospheric Turbulence for Coherent Free-Space Optical Communications Systems
[IEEE] 2026-4-2 | Joint Optimization of Computation Offloading and Resource Allocation in Heterogeneous UAV-Assisted Edge Computing: A Game-Theoretical Approach
[IEEE] 2026-4-2 | Millimeter-Wave Radar-Based Tracheal Respiratory Sound (rTS) Monitoring
[IEEE] 2026-4-2 | Important-Data-Based Attack Strategy and Resilient
                    <i>H</i>
                    <sub>∞</sub>
                    Estimator Design for Autonomous Vehicle
[IEEE] 2026-4-2 | Bridging the Modality Gap: Softly Discretizing Audio Representation for LLM-based Automatic Speech Recognition
[IEEE] 2026-4-2 | The JHU-MIT System for NIST SRE24: Post-Evaluation Analysis
[IEEE] 2026-4-2 | CO-VADA: A Confidence-Oriented Voice Augmentation Debiasing Approach for Fair Speech Emotion Recognition
[IEEE] 2026-4-2 | Omni-Router: Sharing Routing Decisions in Sparse Mixture-of-Experts for Speech Recognition
