[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[IEEE] 2026-3-2 | Deep Networks and Internet of Medical Things for Tracking the Post Surgical Recovery Condition: A Comparative Approach
[IEEE] 2026-3-2 | Automation of Decision Support in Simulation-Based Digital Twins in Manufacturing: A Survey
[IEEE] 2026-3-2 | Brain Tumour Detection Using Quantum Convolutional Neural Networks (QCNN)
[ACM] 2026-3-2 | FedHoG: Federated Homogeneous Graph Neural Network for Privacy-Preserving Recommendation
[ACM] 2026-3-2 | Poster: A Multi-Modal Autonomous Tutoring System for Indian Percussion
[IEEE] 2026-3-2 | MLCIPR 2025 Author Index
[IEEE] 2026-3-2 | Conference Committee
[IEEE] 2026-3-2 | Message from the Technical Program Committee Chairs
[IEEE] 2026-3-2 | 2025 12th International Conference on Software Defined Systems (SDS)
[IEEE] 2026-3-2 | Fusing Quaternion Rotations and Star Operations: A TLSNet-Based High-Precision 3-D Indoor Visible Light Positioning System
[IEEE] 2026-3-2 | IEEE Standard for Electric Traction System for Short Primary Maglev Vehicles
[IEEE] 2026-3-2 | 2025 2nd International Conference of Advanced Technology in Electronic and Electrical Engineering (ICATEEE)
[IEEE] 2026-3-2 | Satellite Coverage Probability with Multi-RIS Deployments under Correlated LoS Conditions
[IEEE] 2026-3-2 | Multi-Expert Genetic Programming based Ensemble for Long-Tailed Image Classification
[IEEE] 2026-3-2 | Adaptive Modeling for Air Quality: A Continual Learning Framework for PM Estimation in Vietnam_supp1-3668935.pdf
[IEEE] 2026-3-2 | Can IEEE Members Be Voted off the Island? [From The Editor’s Desk]
[IEEE] 2026-3-2 | Graph-Transformer for Spatiotemporal Soil Moisture Forecasting Using Multimodal Remote Sensing Data
[IEEE] 2026-3-2 | Modeling and Prediction of Conducted Electromagnetic Interference in Phase-Shifted Full-Bridge Converters
[IEEE] 2026-3-2 | Improvement of deep learning-based reconstruction for MRI using phase-scrambling Fourier transform imaging
[IEEE] 2026-3-2 | Achieving Distributive Justice in Federated Learning via Uncertainty Quantification_supp1-3668474.pdf
[IEEE] 2026-3-2 | Electric Vehicles Energy Consumption Prediction Based on Seasonal Transfer Learning Model
[IEEE] 2026-3-2 | Geometric Model Predictive Path Integral for Agile UAV Control with Online Collision Avoidance_supp1-3668528.mp4
[IEEE] 2026-3-2 | Task Placement Optimization of Redundant Robots Using Reliability Maps under Locked Joint Failures_supp1-3668506.mp4
[IEEE] 2026-3-2 | $\pi$-BA: Probabilistic Neural Bundle Adjustment with Iterative Cycle Optimization for Driving Scene Reconstruction
[IEEE] 2026-3-2 | Hierarchical Trajectory Planning of Floating-Base Multi-Link Robot for Maneuvering in Confined Environments_supp1-3669051.mp4
[IEEE] 2026-3-2 | Sub-6$\,\text{GHz}$ SAR Imaging With Frequency Hopping Toward JCAS Applications in Automotive Scenarios
[IEEE] 2026-3-2 | Lightweight and Personalized Single-Eye Emotion Recognition via CNN-SNN Spatiotemporal Learning and Memory-Inferred Event Features
[IEEE] 2026-3-2 | Comprehensive Review on Vehicle Verification and Authentication Using Blockchain Technology
[IEEE] 2026-3-2 | An Explainable Deep Learning Framework for Predicting Traffic Accident Risk and Identifying Critical Factors Using CNN–BiLSTM–Attention and SHAP
[IEEE] 2026-3-2 | Gait-Triggered Neuromuscular Electrical Stimulation with Unloader Knee Braces: A Feasibility Study
[IEEE] 2026-3-2 | A Design of T/R Module Based on SIP Technology
[IEEE] 2026-3-2 | Analysis of Adolescent Interests for Vocational Guidance with a Data-Driven Decision Support System
[IEEE] 2026-3-2 | Overpressure Effect on Type L IV 36L Tank as a Fuel Cell Electric Vehicle (FCEVs) Using HyRam+
[IEEE] 2026-3-2 | Transformer-based Volleyball AR/VR Intelligent Training System and Tactical Decision Optimization
[IEEE] 2026-3-2 | Artificial intelligence Comparative Analysis Job Role Predicting Resume Evaluation Human Resource Management
[IEEE] 2026-3-2 | Adaptive Load Shedding for Tambora Grid Using Differential Evolution Algorithm
[IEEE] 2026-3-2 | Hivanta-Animal Voice Recognition Using Machine Learning
[IEEE] 2026-3-2 | A Fine-Grained U-Net Approach with Attention Mechanism for Segmentation of Martensite and Retained Austenite
[IEEE] 2026-3-2 | Escaping Local Optima: A Quad-Directional Hill Climbing Algorithm for Rugged Three Dimensional Landscapes
[IEEE] 2026-3-2 | Lightweight AI Framework for Fault Detection in Photovoltaic Cells Using Electroluminescence Imaging
[IEEE] 2026-3-2 | On the Generation of Phononic Frequency Combs Using Defect Modes of Phononic Crystals
[IEEE] 2026-3-2 | Bayesian Monocular Depth Refinement via Neural Radiance Fields
[IEEE] 2026-3-2 | Graph neural networks for recommendation systems: A survey and future directions
[IEEE] 2026-3-2 | HierAD: Hierarchical Audio Description Generation via Multi-Stage Visual-Linguistic Reasoning
[IEEE] 2026-3-2 | Instantaneous Deployment Algorithm for Communication Relay UAV Based on Improved PSO
[IEEE] 2026-3-2 | Recent Advances in Dynamic Threshold-Aided Energy Detection for Cognitive Radio Networks
[IEEE] 2026-3-2 | Optimizing End-to-End Delay, Energy Consumption, and Task Success in Satellite-Based Edge Computing for Smart Farming in Isolated Environments
[IEEE] 2026-3-2 | Designing a Multi-Tier Data Governance Framework for SAP Applications on AWS Hybrid Cloud Infrastructures
[IEEE] 2026-3-2 | Emotion Recognition for Student Learning Enhancement Using Multi-Layer Feature Fusion and AI Techniques
[IEEE] 2026-3-2 | Hyperparameter Optimization for Improved Mine Detection Using Machine Learning: A Methodical Analysis of Classification Techniques
[IEEE] 2026-3-2 | Empowering Educators Through Large Language Models: A Systematic Review
[IEEE] 2026-3-2 | A Novel PV Array Reconfiguration Technique to Reduce Mismatch and Power Losses Under Partial Shading Conditions
[IEEE] 2026-3-2 | A Slot-Loaded Rectangular Microstrip Patch Antenna with Multi-Shape Slots for 47 GHz V-Band Single-Band Applications
[IEEE] 2026-3-2 | Comparative Analysis of Arithmetic Circuits for Low Power and High Speed Applications
[IEEE] 2026-3-2 | LLMs for Pharmacovigilance
[IEEE] 2026-3-2 | Stable and Delay Efficient Routing Objective Function for Mobile IoT Networks
[IEEE] 2026-3-2 | Short-Term Wind Power Forecasting Using Optimally Tuned Adaptive Neuro-Fuzzy Inference System
[IEEE] 2026-3-2 | Analysis of Blood Report Images Using General-Purpose Vision-Language Models
[IEEE] 2026-3-2 | Enhancing Grid Resilience and Sustainability: A Solar-Powered Electric Vehicle Charging Station with G2V and V2G Capabilities
[IEEE] 2026-3-2 | Electoral Integrity through Technology: A Recurrent Neural Network Analysis of Public Response
[IEEE] 2026-3-2 | Exponential Sliding Mode Controller to Track the Human Upper Limb During Topspin Forehand in Table Tennis
[IEEE] 2026-3-2 | Towards Accurate Multimodal Defformable Image Registration via Image Translation and Weak Supervision
[ACM] 2026-3-2 | <i>DietGlance</i>
                    : Dietary Monitoring and Personalized Analysis at a Glance with Knowledge-Empowered AI Assistant
[IEEE] 2026-3-2 | MLCIPR 2025 Cover Page
[IEEE] 2026-3-2 | ICCTIT 2025 Content Announcement Page
[IEEE] 2026-3-2 | ICATEI 2025 TOC
[IEEE] 2026-3-2 | A Novel 3-D Cell Array Architecture for Capacitorless DRAM
[IEEE] 2026-3-2 | Exceptional Thickness Scalability of MFM Stack: Outstanding Performance in 3-nm TiN/3-nm HZO/3-nm TiN Capacitors
[IEEE] 2026-3-2 | How do Top Managers in Small-and-Medium-Sized Enterprises Form Opportunity Beliefs for Digital Transformation Strategy? An Attention-based View
[IEEE] 2026-3-2 | Lightweight Federated Learning Based on SNNs and Gradient Quantization Clipping
[IEEE] 2026-3-2 | Blockchain-Enabled Routing for Zero-Trust Low-Altitude Intelligent Networks
[IEEE] 2026-3-2 | GNN-Based Secrecy Rate Optimization in Multi-Satellite Collaborative Systems
[IEEE] 2026-3-2 | A Secure Full-Duplex Wireless Circulator enabled by Non-Reciprocal Beyond-Diagonal RIS
[IEEE] 2026-3-2 | Collaborative Docking with Spatiotemporal Constraints
[IEEE] 2026-3-2 | Prediction-Powered Communication with Distortion Guarantees_supp1-3668947.pdf
[IEEE] 2026-3-2 | Toward 6G: Spectrum Management in Low-Altitude Aerial Information Networks
[IEEE] 2026-3-2 | Joint Secrecy and Covertness Analysis of RSMA-Assisted AAV Communications With an Internal Eavesdropper and External Wardens
[IEEE] 2026-3-2 | Digital Twins and Edge AI for Small/Off-Grid Water Systems – A Review
[IEEE] 2026-3-2 | Thin-Film Characterization Via Referenced Spectroscopic Ellipsometry Enpowered by Weak Measurement
[IEEE] 2026-3-2 | MSET: Multimodal Semantic-Enhanced Real-World Beam Prediction via Temporal Modeling with Visual Foundation Models
[IEEE] 2026-3-2 | Adaptive Learning Enhanced Cross-Entropy Algorithm for RIS-Aided Communications: Blind Beamforming Design and Experimental Validation
[IEEE] 2026-3-2 | UNITE-NBV: Uncertainty-driven and Information-enhanced Gain Estimation for Next Best View_supp1-3668579.mp4
[IEEE] 2026-3-2 | Compensation-guided Reverse Time Migration Jointly Accounting for Relaxation and Ohmic Losses in Ground Penetrating Radar Imaging
[ACM] 2026-3-2 | Demo: RHOAR: Live On-Device Demonstration of Mobile AR Occlusion with Depth Switching
[IEEE] 2026-3-2 | Enhancing Aerodynamic Prediction of Airfoils Using Advanced Machine Learning Models
[IEEE] 2026-3-2 | Scaling and Securing Enterprise Healthcare Networks with Blockchain
[IEEE] 2026-3-2 | A discrete-time deep learning framework for temporal heterogeneous networks forecasting
[IEEE] 2026-3-2 | Design and Optimization Performance of FMSs Modeled with S
                    <sup>4</sup>
                    PR Petri Nets
[IEEE] 2026-3-2 | Behavioral Spillovers in FinTech-Enabled Investing: Evidence from UPI, BNPL, and Micro-Investing Platforms
[IEEE] 2026-3-2 | Benchmarking Class Activation Map Methods for Explainable Brain Hemorrhage Classification on Hemorica Dataset
[IEEE] 2026-3-2 | The Effect of Mass Fraction on the Thermal Cycle Efficiency of the PGE Kamojang IV Geothermal Power Plant Before and After Overhaul
[IEEE] 2026-3-2 | 5-Watt Ka-band Power Amplifiers in a 120-nm GaN MMIC Process
[IEEE] 2026-3-2 | Smart Diagnosis of Blood Cell Cancer (ALL) Using CNN-Based Transfer Learning Techniques
[IEEE] 2026-3-2 | XF-MSIS: XOR-Based Fault-Tolerant Multi-Secret Image Sharing with Enhanced Recovery
[IEEE] 2026-3-2 | Lightweight AI Model for Smart Parking: Vehicle Classification with YOLOv8-Tiny Optimized by OpenVINO
[IEEE] 2026-3-2 | Design of Passive IRS Meta-Atoms for High-Gain Beamforming and Capacity Enhancement
[IEEE] 2026-3-2 | A Comprehensive Study on Predicting Social Anxiety Using Classification Techniques
[IEEE] 2026-3-2 | Design and Analysis of Meander-Shaped Coplanar Waveguide Resonators with Adjacent Arms for Quantum Computing Applications
[IEEE] 2026-3-2 | A Smart Irrigation System Using IoT and Machine Learning for Real-Time Environmental Monitoring and Crop Recommendation
[IEEE] 2026-3-2 | The research on cardiovascular disease risk prediction based on multi-model comparison and explainable machine learning
[IEEE] 2026-3-2 | A Front-End Passive Step-Up Circuit for RF Energy Harvesting in Low-Power IoT Devices
[IEEE] 2026-3-2 | Encrypted Text Based Emotion Detection System Using Transformer Model
[IEEE] 2026-3-2 | Smart Farming Through Multi-Modal Attention Networks: Climate and Yield Forecasting from IoT Sensors
[IEEE] 2026-3-2 | Voice-Driven Intelligent Home Automation for Enhancing the Lives of Paralyzed Patients
[IEEE] 2026-3-2 | Gesture Recognition in Human-Computer Interaction Using K-Nearest Neighbors and Convolutional Neural Networks
[IEEE] 2026-3-2 | Beyond the Horizon: Exploring Osteoarthritis Predictive Models
[IEEE] 2026-3-2 | Development of a High-Speed LED-Based UWOC Terminal System Using Hardware Equalization and 16QAM-OFDM Modulation
[IEEE] 2026-3-2 | Proposed Amniotic Membrane/Alginate Dialdehyde Based Injectable Hydrogel as a Biofunctional Scaffold for Soft Tissue Engineering
[IEEE] 2026-3-2 | Stacking Ensemble Learning for Reliable Brain Tumor Diagnosis Using MRI and Deep Transfer Models
[IEEE] 2026-3-2 | Classifying Roundwood Stacks into Frozen and Non-Frozen Using Radio Transmission Signals
[IEEE] 2026-3-2 | A Double Deep Q Network Approach to Control HVAC Systems
[IEEE] 2026-3-2 | Integrating FEA and Machine Learning for Smart Tool Wear Detection
[IEEE] 2026-3-2 | Neurofeedback in Brain Functional Networks
[IEEE] 2026-3-2 | Weekly Direction Forecasting of Hang Seng Index: An EMD-based Decomposition and XGBoost
[IEEE] 2026-3-2 | A LoRa-Based GPS Tracking and Emergency Alert System for Remote Exploration
[IEEE] 2026-3-2 | An Interative Learning Platform with Advanced Math Problem Solving
[IEEE] 2026-3-2 | A New Secure Scan Architecture Based on Dynamic Exchange for VLSI Test
[IEEE] 2026-3-2 | Retrieval-Augmented Generation and Knowledge Graphs for Intelligent Ayurvedic Chatbots
[IEEE] 2026-3-2 | Architecting Cybersecurity Solutions for Data Privacy, Governance, and Compliance in AWS Cloud Ecosystems
[IEEE] 2026-3-2 | The Effectiveness of Specialised Conversational AI in Preliminary Medical Triage: A Comparative Analysis of Non-Maleficence-by-Design and General-Purpose Architecture
[IEEE] 2026-3-2 | 800 W Efficient GaN SSPA for VHF Space Radar
[IEEE] 2026-3-2 | Real-Time LLM-MCP-Based Fault Detection Framework for Two-Wheeled Self-Balancing Robot
[IEEE] 2026-3-2 | An Explainable Vision-Based Framework for Abnormal Activity Detection and Alert Automation
[IEEE] 2026-3-2 | Anastomosis Angle Effects in Beating-Heart Coronary Bypass Grafts: A Fluid—Structure Interaction Study
[IEEE] 2026-3-2 | Enhanced Detection PPE Employment using YOLO
[IEEE] 2026-3-2 | Feasibility Study of Low-Cost Distributed Antenna Array Ground Stations for the S-Band
[IEEE] 2026-3-2 | Parkinson's Disease Classification Using EEG and a Hybrid EEGNet-LSTM Architecture
[IEEE] 2026-3-2 | Acoustic Emission Based Bearing Fault Localization Using Wavelet Features and Random Forest Classifier
[IEEE] 2026-3-2 | Energy Saving Strategy for Electric Vehicles During Car-Following Scenarios
[IEEE] 2026-3-2 | Curcumin-Loaded Carboxymethyl Cellulose/Polyvinyl Alcohol Smart Wound Dressing: A Biosensor Approach for pH-Responsive Monitoring and Healing
[IEEE] 2026-3-2 | Thermal Performance Comparison of Si and GaAs Channel Stack Oxide Junctionless FinFET based Ammonia Gas Sensor
[IEEE] 2026-3-2 | The Technological Pillars of Smart Hospitals: A 2022-2025 Review of IoMT, Wearables/RTLS/RFID, Robotics (IORT), and VR/AR
[IEEE] 2026-3-2 | Topology Selection and Unified Control of Integrated Bearingless Switched Reluctance Motors for 5-DOF Magnetic Levitation System
[IEEE] 2026-3-2 | Fine-Grained Optimal Allocation of Wind Farm Decoupled Models for CPU-GPU Parallel EMT Simulation
[IEEE] 2026-3-2 | Two-Stage Strategy-Guided Improved Feature Mode Decomposition for Mechanical Incipient Fault Diagnosis
[IEEE] 2026-3-2 | Twisting Signals for Joint Radar-Communications: An OAM Vortex Beam Approach
[IEEE] 2026-3-2 | GATRO: GPU-Accelerated Trajectory Optimization with Application to Tractor-trailers
[IEEE] 2026-3-2 | Large-Language-Models-Enabled Sensing-Aided Communication
[IEEE] 2026-3-2 | Edge-assisted Real-time Dynamic 3D Point Cloud Rendering for Multi-party Mobile Virtual Reality
[IEEE] 2026-3-2 | UniOrch: A Unified Mixed Framework for High-Efficiency LLM Training on Heterogeneous AI Chips_supp1-3668647.docx
[IEEE] 2026-3-2 | Manageable Convex Region Iteration without Half-Plane Optimization for Robot Navigation in 2D Cluttered Scenes_supp1-3668664.mp4
[IEEE] 2026-3-2 | Performance Trade-off for Ultra-Reliable and Low-Latency Service in Multi-Functional ISAC Network
[IEEE] 2026-3-2 | ICATEI 2025 Committees
[IEEE] 2026-3-2 | Table of Contents
[IEEE] 2026-3-2 | Polycrystalline CsPbBr
                    <sub>3</sub>
                    Radiation Detectors Manufactured via Field Assisted Sintering Technology
[IEEE] 2026-3-2 | Meta-Reinforcement Learning Optimization for Movable Antenna-aided Full-Duplex CF-DFRC Systems with Carrier Frequency Offset
[IEEE] 2026-3-2 | Frequency Shifting-RIS and Superimposed Training for Wireless Communication and Localization
