[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[IEEE] 2026-8-13 | PeCE: A Visual Analytics Paradigm for Enhancing Counterfactual Explanations_supp4-3722507.pdf
[IEEE] 2026-8-13 | DiBSNet: Disentangling Beam Squint for Robust Near-Field Localization
[IEEE] 2026-8-12 | MolPACL: Molecular Property Prediction Based on Prompt Augmentation and Contrastive Learning
[IEEE] 2026-8-13 | ISGM: An Illumination-Aware Semantic-Guided Mamba Network for RGB-Infrared Vehicle Detection in UAV Imagery
[IEEE] 2026-8-13 | SE-Transformer Rolling Bearing Fault Diagnosis Method Based on Envelope Demodulation and VMD Feature Enhancement
[IEEE] 2026-8-13 | Electric and Thermal Stress Analysis of a HV Insulation System Acc. to IEC 60034-18-42 for a Hydro Generator with Different Inverter Technologies
[IEEE] 2026-8-13 | Energy Consumption Analysis of FPGA-Accelerated 2D HEVC Encoding in a Practical V-PCC Encoder
[IEEE] 2026-8-13 | Denoising of Two-Phase Optically Sectioned Structured Illumination Reconstructions Using Encoder-Decoder Networks
[IEEE] 2026-8-13 | Lifespan Prediction of Varnish-Impregnated Corona Armor Tape in Form-Wound Stator Coils
[IEEE] 2026-8-13 | Towards reconstructing experimental sparse-view X-ray CT data with diffusion models
[IEEE] 2026-8-13 | MDF: A Triple-Module Enhanced YOLO11n for Efficient Agricultural Disease Detection
[IEEE] 2026-8-13 | Tuning-Free Instruction-Based Video Editing Via Structural Noise Initialization and Guidance
[IEEE] 2026-8-13 | Using Identity Data to Reduce Security Risk
[IEEE] 2026-8-13 | A Non-Invasive Approach for Stator End-Winding Insulation Repair
[IEEE] 2026-8-13 | Refining Acoustic-Based 3D Human Pose Estimation via Vision Pretraining
[IEEE] 2026-8-13 | Self-Supervised Perceptually Interpretable Monocular Depth Estimation
[IEEE] 2026-8-13 | Joint Optimization of Eavesdropping and Energy Efficiency in UAV-Assisted Communication Systems Utilizing Deep Reinforcement Learning
[IEEE] 2026-8-13 | Perceptually Optimized Lop in-Loop Filter for VVC Based on Multi-Scale Head Alignment
[IEEE] 2026-8-13 | Density-Adaptive Lidar Point Cloud Compression
[IEEE] 2026-8-13 | HGS: Head-of-Queue Slack-Aware Generation Scheduling for Generative Real-Time Interaction Systems
[IEEE] 2026-8-13 | Hand Pose Recognition with Deep Learning Based on Edge Computing for DJI Ryze Tello Drone Control
[IEEE] 2026-8-13 | STRIDE: Bidirectional Soft-Token Propagation for Faster Diffusion Language Models
[IEEE] 2026-8-13 | A Study on Hybrid Damping and Optimal Control Strategies for Compensators to Ensure the Stability of Grid-Connected Photovoltaic Systems in Extremely Weak Grid Environments
[IEEE] 2026-8-13 | Preface
[IEEE] 2026-8-13 | Meaningful Level Sets for Small Spot Detection
[IEEE] 2026-8-13 | Preprocessor-Enhanced Image Compression for Joint Machine and Human Vision
[IEEE] 2026-8-13 | Author Index
[IEEE] 2026-8-12 | RACG-Ground: Ring-Adaptive Confidence Gating for LiDAR Ground Segmentation
[IEEE] 2026-8-13 | Blank Page
[IEEE] 2026-8-12 | CMOS-Based Integrated Circuits Above 0.2 THz: Circuit Techniques and System Demonstrations
[IEEE] 2026-8-13 | <i>CA3D:</i>
                    Computing Accessibility-Aware Cooperative 3D Deployment of Multiple UAVs
[IEEE] 2026-8-12 | Semantic Consistent Memory Hashing with Incremental Regularization for Incomplete Cross-Modal Retrieval
[IEEE] 2026-8-13 | IEEE CTSoc World Newsletter
[IEEE] 2026-8-12 | XtraLight-MedMamba: An Ultra-Lightweight Mamba-Based Framework for Histopathologic Classification of Neoplastic Tubular Adenomas
[IEEE] 2026-8-13 | MSANet: A Multi-Scale Attention Network for Hot-Rolled Steel Surface Defect Classification
[IEEE] 2026-8-13 | Design and Implementation of a Modular AGC System Based on OPC UA and RX3i PLC for TM2500 Gas Turbines at PLTG Suppa 2×25 MW
[IEEE] 2026-8-13 | Code-Domain Resource Mapping for Adaptive Power Allocation in Multiuser Visible Light Communication Systems Using CD-NOMA
[IEEE] 2026-8-13 | LUMEN: Low-Light Unified Multi-Stage Enhancement Network Using Depth-Guided Flash, Clustering, and Attention-Based Transformers
[IEEE] 2026-8-13 | A DQN-Based Frequency Modulation Control for Robust CC/CV Operation in LCL WPT Systems
[IEEE] 2026-8-13 | A Reinforcement Learning Approach with Human in the Loop to Explainable Insurance Risk Scoring and Intelligent Policy Portfolio Optimization
[IEEE] 2026-8-13 | Electromechanical Aspects of Pulsed Breakdown of Solid Dielectrics in Strongly Divergent Fields
[IEEE] 2026-8-13 | Crashspot: A Geospatial Data Science Approach to Analyzing Traffic Accident Hotspots
[IEEE] 2026-8-13 | Design and Fabrication of Microstrip Antennas for Electromagnetic Compability Measurements Using the Patch Cut and Ground Slot Methods
[IEEE] 2026-8-13 | Intelligent Processing and Optimization of Large-Scale Real-Scene 3D Data for Digital Twin Applications: A Framework for Standardization, Fusion, and Efficient Rendering
[IEEE] 2026-8-13 | PhotoSAR: Synthesizing Object-Level Near-Field SAR Raw Measurements from a Single RGB Image
[IEEE] 2026-8-13 | Simulating Cyber Attacks and Countermeasures in Vehicular Ad-Hoc Networks Using Cyber Operations Research Gym (CybORG)
[IEEE] 2026-8-13 | Attention-Aware Transformer-Based Aggregation Network for Video Periocular Recognition
[IEEE] 2026-8-13 | Experience on Inverter Voltage Endurance Testing of Enameled Wires According to Relevant Standards
[IEEE] 2026-8-13 | Security Analysis of Distributed Virtual Reality and Physiological Sensor (VR-PHY) Systems
[IEEE] 2026-8-13 | A Compact High-Pressure Test Vessel with Standard GIS and Transformer Accessories for Examinations of Synthetic Air as an Alternative Insulating Gas
[IEEE] 2026-8-13 | Efficient and Secure Convolutions on Encrypted Data
[IEEE] 2026-8-13 | Sigma-Based RGB-Hyperspectral Fusion for Semantic Segmentation in Autonomous Driving
[IEEE] 2026-8-13 | IAFE: Illumination Aware Frequency Enhancement Network for Low-Light Image Deblurring
[IEEE] 2026-8-13 | Thematic Evolution Analysis of “Data Elements ×” Based on a TF-IDF-LDA Hybrid Model: Textual Evidence from Three Batches of National Exemplary Cases
[IEEE] 2026-8-13 | When Simplicity Wins: Bottleneck-Aware Context Modeling for Lightweight Semantic Segmentation
[IEEE] 2026-8-13 | Calculation of the Leakage Impedance of a Reconnectable Three-Phase Mobile Power Transformer Using the Finite Element Method
[IEEE] 2026-8-13 | Efficiency Optimization Scheme for Series Resonant Dual Active Bridge Converter Based on Segmented Control
[IEEE] 2026-8-13 | Enhanced Detection of Tiny Objects in Aerial Images
[IEEE] 2026-8-13 | CADS: Conformal Adaptive Decision System for Cost-Efficient Image Classification
[IEEE] 2026-8-13 | FedALR: Rejection-Aware Adaptive Local Aggregation for Personalized Federated Learning
[IEEE] 2026-8-13 | Research on Multimodal Content Analysis Method Integrating Audio Classification and ASR Evaluation
[IEEE] 2026-8-13 | Towards more Transferable Architectures for Dense Pose Estimation
[IEEE] 2026-8-13 | GameScope: A Multi-Attribute, Multi-Codec Benchmark Dataset for Gaming Video Quality Assessment
[IEEE] 2026-8-13 | Preface: Conference Committee
[IEEE] 2026-8-13 | Orientation-Robust VLCP via Cross-Modal Feature Fusion and Cascaded Learning
[IEEE] 2026-8-13 | Knowledge-Guided Multi-Task Learning for Oral Cancer Classification
[IEEE] 2026-8-13 | Medium and High Voltage Cable Joints Failures: Influence of Ambient Temperature
[ACM] 2026-8-13 | A Late Acceptance Hill-Climbing Algorithm for Flexible Job Shop Scheduling Problems with Worker Flexibility
[ACM] 2026-8-13 | Deconvolution of Electron-Ionization Mass Spectra of Mixtures Without Chromatography
[ACM] 2026-8-13 | Hot off the Press: Migrant Resettlement by Evolutionary Multi-objective Optimization
[ACM] 2026-8-13 | Exploring the Parameterized Complexity of TSP Operators in Multi-Objective Optimization
[ACM] 2026-8-13 | Study of Decomposition and Ants Allocation in Multi-Objective Partial Classification Rule Induction
[IEEE] 2026-8-12 | Optimal Timing Strategy in Livestreaming E-Commerce Considering Streamers' Quality Manipulation_supp1-3722452.docx
[IEEE] 2026-8-12 | PELS Membership
[IEEE] 2026-8-12 | Author Index
[IEEE] 2026-8-12 | Table of Contents
[IEEE] 2026-8-12 | IEEE Proceedings
[IEEE] 2026-8-12 | 2026 IEEE 42nd International Conference on Data Engineering (ICDE)
[IEEE] 2026-8-12 | Physics-Constrained Generation of Random Deformations for Textiles
[IEEE] 2026-8-12 | Wireless Multi-Channel EMG Monitoring System For Rehabilitation Exercise Assistance
[IEEE] 2026-8-12 | Toward Scalable Tucker Decomposition: Skew-Aware Multi-Level Partitioning with GPU–Storage Co-Processing
[IEEE] 2026-8-12 | CausalPre: Scalable and Effective Data Pre-Processing for Causal Fairness
[IEEE] 2026-8-12 | Evolving Sketch: Time-Decaying Frequency Estimation for Evolving Streams
[IEEE] 2026-8-12 | CAHRF: Constraint-Aware Hybrid Ranking Framework for Student Project Allocation in a Research Laboratory
[IEEE] 2026-8-12 | JITPrune: An Efficient Online Feature Pruning Framework for Embedding-Based DLRM Training
[IEEE] 2026-8-12 | Classifying High-Dimensional Transcriptional Gene Groups Using Machine Learning
[IEEE] 2026-8-12 | Beyond Traditional Diagnostics: Transforming Patient-Side Information Into Predictive Insights with Knowledge Graphs and Prototypes
[IEEE] 2026-8-12 | Maximum Balanced Clique Search on Large Directed Graphs
[IEEE] 2026-8-12 | Compressing High-Frequency Time Series Through Multiple Models and Stealing From Residuals
[IEEE] 2026-8-12 | Banknote-Chain: Achieving User-Incentivized Parallelism in Blockchain via a Banknote-Inspired Transaction Model
[IEEE] 2026-8-12 | MojoFrame: Dataframe Library in Mojo Language
[IEEE] 2026-8-12 | AlignSketch: A Framework for Aligning Theoretical and Practical Estimation Errors
[IEEE] 2026-8-12 | Literature in Digital Age: Students' Acceptance and Adoption Toward Emerging Educational Technologies
[IEEE] 2026-8-12 | Analysis and Prediction of Tomato Growth Dynamics in an IoT Smart Agriculture Testbed
[IEEE] 2026-8-12 | RiseAble Fully Inclusive And Accessible Web Platform
[IEEE] 2026-8-12 | Design of a Dual Band SIW Antenna for Ku and K Band Satellite and Radar Applications
[IEEE] 2026-8-12 | Techno-Economic Analysis of Renewable Energy Storage via Green Hydrogen
[IEEE] 2026-8-12 | XRAG: Examining the Core - Benchmarking Foundational Components in Advanced Retrieval-Augmented Generation
[IEEE] 2026-8-12 | Classification of Uzbek Banking Texts by Document Types
[IEEE] 2026-8-12 | AI-Driven Digital Twin System Auditor for Secure and Trustworthy EHR Operations
[IEEE] 2026-8-12 | VPS: Rethinking OLTP Database Performance Evaluation Through Transactional Value
[IEEE] 2026-8-12 | Analytical Modeling and Design Optimization of Microscale Dielectric Elastomer Actuators for Twophoton Polymerization
[IEEE] 2026-8-12 | Enhancing Senior High School Chemistry Learning by Integrating Microlearning Video-Making as an Alternative Assessment for Teaching Organic Functional Groups
[IEEE] 2026-8-12 | Optical Probe with Force, Acceleration, and Vacuum Sensing for Open-Heart Surgery
[IEEE] 2026-8-12 | A Novel Design Method for Microstrip Filters Based on Genetic Algorithm
[IEEE] 2026-8-12 | Enhancing Diabetes Prediction on Imbalanced Data Using RM-SMOTE-Driven KNN Framework
[IEEE] 2026-8-12 | Behavioral Trait Extraction and Clustering from Transit User Text Using Large Language Models
[IEEE] 2026-8-12 | LUCID: An Updatable and Concurrent Learned Index for Larger-Than-Memory Data Management
[IEEE] 2026-8-12 | Federated ECG Classification via Embedding-Level Data Augmentation
[IEEE] 2026-8-12 | Modification of Surface Properties of Borosilicate Glass by a Pulsed Forevacuum Plasma Electron Source Based on a Planar Magnetron Discharge
[IEEE] 2026-8-12 | Behavioral Determinants of Financial Activities on Server-Based Electronic Money Platforms: A Multinomial Logistic Regression Approach
[IEEE] 2026-8-12 | Statistical Study of Model Fidelity and Complexity Trade-Off for Energy Efficiency in Buildings
[IEEE] 2026-8-12 | Hardware-Accelerated AES for Privacy-Preserving Healthcare Data Pipelines in Remote Patient Monitoring
[IEEE] 2026-8-12 | KGQA4HS: A Knowledge Graph Question Answering Model for Hindu Scriptures
[IEEE] 2026-8-12 | DynamiQoS: Software Designed Networking with ML Based Load Balancer
[IEEE] 2026-8-12 | Reliability-Oriented Assessment Method for Independent Hybrid Power Supply Systems in the Karabakh Region of Azerbaijan
[IEEE] 2026-8-12 | Modeling of the Thermal Field of a Semiconductor Converter for Prediction of Pre-Failure States
[IEEE] 2026-8-12 | Cement Clinker Quality Prediction Using Advanced Analytics: A Study of Machine Learning and Deep Learning Methods
[IEEE] 2026-8-12 | A Deep Learning-Assisted Bat Algorithm for 2-D Multi-Target Inverse Scattering
[IEEE] 2026-8-12 | AI-Assisted Academic Research Writing in Senior High School: A Survey of Use Patterns, Writing Quality, and Academic Integrity
[IEEE] 2026-8-12 | Sheet Impedance Boundary Conditions in Finite Element Method and Equivalent Analysis of Periodic Structures
[IEEE] 2026-8-12 | Energy Transition in Multi-Family Residential Buildings: A Multi-Level Perspective on Photovoltaic Integration and Deep Energy Retrofit
[IEEE] 2026-8-12 | Cost-effective Synthesis of Diffractive Optical Elements for Ophthalmological Applications
[IEEE] 2026-8-12 | Ai-Based Collision Detection Methods in Hash Functions
[IEEE] 2026-8-12 | Hardware-in-the-Loop Emulator of Three-Stage Synchronous Generator with Saturation Modeling for GCU Testing
[IEEE] 2026-8-12 | Forensic Artifact Parser for Android Fitness Applications
[IEEE] 2026-8-12 | Context-Aware Deep Learning–Based Probabilistic Detection of Energy Anomalies in Smart Greenhouses Under Uncertainty
[IEEE] 2026-8-12 | A Robust Speech Enhancement - Based MVDR Beamformer under Complex Scenario
[IEEE] 2026-8-12 | A Wideband Hybrid-FSS-Based Antenna with Wideband Electromagnetic Transparency for Shared-Aperture Array
[IEEE] 2026-8-12 | Design and simulation of Circular Microstrip Patch Antenna Operating for Biomedical Applications with Defected Ground Structure (DGS)
[IEEE] 2026-8-12 | Comparing Random Forest and LightGBM for Residential Property Price Prediction Using Multi-Platform Online Listings in Indonesia
[IEEE] 2026-8-12 | BollVision-AI: A Web-Based Artificial Intelligence Platform for Real-Time Visual Monitoring and Analytics in Precision Cotton Farming
[IEEE] 2026-8-12 | BClean+: A Bayesian Data Cleaning System with Automated Prior Generation
[IEEE] 2026-8-12 | DS-RSFNet: Dual-Spike RGB-Skeleton Fusion for Efficient Dynamic Hand Gesture Recognition
[IEEE] 2026-8-12 | Big Data and Audit Quality: a Bibliometric
[IEEE] 2026-8-12 | Development of a Cloud-Based Interoperable Platform for Multi-Institutional Medical Data Management
[IEEE] 2026-8-12 | Self-Learning Noise Reduction System for Quantized SAR Images Using Optimized Noise2Noise Architecture
[IEEE] 2026-8-12 | Improvement of Model, Algorithms and HardwareSoftware for Measuring Hydrogeochemical Parameters of Groundwater
[IEEE] 2026-8-12 | Clinical Hierarchical Multi-Expert Attention Model for Dental Implant Outcome Prediction
[IEEE] 2026-8-12 | Extracting the Equivalent Circuit Model of Frequency Selective Surfaces for Wideband Analysis Under Arbitrary Incidence
[IEEE] 2026-8-12 | User Adoption of an AI-Enabled E-Counseling Platform in West Java: A DOI Approach with Privacy-Security Trust Mediation
[IEEE] 2026-8-12 | Quantitative Evaluation of Phase Perturbation Effects in UAV-Towed VLF Distributed Arrays Using Monte Carlo Methods
[IEEE] 2026-8-12 | A Novel Connected Multi-Layer Ring Resonator Structure for Negative Permittivity and Permeability Metamaterial Response
[IEEE] 2026-8-12 | Toward Highly Reliable WDDL and QDI Circuits Using Redundant Decision Architectures
[IEEE] 2026-8-12 | Baseline Predictors of Dementia in the OASIS Dataset: Evaluating Age, Sex, and MMSE Signals
[IEEE] 2026-8-12 | CPU-Efficient Vision Transformer Deployment for Spermatozoa Morphology Classification
[IEEE] 2026-8-12 | A Hybrid Method for Enumerating Minimal Paths in Complex Network Reliability Analysis
[IEEE] 2026-8-12 | Decoupled Koopman-Based Tracking for Enhanced Convergence in Dynamic State Estimation of Power Systems
