[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[IEEE] 2026-9-22 | First-Principles Study of Zr-Doped CuCr Contacts for Arc Erosion Resistance
[IEEE] 2026-9-22 | Co-Optimization of Line Upgrading and Switch Configuration in Distribution Networks Considering Aggregated Regulation of Integrated Energy Systems
[IEEE] 2026-9-22 | Ensemble Learning Technique for Identification of Cervical Cancer Using PapSmear Images
[IEEE] 2026-9-22 | RobPI: Robust Private Inference against Malicious Client
[IEEE] 2026-9-22 | Tea Leaf Disease Detection Using a Prototypical Network-Based Few-Shot Metric Learning Framework
[ACM] 2026-9-22 | Repeated-Token Diagnostics for Transformer Cache Traces
[ACM] 2026-9-22 | Helios: Exposing Context Lifecycles for Memory-Efficient Agentic LLM Serving
[ACM] 2026-9-22 | RLSM: A Disaggregated LSM-Based Key-Value Store with Resource-Aware Compaction
[IEEE] 2026-9-22 | A Compact MOSFET Only High Frequency Meminductor Circuit
[IEEE] 2026-9-22 | Construction of Long Text Japanese Machine Translation Model Introducing Context-Aware Mechanism
[IEEE] 2026-9-22 | Integrated Chemiresistor Arrays for VOC Identification in Air through Machine Learning and Image Analysis_supp1-3733986.pdf
[IEEE] 2026-9-22 | Fault-tolerant output feedback tracking control for stochastic multi-agent systems using intermediate observers
[IEEE] 2026-9-22 | Robust Damping Compensation Strategy for Ultra-Low Frequency Oscillation Suppression in Hydropower Units
[IEEE] 2026-9-22 | Pedestrian Re-Identification Under Occlusion Based on Bidirectional Semantic Interaction and Explicit Pose Guidance
[IEEE] 2026-9-22 | State Trajectory Optimization-Based Frequency-Reduced Startup Control for Series-Compensated IPT Systems
[IEEE] 2026-9-22 | A Two-Stage Region-of-Attraction Determination Method for Grid-Forming Heterogeneous Systems Using a Path-Independent Lyapunov Function
[IEEE] 2026-9-22 | Design of a Waveguide Slot Array Antenna with Uniform Near-Field Distribution for Microwave Heating and WPT Applications
[IEEE] 2026-9-22 | AutoM3D: Multimodal Transformer-Based Disease Diagnosis from X-ray, Text, and EHR Data
[IEEE] 2026-9-22 | EventDiff: A Unified and Efficient Diffusion Model Framework for Event-based Video Frame Interpolation
[IEEE] 2026-9-22 | Assessing the Forensic Impact of Riot Vanguard: Artifact Visibility, Completeness, and Integrity
[IEEE] 2026-9-22 | Detection and Classification of Multi-Hop Frequency Hopping Signals in Complex Electromagnetic Environments
[IEEE] 2026-9-22 | EEG-Based Driver Fatigue Detection Using MS-CNN and CBAM Attention Mechanism
[IEEE] 2026-9-22 | State Perception and Real-Time Control of Distribution Automation Systems Based on Digital Twin and Edge Intelligence
[IEEE] 2026-9-22 | Commutation Failure Risk Assessment for LCC-HVDC Transmission Systems Based on Extinction Angle Margin
[IEEE] 2026-9-22 | Research on Fault Ride-Through of Flexible DC System at the Receiving End Based on DC-Side Hybrid Energy Storage
[IEEE] 2026-9-22 | BinaryShield: Cross-Service Threat Intelligence in LLM Services using Privacy-Preserving Fingerprints
[IEEE] 2026-9-22 | Table of Contents
[IEEE] 2026-9-22 | Path-Following Control of Unmanned Surface Vehicles Based on Finite-Time Disturbance Compensation
[IEEE] 2026-9-22 | Hybrid Genetic Algorithm and Neural Network Based PI Control for Dual-Active-Bridge Series-Resonant DC-DC Converter
[IEEE] 2026-9-22 | Micro-Scale Wireless Power Transfer by Resonant Tunneling Diodes at 300 GHz
[IEEE] 2026-9-22 | 2026 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML)
[IEEE] 2026-9-22 | Balancing Productivity and Flexibility in Lean Manufacturing for Complex Production Systems_supp1-3720381.docx
[IEEE] 2026-9-22 | AuNF: Adaptive Micro-Network Functions with Runtime Per-VNF Granularity Control for IIoT Edge Security Chains
[IEEE] 2026-9-22 | Performance Comparison of PI and Model Predictive Control for Wireless Charging in EVs Employing an Asymmetric Magnetic Coupler
[IEEE] 2026-9-22 | 2026 12th Workshop on Satellite Navigation Technologies (NAVITEC)
[IEEE] 2026-9-22 | Thermal Modeling and Insulation Optimization for Autonomous Detection Systems in Extreme Cold Environments
[IEEE] 2026-9-22 | Analysis of Fast Frequency Regulation Characteristics of Grid-Forming Converters in Future Power Systems
[IEEE] 2026-9-22 | CTF-SRNet: A Cross-Modal Text and Feature Modulation Network for Remote Sensing Image Super-Resolution
[IEEE] 2026-9-22 | Electric Field Grading of PCB Planar Coils in Medium-Voltage IPT Auxiliary Power Supplies Using Reflow-Soldered Meniscus Rings
[IEEE] 2026-9-22 | An Agile Management Framework for IoT Projects: Lessons from Architecture-Centered Case Studies
[IEEE] 2026-9-22 | A Two-Stage Optimization Model for Capacity Configuration of Renewable Energy Bases Based on Latin Hypercube Sampling
[IEEE] 2026-9-22 | Advances in Biometric Authentication and Emerging Ethical Challenges
[IEEE] 2026-9-22 | Active Power-Voltage Coupling Mechanism of MMC-HVDC System at Sending End and Quantification of its Power Regulation Capacity
[IEEE] 2026-9-22 | Research on Power Prediction Methods for Renewable Energy Stations Considering Fluctuation Pattern Matching
[IEEE] 2026-9-22 | DAFF: Deployment-Aware Feature Fusion for Efficient TinyML-Based Intrusion Detection in IoT
[ACM] 2026-9-22 | Risk-Sensitive Peak-Aware Energy Scheduling: Competitive and Learning-Augmented Algorithms
[ACM] 2026-9-22 | Multi-task Learning with Active Learning for Arabic Offensive Speech Detection
[IEEE] 2026-9-22 | Evaluating Domain Adaptation Techniques for GNSS-Based Machine Learning: From Vehicle to Soft Mobility Applications
[IEEE] 2026-9-22 | Certifiably Robust RAG against Retrieval Corruption
[IEEE] 2026-9-22 | Research on Energy Management Strategy for Hybrid Electric Ships Based on Adaptive Neuro-Fuzzy Inference System
[IEEE] 2026-9-22 | Electrification Pathways for Heavy Equipment in Thermal Power Plant Operations
[IEEE] 2026-9-22 | Towards Region-Level No-Reference Image Quality Assessment
[IEEE] 2026-9-22 | A Heterogeneous Ensemble Framework Combining Gradient Boosting and SVM for Robust Parkinson’s Disease Diagnosis
[IEEE] 2026-9-22 | Performance Evaluation of Class I Multilayer Ceramic Capacitors in Multi-MHz Resonant Networks
[IEEE] 2026-9-22 | Counterfactual Training: Teaching Models Plausible and Actionable Explanations
[IEEE] 2026-9-22 | Spatio-Temporal Dispatch of Mobile Energy Storage Systems for Resilient Off-Grid Microgrids
[IEEE] 2026-9-22 | Cluster-Based Coordinated Voltage Control of Active Distribution Networks Using Tabu Search and Multiagent Reinforcement Learning
[IEEE] 2026-9-22 | Conquering the Dark: LuxRA-Net for EBAPS Image Denoising from Full Moonlight to Overcast Starlight
[IEEE] 2026-9-22 | Stability Analysis of Offshore Wind Farms with Distributed-Parameter Cables Using an Enhanced Grey Wolf Optimizer with Lévy Flight Strategy
[IEEE] 2026-9-22 | Passive RC Wireless Sensors with Multiplexing for Multi-Point Temperature Monitoring in Beehives
[IEEE] 2026-9-22 | GNSS Interference Classification Using Optimized CNNs
[IEEE] 2026-9-22 | Coupled Access-Fronthaul Feasibility Analysis for Wireless-Fronthauled Cell-Free Massive MIMO Under an Option-8 Functional Split
[IEEE] 2026-9-22 | WPTCE 2026 TOC
[IEEE] 2026-9-22 | AC Resistance Modeling of Edgewise Coils for Wireless Power Transfer in the 85 kHz Band
[IEEE] 2026-9-22 | Optimal Scheduling of Low-Altitude and Ground-Based Transportation Vehicles for Flexibility Enhancement of Power Network
[IEEE] 2026-9-22 | Energy Consumption Optimization and Intelligent Control Strategy for Converter Station Valve Cooling Water Systems
[IEEE] 2026-9-22 | Intelligent Adaptive PID Control for Optical Image Stabilization Using Backpropagation Neural Networks and EKF-Based State Estimation
[IEEE] 2026-9-22 | MambaIA: A Unified Framework for Pedestrian Crossing Intention and Action Prediction
[IEEE] 2026-9-22 | Decompose to Aggregate: A Novel End-to-End Time Series Model for Multiple Wind Turbine Power Forecasting
[IEEE] 2026-9-22 | Low-Complexity Acoustic Denoising for High-Voltage Shunt Reactors via Efficient Generative Adversarial Networks
[IEEE] 2026-9-22 | MS-EfficientNet: Hierarchical Multi-Scale Feature Fusion for Land Cover Classification
[IEEE] 2026-9-22 | Explainability-Driven Uterine Contraction Classification Using Multi-Scale Time-Frequency and Nonlinear Features From EHG Signals
[IEEE] 2026-9-22 | 2025 2nd International Conference on Software System and Information Processing (ICSSIP)
[IEEE] 2026-9-22 | Position: Mind the Gap—AI Security and the Limits of Current Reporting Standards
[IEEE] 2026-9-22 | Design of a Data-Driven WADC for VSG in Inverter- Dominated Power System
[IEEE] 2026-9-22 | The Resource-Access Paradox: Electricity, Inequality, and Rural Exclusion in Africa
[IEEE] 2026-9-22 | Near-Exceptional-Point Operation via PWM Load Switching in a PT-Symmetry-Based Wearable WPT
[IEEE] 2026-9-22 | A Software Framework for Multi-Robot Path Optimization in Agricultural Systems
[IEEE] 2026-9-22 | Information Supplementary Distillation based on Separate Reconstruction for Continual Self-Supervised Learning
[IEEE] 2026-9-22 | The Solar System Internet Navigation System: A New Paradigm for Interplanetary Navigation
[IEEE] 2026-9-22 | Research on Intelligent Operation and Maintenance Decision-Making for Wind-Solar-Storage Integrated Power Stations Based on Digital Twin and Artificial Intelligence
[IEEE] 2026-9-22 | An Investigative Study of Linear Arrays: Classification and Cartan Matrix Properties
[IEEE] 2026-9-22 | Portable Multispectral Optical Reader for Paper Based Phosphate Detection in Saliva
[IEEE] 2026-9-22 | Proposal of Electric Disconnection Method with Boost Converter in Dynamic Wireless Power Transfer
[IEEE] 2026-9-22 | Risk-Level Multi-Prototype Contrastive Learning for Financial Fraud Detection
[IEEE] 2026-9-22 | Day-Ahead Cluster-Level PV Power Forecasting Based on Local–Global Collaborative Modeling and Constrained Residual Correction
[ACM] 2026-9-22 | Non-preemptive Datacenter Scheduling via Scaling Cycles
[IEEE] 2026-9-22 | Impact of VDCOL and LVRT Controls on Rotor Angle Stability of an LCC-HVDC Receiving-End System
[IEEE] 2026-9-22 | A Cloud-Edge Hybrid Intelligent Scheduling Method for Pumping Stations Integrating RAG and Multi-Agent Collaboration
[IEEE] 2026-9-22 | A Multi-Objective Optimization Model for Active Distribution Grids Considering Energy Storage System and Soft-Open Point Configurations
[IEEE] 2026-9-22 | End-to-End Speech-to-Speech Translation for Low-Resource Languages Based on Discrete Units
[IEEE] 2026-9-22 | Open-Set SEI via Multi-Anchor Complex-Valued Variational Autoencoder
[IEEE] 2026-9-22 | A Chromaticity Baseline Height Index and Sliding Window Iterative Thresholding for Automatic Harmful Algal Bloom Extraction
[IEEE] 2026-9-22 | CT Thermometry via Baseline-Aligned Deming Calibration: Error-in-Variables Modeling for Intraoperative Temperature Measurement
[IEEE] 2026-9-22 | Soft-Switching Transition and Natural Voltage Balancing Optimization Strategy of ISOP-LLC-DCX for SSPS PMAD System
[IEEE] 2026-9-22 | Continual Robust Object Detection via Stochastic Memory Replay and Feature-Based Knowledge Distillation
[IEEE] 2026-9-22 | Copula-Based Wind Power Scenario Generation Method for Multiple Wind Farms Considering Temporal Correlation of Power Fluctuations
[IEEE] 2026-9-22 | CONCISE: An Efficient and Resilient Alternative to Key Distribution for the Security of Computer Networks
[IEEE] 2026-9-22 | A Comparative Analysis of PID Control and Deep Reinforcement Learning in Robotic Peg-in-Hole Assembly
[IEEE] 2026-9-22 | Probabilistic Price Forecasting for Robust Model Predictive Control of Grid-Connected Solar-Storage Systems in the Australian National Electricity Market
[IEEE] 2026-9-22 | Coordinated Management of PV-Storage-Charging Resources and Heterogeneous Loads in Industrial Parks Considering Grid Constraints
[IEEE] 2026-9-22 | A Method for Modeling the Interpretability of the Regulation Feasibility Domain and Verifying the Robustness of Multi-Type Energy Storage Power Stations Based on Federated Learning
[IEEE] 2026-9-22 | Explainable Sarcasm Detection in Bengali Text-in-Meme-Image
[IEEE] 2026-9-22 | Experimental Evaluation of a Weight Reduced Vehicle Assembly Pad for Inductive EV Charging
[IEEE] 2026-9-22 | DA-MDRNet: Learning to Align Spatial and Semantic Misalignment for RGB–TIR Transmission Line Detection in Power Inspection Scenarios
[IEEE] 2026-9-22 | Deep RL-Tuned Factor Graphs for Pose-Level GNSS Trajectory Estimation
[IEEE] 2026-9-22 | Expansion of Controllable Power Range of GFM Under Small-Signal Stability Constraints
[IEEE] 2026-9-22 | Dual- and Triple-Frequency GNSS Ambiguity Resolution for High-Precision Spaceborne Relative Navigation
[IEEE] 2026-9-22 | A Point-Scatterer Approach to Terrain Reconstruction for Imaging Radar Simulation
[IEEE] 2026-9-22 | Active-Reactive Power Coordinated Voltage Control Strategy Based on Hysteresis Buffering for Grid- Connected Photovoltaic Systems
[IEEE] 2026-9-22 | Policy-Based Deep Reinforcement Learning for Optimal Scheduling of Coupled Multi-Energy Systems
[IEEE] 2026-9-22 | Message Emphasis in Short-Form Sign-In Notifications: Effects on Existing Users’ Passkey Registration Intention in a Switching Context_supp1-3735725.pdf
[IEEE] 2026-9-22 | PESCAPE: SLA-Preserving Escape Routes for Service Function Chains
[IEEE] 2026-9-22 | Generative AI Driven Real-Time Open-Set Object Detection for Mobile AR Applications
[IEEE] 2026-9-22 | Research on the Strike Decision-Making Method for an intelligent counter-attack platform
[IEEE] 2026-9-22 | Predicting Patient Criticality From Electronic Health Records: A Machine Learning Approach
[IEEE] 2026-9-22 | Reactive Power Compensation and Harmonic Suppression in Power Systems
[IEEE] 2026-9-22 | NutriScan AI: Multimodal Deep Learning for Non-Invasive Anemia and Conjunctivitis Screening via Conjunctival Imaging and Nutritional Priors
[IEEE] 2026-9-22 | Self-Supervised Laparoscopic Image Denoising for Endometriosis Detection
[IEEE] 2026-9-22 | Comparative Evaluation of Nonlinear and Spectral EEG Features for Game-Evoked Cognitive Engagement
[IEEE] 2026-9-22 | SoK: Privacy Risks and Mitigations in Retrieval-Augmented Generation Systems
[IEEE] 2026-9-22 | Reliability Assessment of Power Systems with Dynamic Thermal Rating and Energy Storage System in Low-Inertia Grids
[IEEE] 2026-9-22 | An Online Identification Method for Charging Load Based on the Mean Teacher-Student Network
[IEEE] 2026-9-22 | Machinability Study of Mild Steel with Small Quantity Lubrication and Optimization by Machine Learning Models
[IEEE] 2026-9-22 | Topological State Identification of Market Rotation in Chinese ETFs
[IEEE] 2026-9-22 | Analytical Characterization of Capacitive Power Transfer Links for Subcutaneous Implantable Medical Devices
[IEEE] 2026-9-22 | Hub-Height Wind Speed Forecasting and Bias Correction for an Offshore Wind Farm Using a Coupled Atmosphere–Ocean–Wave Model
[IEEE] 2026-9-22 | Position: Research in Collaborative Learning Does Not Serve Cross-Silo Federated Learning in Practice
[IEEE] 2026-9-22 | RVC-NMPC: Nonlinear Model Predictive Control with Reciprocal Velocity Constraints for Mutual Collision Avoidance in Agile UAV Flight
[IEEE] 2026-9-22 | FoodCHA: Multi-Modal LLM Agent for Fine-Grained Food Analysis
[IEEE] 2026-9-22 | Embedded Multi-Terminal Chip Capacitors with Ultra-Low Package ESL and ESR for MHz-Range 3D-Stacked Integrated Voltage Regulators
[IEEE] 2026-9-22 | Semantic-Enhanced Data-Knowledge Fusion for Fine-Grained Short-Term Load Forecasting in Distribution Transformer Areas
[IEEE] 2026-9-22 | Enhanced Multi-Modal Deep Learning for Marine Threat Detection: Achieving Near-Perfect Accuracy Through Regularization and Realistic Data Synthesis
[IEEE] 2026-9-22 | Attested Policy Brokerage for Secure MCP Sessions in Hybrid AI Fabrics
[IEEE] 2026-9-22 | Towards Mitigating Excessive Forgetting in LLM Unlearning via Entanglement-Guidance with Proxy Constraint
[IEEE] 2026-9-22 | Kraken: Higher-order EM Side-Channel Attacks on DNNs in Near and Far Field
[IEEE] 2026-9-22 | Energy Shaping and Damping Control Based on Hamiltonian Control Law of Hydrogen Fuel Cell/Supercapacitor/Battery Hybrid Source for DC Microgrid Stability
