[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[IEEE] 2026-7-20 | Design of Multi-Functional Split Ring Resonator for Motion sensing and Dielectric Characterization
[IEEE] 2026-7-20 | Towards reliable super resolution for subgrid physics
[IEEE] 2026-7-20 | ESEE 2026 TOC
[IEEE] 2026-7-20 | Closed-Loop Remote Sensing Image Change Detection via Active Difference-Prior Guidance
[IEEE] 2026-7-20 | IEEE Vehicular Technology Society Information
[ACM] 2026-7-21 | RAGnRoll: Learning to Iteratively Retrieve and Generate Attributable Answer Snippets
[ACM] 2026-7-21 | Abstraction First: Re-examining the Role of Algorithmic Patterns in CS Students' Abstraction Development
[ACM] 2026-7-21 | LLM+Graph@VLDB'2025 Workshop Summary
[ACM] 2026-7-21 | SEMODS: A Validated Dataset of Open-Source Software Engineering Models
[ACM] 2026-7-21 | Backporting in Robot Operating System: Identifying Commit Purpose and Propagation Need with Large Language Models
[IEEE] 2026-7-21 | Fast-Robust Aggregation and Multicast Coded Data Recovery for LEO Satellite Network
[IEEE] 2026-7-21 | IEEE Control Systems Society Technical Committee on Intelligent Control
[IEEE] 2026-7-21 | Verifiable Compromised Credential Checking_supp1-3715105.pdf
[IEEE] 2026-7-21 | Principle and Topology Derivation of Partial Power Processing Three-Port DC–DC Converters
[IEEE] 2026-7-21 | Fairer Ensembles via Co-Evolution_supp1-3712751.pdf
[IEEE] 2026-7-21 | VCF-CLIP: Visual Context-Driven Fine-Grained Prompt Learning for Zero-Shot Anomaly Detection
[IEEE] 2026-7-20 | The Effect of Heavy Ions on Inference Performance on the IBM NorthPole
[IEEE] 2026-7-21 | Copula-Based Reliability Analysis of RIS-Aided Short-Packet Communication With EMI
[IEEE] 2026-7-21 | Conference Calendar
[IEEE] 2026-7-21 | Common-Mode Noise Optimization via Impedance-Balanced Design in Three-Phase Four-Wire Systems
[IEEE] 2026-7-20 | A Compact Piezoelectric Energy Harvester with Multi-Input ReL-SSHI Interface and Extensible MPPT Technique
[IEEE] 2026-7-21 | Optimized Overmodulation Strategy Based on Gradient Projection Algorithm for DTP-PMSMs With Minimum Harmonics
[IEEE] 2026-7-21 | Quantum Enhanced Attention Integrated CNN Model for Clinical Speech Recognition
[IEEE] 2026-7-21 | Selective Audio–Visual Fusion via Semantic Calibration for Video Surveillance System_supp1-3709835.pdf
[IEEE] 2026-7-21 | Road Damage Detection with an Attention-Enhanced YOLOv8n Model
[IEEE] 2026-7-21 | Deep Learning-Based Operating State Prediction and Optimal Control for Energy and Power Systems
[IEEE] 2026-7-21 | Visual Image Reconstruction from EEG Signals via Masked-Diffusion Augmentation and Spatio-Temporal Attention
[IEEE] 2026-7-20 | A 10 kW, 1.6 kV Modular Soft-Switched Isolated Three-Phase Unfolding-Based AC-DC Converter for DC Current Distribution Systems
[IEEE] 2026-7-21 | FAST-LIEO2: Fast and Tightly-Coupled LiDAR-Inertial-Event Odometry_supp1-3715038.mp4
[IEEE] 2026-7-21 | Research on Social Media Sentiment Divergence and ChiNext Index Volatility—Evidence from Eastmoney Stock Forum Comments
[IEEE] 2026-7-21 | Trace-Aware Multidimensional Analysis of Hidden Bottlenecks in Autoscaling Microservices
[IEEE] 2026-7-21 | CBAM-Enhanced YOLOv8 for Leukocyte Detection in Nailfold Microcirculation: A Comparative Study of Attention Mechanisms
[IEEE] 2026-7-21 | Title Page
[IEEE] 2026-7-21 | An Explainable AI Framework for Biomarker-Driven Cardiovascular Risk Stratification
[IEEE] 2026-7-21 | An Evidence-Driven Hybrid Architecture for Financial Statement Fraud Detection with Long-Context Transformers
[IEEE] 2026-7-21 | ICAMT: Integrate Correlative Attention Multi-scale Transformer for Image Super-Resolution
[IEEE] 2026-7-21 | Defending Federated Learning Against Model Poisoning Attacks via Eliminating Malicious Features
[IEEE] 2026-7-21 | Chronological Benchmarking of Statistical and Machine-Learning Models for Regional Power-System Energy Consumption Forecasting
[IEEE] 2026-7-21 | Enhancing Facial Emotion Recognition Performance using Two-Stage Augmentation on ResNet-18
[IEEE] 2026-7-21 | UAV Trajectory, Power and User-Association Optimization for Covert Communications in ICRNs
[IEEE] 2026-7-21 | A Pre-aggregation Behavior-Aware Defense against Safety Attacks in Federated Instruction Tuning
[IEEE] 2026-7-21 | Surface Fault Detection of Wind Turbine Blades Based on Improved YOLOv11
[IEEE] 2026-7-21 | A Lightweight YOLOv8-Based Network for RGB–IR Object Detection with SimAM and CSPDense
[IEEE] 2026-7-21 | Constructing an Adaptive Multimodal Knowledge Graph for Personalized Chinese Language Education
[IEEE] 2026-7-21 | Multi-Level Collaborative Optimization Control Strategy for Interaction Between Electric Vehicles and the Power Grid
[IEEE] 2026-7-21 | CNN–ViT–UNet: A Hybrid Deep Learning Framework for Automatic Prostate Gland Segmentation in MRI
[IEEE] 2026-7-21 | Physics-Guided Data-Driven Power Flow Modeling for Unbalanced Distribution Feeders without Phasor Measurements
[ACM] 2026-7-21 | Zephyr: A Zero-loss and Tranparent TLS Connection Migration Framework
[ACM] 2026-7-21 | Saving Lost Intents in Network Configurations
[IEEE] 2026-7-21 | DFE-YOLO: Discriminative Feature Enhancement Framework for Small Object Detection
[IEEE] 2026-7-21 | Accelerated Multi-Agent PI Optimization with Online Symmetric Experience Sharing for DC Microgrid Voltage Control
[IEEE] 2026-7-21 | A Self-Evolving Deep Network for Condition Aware Underwater Image Enhancement
[IEEE] 2026-7-21 | Study on Water Wall Delay under Load Changes in Supercritical Units
[IEEE] 2026-7-21 | Evidence-Verified LLM Agents for Safe Backend Incident Remediation
[IEEE] 2026-7-21 | A Survey of Intelligent Recognition Methods for Aerial Small Targets Based on Multimodal Recognition
[IEEE] 2026-7-21 | Digital Twin Dynamic Topology Simulation Platform Based on Semantic Integrity Verification
[IEEE] 2026-7-21 | Multimodal Referring Expression Segmentation with Auxiliary Geometric Supervision
[IEEE] 2026-7-21 | Emotion-Invariant EEG-Based Biometric Authentication Using Emotion Prototype Rectification Networks
[IEEE] 2026-7-21 | Web-Based Digital Twin Architecture: Integrating the Grafana Analytics Dashboard with a Unity 3D Model
[IEEE] 2026-7-21 | ASENS 2026 Author Information Page
[IEEE] 2026-7-21 | Post-Generation Audit for Detecting Unsupported Claims in KPI-Grounded LLM Performance Feedback
[IEEE] 2026-7-20 | Bridging the Gap Between Triage and Treatment: A Deep Learning Framework for Fine-Grained Cervical Lesion Stratification
[IEEE] 2026-7-21 | Event-Level Abnormal Docking Recognition via Dual-Vessel Interaction Evolution and Consistency Fusion
[ACM] 2026-7-20 | Proceedings of the 2026 Applied Networking Research Workshop
[IEEE] 2026-7-20 | Enhanced Security and Efficiency of Online Voting Systems Using the SEDP Algorithm in Blockchain: A Comparison with Traditional Systems
[IEEE] 2026-7-20 | Design and Simulation of a Fuzzy PID Control System for Highly Robust Permanent Magnet Synchronous Motors
[IEEE] 2026-7-20 | CGR-LMF: Lightweight Open-Set Radar Jamming Recognition via Class-Center Geometric Risk and Logit-Margin Fusion
[IEEE] 2026-7-20 | Doppler-Based Position Estimation in LEO Satellite Links
[IEEE] 2026-7-20 | First-Order HF Radar Ocean Surface Cross Section for a Floating Platform Incorporating Non-Gaussian Stochastic Motion
[IEEE] 2026-7-20 | Assessing the Role of Smart Urbanization and Smart Governance in Mitigating CO
                    <sub>2</sub>
                    Emissions: Evidence from a Random-Effects Model
[IEEE] 2026-7-20 | Comparative Analysis of Transformer, LSTM, and Random Forest Models for CDN Traffic Forecasting: A Study on Accuracy, Efficiency, and Scalability
[IEEE] 2026-7-20 | Effects of Pressure and Temperature on the Foaming Behavior and Foam Stability of CO
                    <sub>2</sub>
                    Flooding Produced Crude Oil
[IEEE] 2026-7-20 | Coalition-Based Task Allocation for Multi-Robot Warehouse Automation
[IEEE] 2026-7-20 | Distribution Network Fault Classification Method Based on Time-Frequency Feature Fusion and Lightweight Modeling
[IEEE] 2026-7-20 | A Human-Centric Hybrid Framework for Continuous Authentication via Keystroke Behavioral Biometrics Using ML and Deep Q-Networks
[IEEE] 2026-7-20 | Improved Model Predictive Control Method for Modular Multilevel Converters
[IEEE] 2026-7-20 | A Deep Learning Framework Combining CAE and FastViT for Lung Cancer Diagnosis from CT Images
[ACM] 2026-7-21 | EdgePoW: Adaptive Ingress-Aware Defense with Non-Interactive PoW Against Volumetric SYN Floods
[ACM] 2026-7-21 | Alignment-then-Fusion: A Dual-Tower Framework for Malware Traffic Classification
[IEEE] 2026-7-20 | Research on Power Quality Issues of Voltage Sag-Sensitive Chip Companies
[IEEE] 2026-7-20 | Fault Diagnosis Method for High-Voltage Cable Cross-Bonding System Based on Attention-TCN
[IEEE] 2026-7-20 | Precise Live Localization Technology for Grounding Circuit Defects of High-Voltage Cable
[IEEE] 2026-7-20 | Optimization of Multi-AGV Scheduling for Airport Baggage Handling
[IEEE] 2026-7-20 | High-Precision Tracking Method for the Opening and Closing Motion of a High-Speed Earthing Switch Based on SiamFC-SA
[IEEE] 2026-7-20 | Joint Positioning and Precoding for Max-Min Fairness in RSMA-Based Hybrid Satellite-UAV-Terrestrial Networks
[IEEE] 2026-7-20 | Research on an Excessive Artist Style Mimicry Detection Algorithm for AI-Generated Artworks
[IEEE] 2026-7-20 | Research on the filtering method of SAR interferogram based on homogeneous pixels
[IEEE] 2026-7-20 | An Intrusion Detection System for Industrial Internet of Things Networks
[IEEE] 2026-7-20 | Active Phase Modulation Control Method for Flywheel Energy Storage Based on Phasor Trajectory Predictionn
[IEEE] 2026-7-20 | A Unified Computational Framework for Subjective Experience and Objective Reality: A Solution to the Hard Problem of Consciousness
[IEEE] 2026-7-20 | Domain-Specific EfficientNet-Transformer based Vision Language Model for Campus Navigation
[IEEE] 2026-7-20 | Human-Centric AI Cyber-Resilience in HealthTech: An Empirical Study in Moroccan Healthcare Organizations
[IEEE] 2026-7-20 | Research on Satellite Telemetry Anomaly Detection Algorithm Based on Enhanced Interquartile Range Method
[IEEE] 2026-7-20 | Physical Layer Security with Chaos-Based Frequency Modulation
[IEEE] 2026-7-20 | Artificial Intelligence-Based Core-set Selection and Ethical Optimisation for Computer Vision
[IEEE] 2026-7-20 | A Privacy-Focused, Post-Quantum-Oriented Digital Identity System Using Blockchain and Zero-Knowledge Proofs
[IEEE] 2026-7-20 | SLyCE: An Efficient
                    <u>S</u>
                    urrogate-based
                    <u>L</u>
                    oss
                    <u>y</u>
                    <u>C</u>
                    ompression Quality
                    <u>E</u>
                    stimation Framework
[IEEE] 2026-7-20 | GraphHall: A Graph-Based Framework for Hallucination Detection in Large Language Models
[IEEE] 2026-7-20 | TileLoc: Sequential Visual Place Recognition of UAVs using Public Tile Maps
[IEEE] 2026-7-20 | A Training-Free Vision Foundation Model Synergy Framework for Building Extraction in High-Resolution Remote Sensing Images
[IEEE] 2026-7-20 | Observer-Based Event-Triggered Resilient Control for Networked UMV Systems Under Switching Deception Attacks
[IEEE] 2026-7-20 | Triggering Phantom Obstacles: Black-Box Physical Adversarial Attacks Against MDE for Autonomous Vehicles
[IEEE] 2026-7-20 | LLM-Based Intrusion and Anomaly Detection for IoT Networks: A Systematic Survey
[IEEE] 2026-7-20 | Omni-Tuning: Learning Shared Semantic Directions for Robust Generalization in VLMs
[IEEE] 2026-7-20 | Information for Authors
[IEEE] 2026-7-20 | ECIS 2026 Cover Page
[IEEE] 2026-7-20 | ECIS 2026 Cover Page
[IEEE] 2026-7-20 | Radio-PPG: Photoplethysmogram Digital Twin Synthesis Using Deep Neural Representation of 6 G/WiFi ISAC Signals_supp1-3711163.pdf
[IEEE] 2026-7-20 | IEEE Transactions on Cybernetics Publication Information
[IEEE] 2026-7-20 | IEEE Sensors Letters Subject Categories for Article Numbering Information
[IEEE] 2026-7-20 | Harnessing TiO
                    <sub>2</sub>
                    -Based Nanofilaments: A Pathway to Enhanced Optoelectronic Performance in Dye-Sensitized and Perovskite Light Harvesters
[ACM] 2026-7-21 | Environmental Regulation in CDN Market: A Game-Theoretic Framework
[ACM] 2026-7-21 | Demonstration of Adapt4Me: An Uncertainty-Aware Authoring Environment for Personalizing Automatic Speech Recognition to Non-normative Speech
[ACM] 2026-7-21 | Deep Learning-Based Remote Sensing Monitoring and Ecological Restoration Assessment of Grassland Degradation
[ACM] 2026-7-21 | SSP-Embedded Real Options Framework for Offshore Wind-to-Hydrogen Investment Decisions
[ACM] 2026-7-21 | Tricky²: Towards a Benchmark for Evaluating Human and LLM Error Interactions
[ACM] 2026-7-21 | Exploring the Potential of Large Language Models in Simulink-Stateflow Mutant Generation
[ACM] 2026-7-21 | MalCVE: Malware Detection and CVE Association Using Large Language Models
[IEEE] 2026-7-21 | Time Resolution of a 4H-SiC PIN Detector Irradiated with 16 MeV/u Ta Ions
[IEEE] 2026-7-20 | Non-uniform Antenna Loading Effect on Embedded Element Patterns and Application to Fault Detection
[IEEE] 2026-7-21 | Joint Beam Placement and Power Optimization for Broadcast and Multicast Services in Multi-Beam LEO Satellite Systems
[IEEE] 2026-7-21 | AUV-Assisted Task Offloading in Underwater Acoustic Sensor Networks with End-Edge-Cloud Collaboration: A Game-Theoretic Approach
[IEEE] 2026-7-21 | Research on the Material–Modal Coupling Characteristics of eVTOL Rotor Blades for New Energy Electric Aviation
[IEEE] 2026-7-21 | Low-Power Wireless Imaging Control System Based on Decomposition Wavelet Transform–Singular Value Decomposition Compression for Smart Lung Cancer Screening
[IEEE] 2026-7-21 | A WordNet-Based Framework for Singular-Plural Processing in Indian Multilingual MT Systems
[IEEE] 2026-7-21 | 2026 3rd International Conference on Algorithms, Software Engineering and Network Security (ASENS)
[IEEE] 2026-7-21 | Multi-step Industrial Energy Consumption Forecasting with Heterogeneous Feature Grouping and Direct Multi-Output Strategy
[IEEE] 2026-7-21 | Urban Pollutant Source Identification With GCN-Enhanced CityTransformer Method
[IEEE] 2026-7-21 | Research on Network Security Automated Vulnerability Scanning Based on MCP+RAG+LLM
[IEEE] 2026-7-21 | Design of a Low-Cost Retrieval-Augmented Generation System Based on Hybrid API and Local Vector Architecture
[IEEE] 2026-7-21 | Lily: Exploring Role-Playing Generative AI for Emotionally Engaged Shopping List Interaction
[IEEE] 2026-7-21 | Agentic Artificial Intelligence (AI) as Peer Tutor: Experiential Learning for Ethical AI Literacy and Academic Integrity in Education
[IEEE] 2026-7-21 | A Two-Stage Deep Neural Network Approach to Personalized Head-Related Transfer Function Prediction
[IEEE] 2026-7-20 | Electric Field Self-Adaptive Insulating Films via Hydrogen-Bond-Mediated Nanoplatelet Stacking
[IEEE] 2026-7-21 | Reducing Metadata and Page Migration Overheads in CXL-Based Secure Tiered Memory
[IEEE] 2026-7-20 | Robust Lateral Control of a Convoy of Autonomous and Connected Vehicles With Limited Preview
[IEEE] 2026-7-21 | HieraTouch: Anchoring Multimodal Physical Reasoning in Hierarchical Tactile Facts against Visual Deception
[IEEE] 2026-7-21 | Performance Degradation Mechanisms in p-Type Nanosheet FETs: Role of Source/Drain Doping, Stress, and Inner Spacer Interface Traps
[IEEE] 2026-7-21 | Structural Stress as a Predictor of the Rate and Spatial Location of Aortic Growth in Uncomplicated Type B Aortic Dissection_supp1-3714865.docx
[IEEE] 2026-7-21 | Milieu of Feedback Control, Social Acceptance of Pricing, and Project-Based Teaching [About This Issue]
[IEEE] 2026-7-21 | FPGA-based Reservoir Computing with On-chip Learning for MIMO Channel Prediction
[IEEE] 2026-7-21 | The Anatomy of RF Chains: Metrics, Measures, and Operating Efficiency
[IEEE] 2026-7-21 | Automated Periodontitis Segmentation in Dental Images Using Dual-Source Training, UNet++, and a Composite Boundary-Topology Loss
[IEEE] 2026-7-21 | Hybrid Path Planning Algorithm Based on an Improved A* Algorithm and the Artificial Potential Field Method
