[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | Brain Tumor Classification using Hybrid Deep-Wavelet Feature Fusion with Probabilistic PCA-based Feature Reduction
[IEEE] 2026-2-27 | Learning-Based Real-Time Shape and Force Estimation for Continuum Robots Using FBG-Embedded Actuation Cables_supp1-3659518.mp4
[IEEE] 2026-2-27 | Towards Battery-Free Environmental Monitoring: A High-Efficiency Energy Harvesting System from Low-Intensity RF Signals
[IEEE] 2026-2-27 | 2025 5th International Conference on Mechanical Automation and Electronic Information Engineering (MAEIE)
[IEEE] 2026-2-27 | IEEE Standard for Testing Faulted Circuit Indicators
[IEEE] 2026-2-27 | Cavity-Grate Integrated All-Fiber Optic High Temperature Pressure Sensor with Enhanced Contrast and Sensitivity_supp1-3667231.pdf
[IEEE] 2026-2-27 | A Text-to-3D Framework for Joint Generation of CG-Ready Humans and Compatible Garments
[IEEE] 2026-2-27 | A Self-Powered and Temperature-Sensitive Photodetector Based on VO
                    <sub>2</sub>
                    Films With Reversible Dark Current Polarity
[IEEE] 2026-2-27 | How Do Market Signals Drive Carbon Emissions in Indonesia? A Predictive Modeling Perspective
[IEEE] 2026-2-27 | Design of a SDRAM-Based Program Running Method for DSP6713
[IEEE] 2026-2-27 | Sustainable Digital Tourism through Social Media: A TAM-Based Study on Food Waste Reduction in Hospitality
[IEEE] 2026-2-27 | A Supercapacitor-Enhanced Grid-Forming SVG with Fault Ride-Through Strategy for Symmetrical Fault
[IEEE] 2026-2-27 | Independent Phase Current Control Strategy for Modular Multilevel Matrix Converter Fault Conditions
[IEEE] 2026-2-27 | A Multi-Source Data Feature Fusion Method Based on FCN and Residual Attention Mechanism for Remaining Life Prediction of Gas Turbine
[IEEE] 2026-2-27 | Development of a Compliant Mechanism for Series Elastic Actuators
[IEEE] 2026-2-27 | Performance of Multilayer Perceptron Models for Fetal Health Assessment
[IEEE] 2026-2-27 | Experimental Verification of Vibration-Based Release for a Sticky-Food Handling Gripper
[IEEE] 2026-2-27 | A Single-Phase Symmetric-Bipolar Buck-Boost AC-AC Converter With Continuous Input-Output Current
[IEEE] 2026-2-27 | Spatial Characteristics and Controlling Factors of Permafrost Deformation in the Qinghai-Tibet Plateau Revealed Through InSAR Measurements_supp1-3664223.docx
[IEEE] 2026-2-27 | Data-Driven and Automated AIOps for IP Network Management
[IEEE] 2026-2-27 | Reliability Enhancement of a 2.2 kV
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Schottky Barrier Diode With Junction Termination Extension Under High-Temperature Storage Stress
[IEEE] 2026-2-27 | Investigating the Optimal Assistive Strategy for Freezing of Gait: A Comparison of Unilateral and Bilateral Artificial Muscle Assistance
[IEEE] 2026-2-27 | The Influence of Blockchain Understanding on Cryptocurrency Usage Intentions Among Young People
[IEEE] 2026-2-27 | Extreme Programming Implementation for Diabetes Mellitus Early Detection Expert System Using Forward Chaining Method
[IEEE] 2026-2-27 | Wide Voltage Range Non-isolated Three-port Converter Based on Multi-voltage Mode Modulation
[IEEE] 2026-2-27 | Fully Automated CAD/BIM Modeling of Pipe Structures from Plant Environment 3D Point Cloud
[IEEE] 2026-2-27 | Safety and Comfort-Aware Multi-Agent Reinforcement Learning Framework for Critical Scenarios Generation Towards ADS Testing
[IEEE] 2026-2-27 | Research on Two - stage Detection Method Based on Wide - band Signals
[IEEE] 2026-2-27 | Photonic Crystal Sensors in Microfluidics for Realtime Chemical Reaction Monitoring
[IEEE] 2026-2-27 | Soil Quality Analysis and Yield Prediction Using Remote Sensing and Machine Learning
[IEEE] 2026-2-27 | Advances and Open Challenges in Small Object Detection for UAV Imagery: A Deep Learning Perspective
[IEEE] 2026-2-27 | A Single-Stage Isolated Modular Multilevel Resonant DC-DC Converter for Wide-Range High Step-Down Applications
[IEEE] 2026-2-27 | SiC MOSFET Bidirectional Crosstalk Suppression Method Based on low Impedance Branch and Negative Voltage Modulation
[IEEE] 2026-2-27 | Secgenai: A Security-Enhanced Generative AI Framework for Healthcare Chatbots
[IEEE] 2026-2-27 | A Novel Correction Strategy for High-Precision Testing of Power Devices Based on Real-Time Delay and Offset Compensation
[IEEE] 2026-2-27 | SII 2026 Commentary
[IEEE] 2026-2-27 | AdSig-Detector: Adversarial Signal Detection Based on Wavelet and Variational Mode Decomposition
[IEEE] 2026-2-27 | ML-Driven Adaptive Resource Allocation for High-Performance Ultra-Dense WDM-Based Hybrid FSO/FTTx Networks Under Diverse Weather Conditions
[IEEE] 2026-2-27 | Optimization for Collection System of Offshore Wind Farm Based on Particle Swarm Optimization With Simulated Annealing Strategy
[IEEE] 2026-2-27 | Neuromorphic Image Processing for Enhancing Simulated Prosthetic Vision
[IEEE] 2026-2-27 | Lung Cancer Detection and Classification using Deep Learning Methods: A Comparative Study
[IEEE] 2026-2-27 | Design and Implementation of a Lightweight Platform Independent Ring Oscillator PUF for IoT Applications
[IEEE] 2026-2-27 | Thin-Film Thermal Discoloration Sensor for Distributed Material Identification
[IEEE] 2026-2-27 | Design Concept and Applications of Inflatable Robots: Single and Dual-Arm with Internal Drop-Stitch Structure and Rigid Joints
[IEEE] 2026-2-27 | Hybrid Deep Learning Model to Enhance Intrusion Detection Systems in PySpark Big Data Framework
[IEEE] 2026-2-27 | Blockchain Based Peer-to-Peer Power Trading: An Analysis in India
[IEEE] 2026-2-27 | NAIS: A Modular ROS 2 Framework for Real-Time Scene Graph Construction and Language-Guided Navigation
[IEEE] 2026-2-27 | A Data-Driven Learning-from-Demonstration Framework for Robotic Grasping
[IEEE] 2026-2-27 | Soft Switching in the Resonant Buck Converter Systems
[IEEE] 2026-2-27 | A Comparative Study on Segmentation Techniques for Context-Aware Safe Landing of UAVs
[IEEE] 2026-2-27 | Design of a Wireless Communication-Based Intelligent Wearable System for Mining Applications
[IEEE] 2026-2-27 | Research on the Positioning of Flanges Based on Mapping Projection Method
[IEEE] 2026-2-27 | Design of Active Simulation Equipment for Radar Targets Based on Neural Network
[IEEE] 2026-2-27 | GaN-Based High Efficiency Flying Capacitor 6-level Bidirectional AC-DC Converter
[IEEE] 2026-2-27 | Privacy-Preserving Federated Transfer Learning for Secure Cross-Domain Knowledge Sharing in Healthcare
[IEEE] 2026-2-27 | Exploring Power Electronic Interfaces for Minimizing Torque Ripple in SRM Systems - A Review
[IEEE] 2026-2-27 | Research on Time Slot Allocation in Wireless Body Area Networks Related to Delay
[IEEE] 2026-2-27 | Trajectory Tracking Control of Industrial Robotic Manipulators Based on FOPID with Improved BAS-PSO Algorithm
[IEEE] 2026-2-27 | BigCounter: A Bidirectional-guided Network with Scene-Semantics Driven Fusion for RGB-Thermal Crowd Counting
[IEEE] 2026-2-27 | Novel medical image compression/decompression technique based on bicubic interpolation with matrix reduction algorithm
[IEEE] 2026-2-27 | mTIPs: Multimodal Time-Series Imaging and Prediction System for Early Differentiation of Retinal Organoids_supp1-3668206.pdf
[IEEE] 2026-2-27 | Predicting Situation Awareness From Physiological Signals_supp1-3647796.docx
[IEEE] 2026-2-27 | Preference-Aware Multimodal Contrastive Learning Recommendation
[IEEE] 2026-2-27 | Time Series Classification on Eye Tracking for Identification of Sequential-Global Cognitive Styles
[IEEE] 2026-2-27 | Manageable Convex Region Iteration without Half-Plane Optimization for Robot Navigation in 2D Cluttered Scenes
[IEEE] 2026-2-27 | Neural Network-Aided Differential Evolution With Double Q-Learning for Dynamic Optimization
[IEEE] 2026-2-27 | Improved the High-temperature Energy Storage Performance of PI Films via Multi-scale Optimization of Electrodes and Interface Engineering_supp1-3668744.docx
[IEEE] 2026-2-27 | SyMFood: Synergistic Multi-Modal Prompting for Fine-Grained Zero-Shot Food Detection_supp1-3668226.pdf
[IEEE] 2026-2-27 | Payload Vision: A Nanosatellite Payload System for Efficient Data Transmission
[IEEE] 2026-2-27 | Speak Sign: ISL to Multilingual Speech Using Deep Learning Framework
[IEEE] 2026-2-27 | Real-time Path-recovery Method for Open-fiber-cross-connect-based Networks
[IEEE] 2026-2-27 | Task Placement Optimization of Redundant Robots Using Reliability Maps under Locked Joint Failures
[IEEE] 2026-2-27 | Cross-Domain Knowledge Distillation for Low-Resolution Human Pose Estimation
[IEEE] 2026-2-27 | Simulation-Based Optimization of Highway Active Traffic Management Strategy Designs
[IEEE] 2026-2-27 | A Fast Double Null Control Concept Enabling Compact Fusion Reactors_supp1-3662750.pdf
[IEEE] 2026-2-27 | Table of Contents
[IEEE] 2026-2-27 | Anomaly Detection in Electricity Consumption Based on a Hybrid CNN-LSTM Neural Network
[IEEE] 2026-2-27 | A Study on Rapid and Smooth Path Planning for UAVs in Multi-Obstacle and Narrow Environments
[IEEE] 2026-2-27 | Research on the Buffering Characteristics of the Electromagnetic Repulsion Mechanism
[IEEE] 2026-2-27 | The Role of Artificial Intelligence in Game Design and NPC Behaviour
[IEEE] 2026-2-27 | Investigation of Composite ESS with Hybrid Controller for Restructured AGC System
[IEEE] 2026-2-27 | A Hybrid CEEMDAN-CorrInformer Model for High-Accuracy Wind Power Prediction
[IEEE] 2026-2-27 | Innovative Hybrid Strategy for Energy-Efficient Clustering and Routing in Wireless Sensor Networks
[IEEE] 2026-2-27 | Enhancing Credit Risk Assessment with Sentiment Analysis and Feature Engineering
[IEEE] 2026-2-27 | Collision Avoidance in Healthcare Robotics Using mm-Wave Radar Fusion: A Hygienic and Fail-Safe Approach
[IEEE] 2026-2-27 | Hybrid Quantum-Classical Agentic AI for Resource-Efficient Optimization of National Power Grids
[IEEE] 2026-2-27 | PayGuard: An Event-Driven, Policy-Graph-Guided AI Pipeline for Real-Time Payroll Risk Detection and Conformal Remediation
[IEEE] 2026-2-27 | Data-Driven Dynamic Parameter Learning of manipulator robots
[IEEE] 2026-2-27 | Low-Latency Space-Air-Ground Integrated Networks Access Control Considering Time-Domain Holes
[IEEE] 2026-2-27 | Real-Time Wildlife Intrusion Detection Using YOLOv8 and OpenCV
[IEEE] 2026-2-27 | Comparative Machine Learning Approaches to Permafrost Probability Mapping in the Western Himalaya’s Jhelum Basin
[IEEE] 2026-2-27 | A Comprehensive Review on SOC Estimation Techniques of Batteries
[IEEE] 2026-2-27 | Enhancing Contextual Retrieval and Generation of Text through RAG and Knowledge Graph with Custom Cosine Similarity
[IEEE] 2026-2-27 | AI-Driven Sign Language Translation for Real-Time Interaction
[IEEE] 2026-2-27 | Optimal Design of Passive Link Systems and Sensor Fusion for Precise Position Measurement of Robot End-Effector
[IEEE] 2026-2-27 | Zig-RAPM: A Cost Effective Zigbee-driven Realtime Remote Air Pollution Monitoring System in Industrial Belt, an Experimental Approach with Field Survey
[IEEE] 2026-2-27 | An Analysis of Employee Engagement in IT Enterprises in Digital India: A SEM Based Approach
[IEEE] 2026-2-27 | Hybrid Ag-Al Grating based D-Shaped Optical Fiber Surface Plasmon Resonance Sensor
[IEEE] 2026-2-27 | Visual and Linguistic Fusion: Building Effective Image Caption Generator
[IEEE] 2026-2-27 | Overload Current Suppression Strategy for Voltage-Source Inverters under Impact Loads
[IEEE] 2026-2-27 | A Decentralized Framework for Inter-Domain Authentication Using Blockchain
[IEEE] 2026-2-27 | Multi-Object Loco-Manipulation Using Body Holding Primitives for Humanoids
[IEEE] 2026-2-27 | Junction Temperature Measurement Method for Multi-Chip Welded IGBT Power Modules Based on Fluorescent Fiber-Optic Probes
[IEEE] 2026-2-27 | ZMP Estimation from Wearable Sensor Using Deep Learning for Gait Analysis
[IEEE] 2026-2-27 | Data-Efficient Real-Time Control of an Artificial-Muscle-Driven Continuum Robot with Physics-Informed Koopman Operator
[IEEE] 2026-2-27 | A Survey on Formal Methods for Railway Interlockings: From Relays to Satellite-Based Moving Block Signaling
[IEEE] 2026-2-27 | Gait Planning &amp;#x0026; Adaptive Impedance Control for Turning Walk Based on a Self-Balancing Lower Limb Exoskeleton_supp1-3668388.pdf
[IEEE] 2026-2-27 | Sustainability in FinTech: A UTAUT-Based Analysis of E-Wallet Continuance Intention Among Gen Z Users
[IEEE] 2026-2-27 | Federated Meta-Transfer Learning Framework for Privacy-Preserving Anomaly Detection in Low-Voltage Distribution Networks
[IEEE] 2026-2-27 | Capacity Exploitation: A Distillation Framework for Black-Box Watermark Removal
[IEEE] 2026-2-27 | Design and Implementation of a Virtual Simulation Platform for Physics Experiments Supported by Digital Twin Technology
[IEEE] 2026-2-27 | Beyond Transformers: Dendritic State-Space Models
[IEEE] 2026-2-27 | A Transient Power Angle Reshaping Control Strategy for Grid Forming Converters
[IEEE] 2026-2-27 | Vector Flow Imaging in Layered Models With a High Speed of Sound Contrast Using Pulse-Echo Ultrasound and Photoacoustics
[IEEE] 2026-2-27 | Gender Prediction Based on Large Language Models: An Analysis of Output Patterns and the Impact of Artificial Intelligence
[IEEE] 2026-2-27 | NNP-NET: Accelerating t-SNE Graph Drawing for Large Static and Dynamic Graphs by Neural Networks
[IEEE] 2026-2-27 | IWSA 2025 Copyright Page
[IEEE] 2026-2-27 | Collision-Free Navigation of Mobile Robots via Quadtree-Based Model Predictive Control
[IEEE] 2026-2-27 | Design and Implementation of LLC-DCX With 1A/mm2 Current Density for High-Current XPU Power Systems
[IEEE] 2026-2-27 | Control Strategies for Dual-three-phase Motors at Low Switching Frequencies
[IEEE] 2026-2-27 | Research on Planar Magnetic Integration Technology for Aerospace Half-Bridge LLC Resonant Converters
[IEEE] 2026-2-27 | Leveraging Explainable AI based Classifiers for Localizing Road Damage with Drone Imagery
[IEEE] 2026-2-27 | Current States of Modern Electric Vehicle Wireless Power Transmission. A Review!
[IEEE] 2026-2-27 | Comparisons of Different Transient Damping Strategies for Grid-Following Inverters based on Phase-Locked Loop Modifications
[IEEE] 2026-2-27 | Study on Actuation Speed Improvement of Pneumatic Artificial Muscle with Exhaust Mechanism
[IEEE] 2026-2-27 | A High Voltage Gain Pulse Power Supply Based on Sepic-Marx Circuit
[IEEE] 2026-2-27 | A Zero-shot framework Applied in the Object Detection Task of Unmanned Laboratory Scenarios
[IEEE] 2026-2-27 | Common-Mode EMI Suppression Method for Four-Level Inverters under Full Modulation Index
[IEEE] 2026-2-27 | RANSAC-Integrated Root-MUSIC: A Hybrid Algorithm for High-Precision BLE CS Ranging
[IEEE] 2026-2-27 | A High-Efficiency Reconfigurable Metasurface Unit for UAV Wireless Charging Systems
[IEEE] 2026-2-27 | Indirect Torso Posture Control and Force-Guided Singularity Avoidance for Humanoid Teleoperation System using Exoskeleton Cockpit
[IEEE] 2026-2-27 | IoT-Based CO
                    <sub>2</sub>
                    Gas Air Pollution Monitoring System In Residential Areas
[IEEE] 2026-2-27 | Classification Systems of Lenke Scoliosis Using Moment Invariant and Decision Tree Method
[ACM] 2026-2-27 | WECAR: An End-Edge Collaborative Inference and Training Framework for WiFi-Based Continuous Human Activity Recognition
[ACM] 2026-2-27 | AI Ethics &amp; Policy Column: Top AI Ethics and Policy Issues of 2025 and What to Expect in 2026
[IEEE] 2026-2-27 | A Systematic Comparison of Machine Learning Regressors for PM2.5 Concentration Forecasting: An AutoML-Driven Approach
[IEEE] 2026-2-27 | Toward Hybrid LLM-Assisted Vulnerability Detection for Continuous Integration: A Bias-Free Framework with a Context-Rich Dataset
[IEEE] 2026-2-27 | Power Balance Droop Control Strategy for DC Interconnection Energy Router in Low Voltage Distribution Station
[IEEE] 2026-2-27 | Self-Healing Autonomic IoT Security: A Multiclass Ensemble-Based Intrusion Detection System
[IEEE] 2026-2-27 | Digital Resonant Controller and Notch filter Design for LCL-Type Three-Phase PWM Rectifiers
[IEEE] 2026-2-27 | Utilizing Knowledge in Vision-Language Model for Robotic Grasp Force Estimation through Robot-to-Human Image Translation
