[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[IEEE] 2026-7-17 | DSPose: Decoupled Real-Time Pose Estimation from Semantic-RGB Radiance Rays_supp1-3713498.mp4
[IEEE] 2026-7-17 | Linearly Solving Robust Rotation Estimation_supp1-3707470.pdf
[IEEE] 2026-7-17 | Performance Analysis of VLC Systems Over Random Channels With Signal-Dependent Shot Noise and Relative Intensity Noise
[IEEE] 2026-7-17 | AICCONF 2026 Copyright Notice Page
[ACM] 2026-7-17 | Connecting Contemporary Industry and Society with Cultural Heritage Through Semantic Tools for Searching and Visualizing the Content of an Archive that Preserves the Valencian Design Legacy
[IEEE] 2026-7-17 | On-Device AI for Mold Detection: Supporting Food Safety for the Visually Impaired People
[IEEE] 2026-7-17 | Model Context Protocol (MCP) and Agent-to-Agent (A2A) Protocol for Scalable Agentic AI Systems
[IEEE] 2026-7-17 | Logistics Delay Prediction Using Graph Attention Networks and KNN - Based Graph Learning
[IEEE] 2026-7-17 | A Blockchain-Based Framework for Tamper-Evident Result Collation in Nigerian Elections
[IEEE] 2026-7-17 | Hyperspectral Spectral-Spatial Attention Network (HSSAN): A Novel Deep Learning Approach for Hyperspectral Image Classification
[IEEE] 2026-7-17 | On the Negative Differential Capacitance in DNA
[IEEE] 2026-7-17 | Impact of Layout Parasitics on a Multi-Branch Current Source
[IEEE] 2026-7-17 | A Multi-scale Frequency Spectrum Kernel for Temperature Time Series Anomaly Detection
[IEEE] 2026-7-17 | Design and Analysis of a 250 W Multiplier SEPIC Converter with PI Feedback Control
[IEEE] 2026-7-17 | Disrupting the Cyber Kill Chain: High-Accuracy Static Malware Detection Using Extreme Gradient Boosting
[IEEE] 2026-7-17 | MCS Framework: The Impact of Motivation on Cybersecurity Competence
[IEEE] 2026-7-17 | Effect of Copper Slag on the Drying Shrinkage of Concrete and Intelligent Fitting of a Modified Shrinkage Model Using Nonlinear Least Squares
[IEEE] 2026-7-17 | AdaMamba: A Mamba-Based Dual-Branch Adaptive Framework for Multivariate Time-Series Forecasting
[IEEE] 2026-7-17 | AI-Based Energy Management and Demand Forecasting for Smart Grids with High Renewable Penetration
[IEEE] 2026-7-17 | Performance Aware Adaptive Hybrid ARQ for Cross-Layer Optimization in Cognitive Radio
[IEEE] 2026-7-17 | Parametric Analysis of Reflecting Intelligent Surface Unit Cells
[IEEE] 2026-7-17 | Occlusion-Aware I/Q-Domain Decomposition of Human Micro-Doppler Returns Using a Multi-Task Deep Learning Network
[IEEE] 2026-7-17 | Real-Time Social Distancing Monitoring with CLAHE-Enhanced YOLOv8 Detection
[IEEE] 2026-7-17 | Anomaly Detection in the Health Monitoring of Satellites Using Machine Learning Techniques
[IEEE] 2026-7-17 | Tunable Scattering and Absorption by Graphene-Strip-Loaded Dielectric Cylinder Under Magnetic Line Source Excitation
[IEEE] 2026-7-17 | Evaluating the impact of water-repellent Rockwool on enhancing the energy performance of Veneer brick walls
[IEEE] 2026-7-17 | Localization at Smart Cities with Dense Environment: An Optimum Anchor Selection
[IEEE] 2026-7-17 | Data-Driven Modeling of Antibacterial Performance in Metal-Based Alloys
[IEEE] 2026-7-17 | Novel Methodology: Cross-Modal Diffusion with Transformer Encoding
[IEEE] 2026-7-17 | CyberPanel: A Distributed Insider Threat Detection System with Integrated GRC Framework
[IEEE] 2026-7-17 | Adaptive Homomorphic Encryption-Based Tensor Factorization for Edge-Enabled Privacy-Preserving Systems
[IEEE] 2026-7-17 | Blockchain-Enabled Centralized Key Management System for Internet of Health Things Networks
[IEEE] 2026-7-17 | TextQ-Melody: Semantically-Conditioned Quantum Variational Circuits for Text-to-Melody Generation
[IEEE] 2026-7-17 | Benchmarking Data Efficiency: Vision Language Models Versus Supervised Object Detection In Industrial Inspection
[IEEE] 2026-7-17 | ECSNet: Efficient Cross-Attentive Swin Network for Magnification-Independent Multiclass Breast Cancer Histopathology Classification
[IEEE] 2026-7-17 | Prediction of Concrete Freeze-Thaw Durability Based on Automated Machine Learning
[ACM] 2026-7-17 | Towards Automated Test Adaptation in Fork Ecosystems via Large Language Models
[ACM] 2026-7-17 | The Role of LLMs in Collaborative Software Design
[ACM] 2026-7-17 | Treating Run-time Execution History as a First-Class Citizen: Co-Versioning Run-time Behavior alongside Code
[ACM] 2026-7-17 | TSGen: Automated Troubleshooting Guide Generation
[ACM] 2026-7-17 | A Log-Centric Overlay on Method Call Graphs
[ACM] 2026-7-17 | Shark2Pit: Automated Test Template Generation for Protocol Fuzzing Based on Packet Parser
[ACM] 2026-7-17 | Evolution but Still Exposed: An Empirical Study of Residual APIs in the ChatGPT Plugin Ecosystem
[ACM] 2026-7-17 | Code Reviewer Recommendation for High Risk Diffs at Scale: Workflow, Recommender, and Live Experiments
[ACM] 2026-7-17 | RIDER: Evolutionary Prompt Optimization with Adaptive Operator Selection for Software Engineering
[ACM] 2026-7-17 | Domain Diversity, Motivation, Inclusion, and Feedback in Software Modelling Education
[ACM] 2026-7-17 | Benchmarking MCP Vulnerability Detection from a Paired Evaluation Perspective
[ACM] 2026-7-17 | Declarative Test-Native Software Fault Injection
[ACM] 2026-7-17 | Machine Learning in the Wild: Early Evidence of Non-Compliant ML-Automation in Open-Source Software
[ACM] 2026-7-17 | LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering
[ACM] 2026-7-18 | Measuring Spatial Spillover Effects of Regional Innovation Efficiency Using an Enhanced Graph Attention Network on Provincial Panel Data
[ACM] 2026-7-18 | Intelligent Monitoring and Integrated Control Framework for Urban Underground Pipeline Construction Risk: Numerical Investigation and Field Validation in Complex Geological Conditions
[ACM] 2026-7-18 | Cross-Language Teaching Paradigm Transfer with Multi-Platform Data Mining for Spanish Intelligent Tutoring: A Domain-Adaptive Approach
[ACM] 2026-7-18 | (In)Comprehensible Input and Explicit Instruction: A New Model for Programming Language Acquisition
[ACM] 2026-7-17 | IDPVerifier: Verifying Interrupt-driven Programs Efficiently via Heuristic and Reduced Partial-order Constraints
[ACM] 2026-7-17 | PyMOP: A Runtime Verification Tool for Python
[ACM] 2026-7-17 | Eagle: Leveraging Operations Documents for Comprehensive Benchmark Question Generation
[ACM] 2026-7-17 | Keeping Humans in the Driver’s Seat: A Conceptual Framework for GenAI and Competence Debt
[ACM] 2026-7-17 | LLM Use, Cheating, and Academic Integrity in Software Engineering Education
[ACM] 2026-7-17 | Reliable and Developer-Aligned Evaluation of Agents for Software Engineering
[ACM] 2026-7-17 | Agile Manifesto at Play: Lessons Learned from Student Game Design Teams
[ACM] 2026-7-17 | Mitigating Implicit Inconsistencies in Patch Porting
[ACM] 2026-7-17 | TraceSynth: Generating Production-Quality Kernel Traces with Constraint-Guided Diffusion Models
[ACM] 2026-7-17 | An Agentic Framework for Triaging Incidents in Production Cloud Infrastructure
[ACM] 2026-7-17 | Democratizing Legal Requirements for Context-Aware Software Systems
[ACM] 2026-7-17 | JSProtect: A Scalable Obfuscation Framework for Mini-Games in WeChat
[IEEE] 2026-7-17 | OpenMvL: An Attribute-Inspired Dual-Head Framework for Open-Set Multiview Learning
[IEEE] 2026-7-17 | ARDVC: Eliminating Semantic Redundancy via Action Retrieval in Dense Video Captioning
[IEEE] 2026-7-17 | A Lightweight Geometric Consistency Enhancement for One-Stage Architectural Line Segment Detection
[IEEE] 2026-7-17 | Long-Sequence Lower Limb Action Recognition via Action-Specific Attention and Logic Correction for Daily Rehabilitation_supp1-3713524.mp4
[IEEE] 2026-7-17 | Multi-Scan Multiple Target Tracking Based on a Node Ranking Message Passing Method
[IEEE] 2026-7-17 | Semantic Communication Frameworks for Autonomous Vehicles
[IEEE] 2026-7-17 | A unified multimodal time-domain analytical method for power system traveling waves
[IEEE] 2026-7-17 | Satellite imagery super-resolution using GANs and aerial images
[IEEE] 2026-7-17 | Table of Contents
[IEEE] 2026-7-17 | PCSA-UNet: A U-Net with Physiologically Constrained Sparse Attention for Fetal R-Peak Detection
[IEEE] 2026-7-17 | An Efficient, Secure, and Privacy-Preserving Communication Protocol for Drone-Assisted Disaster Management in Smart Cities
[IEEE] 2026-7-17 | An Extendable Wideband Band-Divided SP
                    <i>n</i>
                    T Switch Topology Based on a Reconfigurable Pole-to-Throw Network
[IEEE] 2026-7-17 | 2026 7th International Conference on Communications, Signal Processing, and their Applications (ICCSPA)
[ACM] 2026-7-17 | Node-Centric Systematic Testing for Distributed Systems
[IEEE] 2026-7-17 | Cross-Project Bug Severity Prediction Using TF-IDF and Classical Machine Learning Models
[IEEE] 2026-7-17 | Real-Time Smart City Decision and Resource Optimization Using 5G-Enabled ML and IoT
[IEEE] 2026-7-17 | Bibliometric Analysis of the Mechanical Property of Doped 3D Printed Materials
[IEEE] 2026-7-17 | Signal Analysis for Data-Driven Neurocritical Monitoring
[IEEE] 2026-7-17 | Dual Denoising Diffusion for Reliable and Adversarially Robust 6G MIMO Channel Estimation
[IEEE] 2026-7-17 | Finite Element Simulation of Stress Relaxation in Fe- and Co- Nanoparticle Doped Sn-3.5Ag Solder Joints
[IEEE] 2026-7-17 | When Knowledge Centres Think: The Role of AI in Shaping Participatory Cultural Spaces
[IEEE] 2026-7-17 | Experimental Validation of the H-Field Distribution Above a Planar Coil
[IEEE] 2026-7-17 | Real Time Emotion Recognition Using Edge AI and Wearable Devices
[IEEE] 2026-7-17 | Asymmetric Angular Resilience in Near-Field Sub-THz Links: An Experimental Study at 300 GHz
[IEEE] 2026-7-17 | A Sustainable AI-Enabled Predictive Maintenance Framework for Smart Industrial Systems Using Industrial IoT Data
[IEEE] 2026-7-17 | Blockchain Framework for Digital Certificates in Egyptian SMEs
[IEEE] 2026-7-17 | Challenges to the Implementation of Agriculture 5.0: Using a Dematel Model
[IEEE] 2026-7-17 | Voice-Based Intelligent Assistant Using Model Context Protocol (MCP)
[IEEE] 2026-7-17 | Thermo-electrical Stress Influence over the Reliability of GaN HEMTs
[IEEE] 2026-7-17 | Explainable Multi-Objective Optimization Reinforcement Learning for Privacy-Utility Tradeoff Management in IoT Systems
[IEEE] 2026-7-17 | BEAF: Blockchain-Enabled Accountability Framework for High-Assurance Clinical AI
[IEEE] 2026-7-17 | The Reasoning Gap in Automated Vulnerability Detection: A Comprehensive Benchmark of LLMs, SAST, DAST, and Graph-Based Approaches
[IEEE] 2026-7-17 | Explainable AI for Emotion-Aware Humancomputer Interaction Systems
[IEEE] 2026-7-17 | Synthesis and Characterization of TiO
                    <sub>2</sub>
                    Nanoparticles for Efficient UV-Protective Coatings
[IEEE] 2026-7-17 | Concrete Compressive Strength Prediction for Civil Engineering Applications Using Ensemble Machine Learning Models
[IEEE] 2026-7-17 | Performance Analysis of Machine Learning Algorithms for Air Quality Index (AQI) Estimation
[IEEE] 2026-7-17 | Measurement-Based Spectrum Utilization Analysis of the 400–900 MHz Band in the Philippines
[IEEE] 2026-7-17 | Embedded Electronics Demonstrators on Wool-Reinforced, Sustainable, Biodegradable PLA-based Printed Circuit Boards
[IEEE] 2026-7-17 | Similarity-Based Bike Station Expansion via Hybrid Denoising Autoencoders
[IEEE] 2026-7-17 | Hermetic Swarm Zero Trust: Dual-Plane Authorization and Assurance for Thinking Swarms
[IEEE] 2026-7-17 | A Hybrid Learning Module in Power Electronics within Dual Higher Education
[IEEE] 2026-7-17 | Hybrid 5G Terrestrial and Non-Terrestrial Network System for Vehicle-to-Everything Applications
[IEEE] 2026-7-17 | Ultra-Narrow Band Conventional and Inverse Polarizer Regimes of Graphene Strip-on-Substrate Grating in the Lattice-Mode Resonances
[IEEE] 2026-7-17 | Textile Surface Defect Detection under Low False-Alarm Constraints: CNNs and PaDiM
[IEEE] 2026-7-17 | Smart Cyber Learning: A Multi-Agent, AI-Driven Gamified Platform for Cybersecurity Awareness Education
[IEEE] 2026-7-17 | DeltaTI: Threat Intelligence Aggregation Platform
[IEEE] 2026-7-17 | Hybrid GAn-Based Low-Latency Compression Technique for 6G Communication
[IEEE] 2026-7-17 | Geospatial Analysis for Optimizing Emergency Ambulance Response to Road Accidents in Bahrain
[IEEE] 2026-7-17 | Benford's Law as a Forensic Tool for Identifying Anomalous Chat Behavior in Instant Messaging Data
[IEEE] 2026-7-17 | Malicious Phishing Domains Detection using Graph Neural Networks
[IEEE] 2026-7-17 | From Raw Sensor Signals to Calibrated Observables: End-to-End Data Pipelines and Statistical Modeling for Large-Scale Time-Series Analysis
[IEEE] 2026-7-17 | Auto-Detecting for PCB Defects Based on YOLOv13
[IEEE] 2026-7-17 | Rail Fence Cipher With Hash for Secure University Communication
[IEEE] 2026-7-17 | Hardware Implementation of Hybrid Mesh Network Prototype for Smart Metering
[IEEE] 2026-7-17 | Localization of Systolic and Diastolic Sounds in a Phonocardiogram using the Sliding Quantile for Threshold Filtering of the Signal
[IEEE] 2026-7-17 | Study of Impulse Properties of Indium Antimonide at Strong Electric Fields
[IEEE] 2026-7-17 | Aging-Aware Receiver Design Using Machine Learning
[IEEE] 2026-7-17 | A Smart Healthcare Monitoring System for Dementia Patients Using Raspberry Pi and IoT
[IEEE] 2026-7-17 | Classification of Respiratory Sounds by Respiratory System Condition Using Open-Access Databases
[IEEE] 2026-7-17 | MultiModal Emotion Detection
[IEEE] 2026-7-17 | Technology based Assessment of Workplace Biomechanical Risk: A Roadmap for Process Improvement
[IEEE] 2026-7-17 | Machine Learning Algorithms in Predicting Multi-Diseases
[ACM] 2026-7-18 | Hybrid Force Directed and Simulated Annealing Algorithm with Overlap Ratio Adaptive Forces for Annotation Layout in Railway Subgrade Drawings
[ACM] 2026-7-18 | Urban Health Check-Up: A Five-Dimensional Diagnostic Framework for City Sustainability Assessment with Interpretable Machine Learning
[ACM] 2026-7-18 | An Engineering and Predictive-Validation Framework for Digital Twin-Based Immersive Canal Heritage Systems
[ACM] 2026-7-17 | An Analytical Placement Framework for Advanced Hybrid-Row-Height Circuit Designs
[ACM] 2026-7-17 | BMDC-SS: A Blockchain-based Museum Digital Collections Secure Sharing Scheme with Attribute-Based Searchable Encryption
[ACM] 2026-7-17 | SPARK: Secure Predictive Autoscaling for Robust Kubernetes
[ACM] 2026-7-17 | Stop the Retrieval Thrash: Brain-Guided Episodic Memory for Repository-Scale Coding Agents
[ACM] 2026-7-17 | Technical Briefing on Beyond A/B Testing - Orthogonal and Experimental Designs
[ACM] 2026-7-17 | ScalerEval: Automated and Consistent Evaluation Testbed for Auto-scalers in Microservices
[ACM] 2026-7-17 | Enabling Security Champions With Breakout Action Groups (BAGs) – A Longitudinal Case Study
[ACM] 2026-7-17 | Practical Feasibility of Sustainable Software Engineering Tools and Techniques
[ACM] 2026-7-17 | Sustainable AI Assistance Through Digital Sobriety
[ACM] 2026-7-17 | Monitoring and Diagnosing Software Energy
[IEEE] 2026-7-17 | Orthogonal View-Driven Stereoscopic Spatial Distillation for Low-Beam LiDAR 3-D Object Detection
[IEEE] 2026-7-17 | ICCSPA 2026 Cover Page
[IEEE] 2026-7-17 | WiSER-X: Wireless Signal-Based Decentralized Multi-Robot Exploration Without Explicit Information Exchange_supp2-3711857.mp4
[IEEE] 2026-7-17 | Dynamic Resource Allocation for RIS-Assisted Full-Duplex ISAC via Hybrid Lagrangian-DRL Approach
[IEEE] 2026-7-17 | StellarGCN: A Star Identification Method Based on Graph Neural Network
[IEEE] 2026-7-17 | An Adaptive Mode Selection and Field Reconstruction Method for Multimode Propagation in Evaporation Ducts
[IEEE] 2026-7-17 | A Novel Simplified Embedded FEM-DDM for Electromagnetic Scattering
[IEEE] 2026-7-17 | 2026 International Conference on Smart Applications, Communications and Networking (SmartNets)
[IEEE] 2026-7-17 | Identifying Cancer Driver Genes Based on Vision Transformer and Hierarchical Feature Fusion Module
[IEEE] 2026-7-17 | HyperInfer: Accelerating Large Language Model Inference via Importance-Informed Prefix-KV Caching and Prefetching
[IEEE] 2026-7-17 | LearnTrack: Learning-based Uncertainty Modeling for Kalman Filter Optimization in LiDAR-Based Multi-Object Tracking
[IEEE] 2026-7-17 | Edge-Cloud Collaborative Scheduling for Efficient Lane-Changing of Unmanned Vehicles in Large-Scale Traffic Scenarios
