[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[arXiv] 2025-12-15 | Comparative Analysis of LLM Abliteration Methods: A Cross-Architecture Evaluation
[arXiv] 2025-12-15 | Large-Language Memorization During the Classification of United States Supreme Court Cases
[arXiv] 2025-12-15 | Schrödinger Symmetry in Spherically-symmetric Static Mini-superspaces with Matter Fields
[arXiv] 2025-12-15 | Two-point correlators in de Sitter-prepared states with bra-ket wormholes
[arXiv] 2025-12-15 | A post-inflationary kinetic axion
[arXiv] 2025-12-15 | A comparative overview of win ratio and joint frailty models for recurrent event endpoints with applications in oncology and cardiology
[arXiv] 2025-12-15 | Memory-Type Null Controllability of Parabolic Equations with Moving Controls: A Geometric Characterization
[arXiv] 2025-12-15 | Sharp bounds on the half-space two-point function for high-dimensional Bernoulli percolation
[arXiv] 2025-12-15 | Correcting exponentiality test for binned earthquake magnitudes
[arXiv] 2025-12-15 | astroCAMP: A Community Benchmark and Co-Design Framework for Sustainable SKA-Scale Radio Imaging
[arXiv] 2025-12-15 | Vortex core spectroscopy links pseudogap and Lifshitz critical point in a cuprate superconductor
[arXiv] 2025-12-15 | Reproducing and Dissecting Denoising Language Models for Speech Recognition
[arXiv] 2025-12-15 | Space-time refraction of space-time wave packets
[arXiv] 2025-12-15 | Redundant and synergistic interactions in a complex network of single-transistor electronic chaotic oscillators and in neurophysiological recordings
[arXiv] 2025-12-15 | Electronic and optical properties of native point defects in CuInS$_2$ and CuGaS$_2$
[arXiv] 2025-12-15 | Disability insurance with collective health claims: A mean-field approach
[arXiv] 2025-12-15 | Unipotent groups with trivial $\mathbb{L}$-packets are easy
[arXiv] 2025-12-15 | Silencing Newtonian noise using fusion sensor arrays
[arXiv] 2025-12-15 | A Class of Accelerated Fixed-Point-Based Methods with Delayed Inexact Oracles and Its Applications
[arXiv] 2025-12-15 | Distributed Places and Safe Net Reduction
[arXiv] 2025-12-15 | Actively Learning Joint Contours of Multiple Computer Experiments
[arXiv] 2025-12-15 | The heavy quark-antiquark asymmetry in the variable flavor number scheme
[arXiv] 2025-12-15 | On-Device Continual Learning for Unsupervised Visual Anomaly Detection in Dynamic Manufacturing
[arXiv] 2025-12-15 | Identification of Technical Design Constraints and Considerations for Transmission Grid Expansion Planning Projects
[arXiv] 2025-12-15 | SkipCat: Rank-Maximized Low-Rank Compression of Large Language Models via Shared Projection and Block Skipping
[arXiv] 2025-12-15 | Unveiling the white dwarf in the eclipsing polar HU Aquarii
[arXiv] 2025-12-15 | Wilson network decomposition of AdS Feynman diagrams in two dimensions
[arXiv] 2025-12-15 | Linear magnetoresistance of two-dimensional massless Dirac fermions in the quantum limit
[arXiv] 2025-12-15 | Scaling Laws for Code: Every Programming Language Matters
[arXiv] 2025-12-15 | On the conservation of physical properties in operator interpolation of parameterized hydrodynamic systems
[arXiv] 2025-12-15 | Test-Time Modification: Inverse Domain Transformation for Robust Perception
[arXiv] 2025-12-15 | Signatures in TQFT : Asymptotics and Modularity
[arXiv] 2025-12-15 | Phase Space Electronic Structure Theory: From Diatomic Lambda-Doubling to Macroscopic Einstein-de Haas
[arXiv] 2025-12-15 | Lyra: A Hardware-Accelerated RISC-V Verification Framework with Generative Model-Based Processor Fuzzing
[arXiv] 2025-12-15 | Measurement-Induced Perturbations of Hausdorff Dimension in Quantum Paths
[arXiv] 2025-12-15 | A Bayesian approach to learning mixtures of nonparametric components
[arXiv] 2025-12-15 | On the Effectiveness of Membership Inference in Targeted Data Extraction from Large Language Models
[arXiv] 2025-12-15 | Laser Wakefield Acceleration in a Capillary Gas Cell Producing GeV-Scale High-Quality Electron Beams
[arXiv] 2025-12-15 | MADTempo: An Interactive System for Multi-Event Temporal Video Retrieval with Query Augmentation
[arXiv] 2025-12-15 | Extending Weinberg's EFT: effective scalar-tensor theories up to sixth order
[arXiv] 2025-12-15 | Theoretical investigation of patterned two-dimensional semiconductors for tailored light--matter interactions
[arXiv] 2025-12-15 | On the spectrum of the magnetic Dirac operator
[arXiv] 2025-12-15 | Cosmic Ray Simulation with PYTHIA
[IEEE] 2025-12-15 | Simulation and Experimental Study on the Coupling Characteristics of Shielded Multiconductor Cables Under HEMP Environment
[IEEE] 2025-12-15 | DOMDRL: A Multi-Objective Meta-DRL Algorithm for Dependency-Aware Video Offloading in Vehicular Edge Networks
[IEEE] 2025-12-15 | Compact Wideband Circularly Polarized Magneto-Electric Dipole Antenna Array
[IEEE] 2025-12-15 | Fuzzy Ellipsoidal Clustering Incorporating Compactness and Separation of Clusters
[IEEE] 2025-12-15 | Prediction of Chronic Kidney Disease Based on Machine Learning with Personalized Dietary Suggestions
[IEEE] 2025-12-15 | Bulk-Driven Rail-to-Rail Comparator with V
                    <sub>DD</sub>
                    of 0.25 V in 65 nm CMOS Technology
[IEEE] 2025-12-15 | Utilizing Morpheme-Based Translation Units to Enhance Bidirectional Amharic-Khimtagne Machine Translation with Deep Learning
[IEEE] 2025-12-15 | Detection of Potentially Malicious Domain Names for Ethiopic Script (Amharic language): A Machine Learning Approach
[IEEE] 2025-12-15 | Improving Object Point Software Effort Estimation Using a Deep Learning Approach
[IEEE] 2025-12-15 | Responsive, Resilient, Restored: A Review of the Role of Data Analytics in Healthcare Amidst Disease Outbreaks
[IEEE] 2025-12-15 | Internet of Things: Innovation, Threats, and Consequences
[IEEE] 2025-12-15 | First inter-comparison of optical to electrical time delay calibrated photodetectors and calibration setup validation
[IEEE] 2025-12-15 | Ontologies for Autonomous Agricultural Robots and Implements
[IEEE] 2025-12-15 | Fuzzy Logic-Based Smoothing Control for Grid-Connected PV Systems with Lithium-Ion Battery Storage
[IEEE] 2025-12-15 | Plant Disease Recognition Using Deep Learning Technique
[IEEE] 2025-12-15 | CareerQuest - A Comprehensive Career Guidance Using Machine Learning and Natural Language Processing Techniques
[IEEE] 2025-12-15 | DeepNhKcr: Explainable Deep Learning Framework for the Prediction of Crotonylation Sites of Non-histone Lysine in Plants Based on Pre-trained Protein Language Model
[IEEE] 2025-12-15 | Double Resampling Architecture for Distance Measurement in FMCW LiDAR with Degraded Transmitter Systems
[IEEE] 2025-12-15 | Comparative Life Cycle Assessment of High Voltage Gas Insulated Switchgear
[IEEE] 2025-12-15 | Implementation of Research Findings on Corona Noise Propagation into the Teaching Process at Technically Oriented Universities
[IEEE] 2025-12-15 | G-UniRouting: A Graph-Based Unified Neural Model for Solving Multi-Attribute Vehicle Routing Problems
[IEEE] 2025-12-15 | Investigating Hausdorff Window in Antenna Power Weighting: Preliminary Findings and Practical Implications
[IEEE] 2025-12-15 | Non-Invasive Exploration of Archaeological Falaj System: L-Band SAR Tomography Insights
[IEEE] 2025-12-15 | Physics Inspired Neural Network for Cortical Electromagnetic Activity of Neonates
[IEEE] 2025-12-15 | Edge-Aware Federated AI: Scalable LLM Integration for Privacy-Preserving Big Data Networks
[IEEE] 2025-12-15 | Enhancing Home Network Security through a Gamified, User-Centric Intrusion Detection System
[IEEE] 2025-12-15 | Detecting and Preventing Data Poisoning Attacks on AI Models
[IEEE] 2025-12-15 | Ml-Powered Python Solution for Detecting Faults in Electrical Drives
[IEEE] 2025-12-15 | A Parametric Optimization Algorithm Based on the U-Net for Two-Dimensional Electromagnetic Reconstruction
[IEEE] 2025-12-15 | Workforce Efficiency in Factories: Computer Vision Approach
[IEEE] 2025-12-15 | Experimental Study of Stationary Processes During Injection of Carbon Dioxide into the Reservoir
[IEEE] 2025-12-15 | Real-Time Phase-OTDR Signal Processing on FPGA for Enhanced Fiber Optic Sensing
[IEEE] 2025-12-15 | DOA Estimation with Uniform Linear Arrays in the Presence of Mutual Coupling via EBG Ladder Shaped Decoupling Structure
[IEEE] 2025-12-15 | Enhancing Vision Transformer Performance in LowLight Conditions through Object-Focused Pixel Reallocation
[IEEE] 2025-12-15 | Enzyme Classification using Transformer-Based Sequence Embeddings
[IEEE] 2025-12-15 | Lightweight Transfer Learning Models for Kerangas Landscape Classification on Edge Devices
[IEEE] 2025-12-15 | Dual-State Reinforcement-Learning-Based Dynamic Ensemble Model for Pork Price Forecasting
[IEEE] 2025-12-15 | How Effective are Classical Cryptographic Protocols Against Early Quantum Decryption Attempts?
[IEEE] 2025-12-15 | A Review of IoT-Enhanced Battery Management Systems for Electric Vehicles: Trends, Architectures, and Industrial Insights
[IEEE] 2025-12-15 | Capacity Building for Industrial Decarbonization: An Educational Program on Energy Transition Audits in Greece
[IEEE] 2025-12-15 | An Automated Detection System for Aspiration During Sleep Based on Deep Learning
[IEEE] 2025-12-15 | Marine Target Detection in Polarimetric SAR Images Based on Three-Component Decomposition and Generalized Likelihood Ratio Test
[IEEE] 2025-12-15 | Design of Standing Wave Detection System for High Power Medium-Long Wave Antenna
[IEEE] 2025-12-15 | Designing an Automated Seeding Drone System for Soil-Condition-Based Multi-Crop Farming
[IEEE] 2025-12-15 | Conference Committee
[IEEE] 2025-12-15 | Internet of Behaviors-Based Focus State Classification for Enhancing Educational Engagement
[IEEE] 2025-12-15 | Molecular Interactions of Genistein as a Potential Anti-Endometriosis
[IEEE] 2025-12-15 | Comparative Modeling of Laguerre-Gaussian and Squared Laguerre-Gaussian Beams in a Turbulent Medium
[IEEE] 2025-12-15 | Data Efficient Satellite Image Transformer (DESiT): A Hybrid Transformer Model for Robust Satellite Image Classification in Forest Monitoring
[IEEE] 2025-12-15 | Channel-Aware Embedding Strategies for Transformer-Based Multivariate Time-Series Forecasting: A Comparative Study
[IEEE] 2025-12-15 | Spatiotemporal Super-Resolution of Weather Radar Observations Using Bidirectional Deformable Convolutional LSTM
[IEEE] 2025-12-15 | Toward Multimodal Detection of Harmful Memes in Low-Resource Indic Languages: A Literature-Centric Perspective
[IEEE] 2025-12-15 | Advancements and Challenges in Magnetic Coupler Designs for Dynamic EV Wireless Charging
[IEEE] 2025-12-15 | Table of Contents
[IEEE] 2025-12-15 | ICMLC 2025 Committees
[IEEE] 2025-12-15 | Automated assessment of open-ended computer science questions using large language models
[IEEE] 2025-12-15 | Analysis of Digital, Competency, and Educational Readiness of Construction Managers for AI Implementation
[IEEE] 2025-12-15 | Experimental Evaluation of SOI Micro-Ring Resonators with Different Gap Widths and Radii
[IEEE] 2025-12-15 | AI-Enhanced Phishing Attacks: Understanding the Threat Landscape and Defense Strategies
[IEEE] 2025-12-15 | Learning Distinguishable Representations in Deep Q-Networks for Linear Transfer
[IEEE] 2025-12-15 | Improving Trans-Esophageal Echocardiography: A Miniaturized Cooling System
[IEEE] 2025-12-15 | Pseudo-label Guided Multi-task Learning for Abdominal Multi-branch Vascular Segmentation from Partially Labeled DSA Datasets
[IEEE] 2025-12-15 | CMOS-Compatible Artificial Optoelectronic Synapse for Neuromorphic Computing
[IEEE] 2025-12-15 | Off-Grid DOA and Polarization Estimation for Polarization-Sensitive Arrays under Nonuniform Noise
[IEEE] 2025-12-15 | Secure Optimization Method for Cell-Free MIMO STINs
[IEEE] 2025-12-15 | Towards Certifiably Robust Face Recognition: Analyses and Improvements
[IEEE] 2025-12-15 | BECS: A Privacy-Preserving Computing Resource Sharing Mechanism for 6G Computing Power Network
[IEEE] 2025-12-15 | Continuous Authentication in IoT-based Smart Home Application: A Survey and a Design Framework Using Vector Similarity Search
[IEEE] 2025-12-15 | Wind Turbine Power Curve Prediction Using Artificial Neural Networks: A SCADA-Based Approach
[IEEE] 2025-12-15 | A High-Resolution Channel Estimation Method for ICAN Systems Based on Artificial Perturbation-OTFS
[IEEE] 2025-12-15 | Convergent Primal-Dual Plug-and-Play Image Restoration: A General Algorithm and Applications
[IEEE] 2025-12-15 | A New Hybrid Reference Vector and Grid-Based Evolutionary Algorithm for Dynamic Many-Objective Optimization
[IEEE] 2025-12-15 | Introducing MOSAIC: a Modular, Open-Source Suite for Assistive Intelligent Control
[IEEE] 2025-12-15 | TEXterity: Tactile Extrinsic deXterity
[IEEE] 2025-12-15 | Simple Self-Organizing Map with Visual Transformer_supp1-3643388.pdf
[ACM] 2025-12-15 | Le Cocon
[ACM] 2025-12-15 | Kamarade
[ACM] 2025-12-15 | Susurros
[IEEE] 2025-12-15 | Decision letter for "Learn from Past to Future: Exploiting Self-Training and Curriculum Learning in Remote Sensing Class-Incremental Semantic Segmentation"
[ACM] 2025-12-15 | Energy-Efficient Web Design: Measuring Impact of Front-end Optimizations
[ACM] 2025-12-16 | Knowledge Graph Optimization Method for Credit Evaluation of International Trade Enterprises under Artificial Intelligence
[ACM] 2025-12-16 | Design and Implementation of an Intelligent Guiding System Based on Multimodal Perception
[IEEE] 2025-12-15 | Document Digitization Using Deep Learning: Classification, Preprocessing, and OCR Optimization
[IEEE] 2025-12-15 | Portfolio Optimization System (POS): A Deep Reinforcement Learning Approach for Market-Adaptive Investment Strategies
[IEEE] 2025-12-15 | System sizing for renewable energy driven green hydrogen production with deep reinforcement learning based on proximal policy optimization
[IEEE] 2025-12-15 | TinyML-IoE: A Unified Architecture for Integrating TinyML into the Internet of Everythings
[IEEE] 2025-12-15 | A Wearable Gait Rehabilitation Device for Parkinson’s Disease: Multi-Sensor Monitoring and Adaptive Assistance
[IEEE] 2025-12-15 | Study of Synchronous Reluctance Generator in wind energy conversion system
[IEEE] 2025-12-15 | Mitigating Age-Dependent Bias in Parkinson's Disease Classification Using a Stacked Ensemble Architecture
[IEEE] 2025-12-15 | Optimized Fractional-Order Control in Doubly Fed Induction Generator Systems under Variable Wind Profiles
[IEEE] 2025-12-15 | Tailorable Resonant Emissivity in the Mid-Infrared Range Between 10 μm and 25 μm on Highly Doped Pristine Silicon Gratings
[IEEE] 2025-12-15 | ICT4DA 2025 Author Index
[IEEE] 2025-12-15 | Sensing the Environment with Analog TV Signals (ATV-Commsense): A Feasibility Analysis
[IEEE] 2025-12-15 | A Quasi-Distributed Temperature and Tensile Force Sensing Scheme Based on Bi/Er Co-Doped Fibre
[IEEE] 2025-12-15 | Financial Literacy and Knowledge Development in Cloud Accounting Environment: A QuasiExperimental Study
[IEEE] 2025-12-15 | Excitation of Electromagnetic Oscillations in Quasioptical Open Resonators by Internal Sources
[IEEE] 2025-12-15 | Optimizing Network Influence Blocking via Edge Importance Re-Ranking Algorithm
[IEEE] 2025-12-15 | Multimodal Conversational Learning to Improve Mathematics Learning in Low-Resource School Settings in Peru
[IEEE] 2025-12-15 | Dual Active Bridge PV System based on LAMDA-SMC Control
