[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[ACM] 2026-9-15 | The Role of State-Owned Enterprises (SOEs) as Institutional Enablers: Evidence from Access to Finance, Regulation, and Energy Sector Growth in Ghana
[ACM] 2026-9-15 | Multivariable Environmental Control for Large-Scale Edible Mushroom Cultivation Workshops Based on a Fuzzy Adaptive Decoupling Algorithm
[ACM] 2026-9-15 | Party Building Guidance+Digital Empowerment: Analysis of the Integrated “Service-Governance” Path for New Employment Groups in the Guangdong-Hong Kong-Macao Greater Bay Area—Based on Machine Learning Methods
[ACM] 2026-9-15 | Classification of Compliance Risk Levels for Listed Companies' Market Value Management Based on Machine Learning Algorithms
[ACM] 2026-9-15 | AI-Empowered Teaching Reform Exploration and Practice of the “Python Business Data Analysis” Course
[ACM] 2026-9-15 | A teaching model of soil geography integrating digital soil mapping and machine learning Inquiry-based learning design and effect evaluation based on high-precision spatial prediction
[ACM] 2026-9-15 | Research on Constructing a Quality Evaluation Model for College Physical Education Teaching Based on the PSO-BPNN Algorithm
[ACM] 2026-9-15 | Research on Construction of Automatic Machining Process Control Algorithm for Mechanical Manufacturing Equipment Fused with Deep Learning
[ACM] 2026-9-15 | Empathetic Gamified Feedback for English Learners: A Lightweight Reward Calculator with Dynamic Sentiment Adaptation
[ACM] 2026-9-15 | Innovative Applications of Artificial Intelligence Technologies in Content Production for the New Media Operations of Traditional Media
[ACM] 2026-9-15 | Research and Design of a Big Data-Driven Hybrid Weighting Algorithm for the Comprehensive Evaluation of Distance Teaching Platforms
[ACM] 2026-9-15 | A Situation Prediction Method for Low-Altitude Agents
[ACM] 2026-9-15 | IFC4.3 Semantic Recovery for Semantically Constrained Bridge BIM Models: A Prototype-Driven, Knowledge-Enhanced LLM Framework
[ACM] 2026-9-15 | Incomplete Multimodal Emotion Recognition Based on a Graph-Aware Neighborhood Aggregation Network
[ACM] 2026-9-15 | SafetyMind: A Multi-Agent Framework for Data-Driven Traffic Safety Education
[ACM] 2026-9-15 | Robotic System for Intelligent Seismic Node Deployment
[ACM] 2026-9-15 | Traffic Data Imputation Model Combining the MSF Mechanism with the Weighted Truncated Schatten-p Norm
[ACM] 2026-9-15 | From MOOC Clickstreams to Teaching Actions: A Learning-Analytics Decision-Support Pipeline for Risk Ranking in Skill-Oriented Blended Instruction
[IEEE] 2026-9-14 | Designfill: Markup-Native Completion for Studio Graphics
[IEEE] 2026-9-14 | AI Based Smart Surveillance System using Thermal Imaging
[IEEE] 2026-9-14 | Enhanced YOLOv12 Architecture for Real-Time Small and Occluded Object Detection on Edge Devices
[IEEE] 2026-9-14 | Analysis of Optical and Electrical Characteristics of Creepage on Polluted Insulator at Different Voltages
[IEEE] 2026-9-14 | Fuel Cell Vehicle Driving Condition Recognition and Fuzzy Control Energy Management Strategy
[IEEE] 2026-9-14 | Impact of Transmission Line Length on the AC Fault Ride-Through Characteristics of VSC-UHVDC System
[IEEE] 2026-9-14 | Simulation-Based Performance Evaluation of a Smart Intersection Control System for Emergency Response Using an IoT-Enabled V2I Framework
[IEEE] 2026-9-14 | Design and Performance Validation of a Single-Core Magnetically Modulated Residual Current Transformer
[IEEE] 2026-9-14 | A Method for Improving the Flexibility of Coal-Fired Power Unit: Boiler Temperature Grade Enhancement Technology with High-parameter Steam Cycle
[IEEE] 2026-9-14 | An Edge-Aware Graph Neural Network for Joint Fast Prediction of Node- and Line-Level Carbon Indicators in Power Systems
[ACM] 2026-9-15 | Road Pothole and Crack Detection Based on Improved YOLOv13 and OpenCV Refinement
[IEEE] 2026-9-14 | Speed-Scheduled Predictive Yaw Stabilization for a Four-Axle Electric Wheel-Driven Vehicle
[IEEE] 2026-9-14 | Physics-Informed Adaptive Kalman Filtering for sEMG-Driven Rehabilitation Exoskeleton Robots
[ACM] 2026-9-15 | The Non-linear Relationship between AI Adoption and Corporate Performance: A Machine Learning Approach with Evidence from Chinese A-share Listed Companies
[IEEE] 2026-9-14 | Hyperspectral Imaging for Compositional Analysis of Stone Materials
[IEEE] 2026-9-14 | Immersion &amp; Invariance Adaptive Force-Motion Control for Robot Manipulator Contact Task *
[IEEE] 2026-9-14 | Setpoint Command Following for Unmodeled, Sampled-Data, Wiener Systems
[ACM] 2026-9-15 | A Framework for Controllable Multi-objective Learning with Annealed Stein Variational Hypernetworks
[ACM] 2026-9-15 | Survey on Verifiable Machine Learning
[IEEE] 2026-9-15 | DASCENet- Domain-Adaptive Stochastic Capsule Ensemble Network for Early Diagnosis of Parkinson 'S Disease Using Deep Learning
[IEEE] 2026-9-15 | Semantic Disambiguation Transformer for Multimodal Emotion Understanding
[IEEE] 2026-9-15 | Machine Learning Based Soc and Soh Prediction for Renewable Battery Systems
[IEEE] 2026-9-15 | Zero-Shot and Few-Shot Ultra-Deep Learning for Muliclass IoT Routing Attack Detection Using ROUT-4-2023 Dataset
[IEEE] 2026-9-15 | Integrative Learning Framework for Floods and Landslides Prediction
[IEEE] 2026-9-15 | STAR-RIS-Assisted 6G Service Multiplexing
[IEEE] 2026-9-15 | Speech Emotion Recognition Using Transformer-Based Architectures with Self-Attention Mechanisms
[IEEE] 2026-9-15 | Collaborative Industrial Internet of Things: Transitioning Toward Industry 5.0
[IEEE] 2026-9-15 | Performance Comparison of Battery SoC Estimation Methods
[IEEE] 2026-9-15 | The Development and Application of Laser-Induced Acoustics in Cross-Air-Sea Interface Communication: A Review
[IEEE] 2026-9-15 | A Hybrid Framework for Automated News Classification for the Low-Resource Assamese Language
[IEEE] 2026-9-15 | Hydrogen Reservoir-Mediated Reliability Recovery From Light-Induced Degradation in CMOS Image Sensors
[IEEE] 2026-9-15 | Author response for "SCEA: Clustering Method for Detecting Hotspots in Irregularly Gridded Spatial Data"
[ACM] 2026-9-14 | Externalization by Design: Cognitive Load, Bounded AI, and Process-Level Accountability in Expert Knowledge Systems
[ACM] 2026-9-14 | SleuthTalk: Supporting Historical Photo Identification with Private Workspaces for Collective Sensemaking and Deliberation
[ACM] 2026-9-14 | Analyzing the Interest in Digital Wellbeing Services: Are People More Willing to Pay for Them on Social Network Sites or Messaging Platforms?
[ACM] 2026-9-15 | Short-Term Passenger Flow Prediction for the Jinhua-Lishui-Wenzhou Railway Line with a Prophet-Based Hybrid Model
[IEEE] 2026-9-14 | WSES 2026 Cover Page
[ACM] 2026-9-15 | Analysis of Multi-Interest Modeling on Prototype Dataset and DSSM Adaptation to Industrial-Scale Recall
[ACM] 2026-9-15 | Research on Traffic Flow Prediction with Multi-Frequency Perception and Bidirectional Adaptive Graph Networks
[ACM] 2026-9-15 | Volatility Persistence and Model Choice in Cross-Market Volatility Forecasting
[ACM] 2026-9-15 | Lasso-Based Analysis of the Stock Price Driving Mechanism in the Banking Sector
[ACM] 2026-9-15 | Construction and Application of the Investment Effectiveness Evaluation System for Comprehensive Plan Projects in Power Grid Companies
[ACM] 2026-9-15 | Does the Application of Artificial Intelligence Promote Corporate Innovation?——Empirical Evidence from Chinese A-share Listed Companies during 2012–2023
[ACM] 2026-9-15 | Research on the Impact of Digital Economy on Export Trade in the Greater Bay Area——Based on Machine Learning Models
[ACM] 2026-9-15 | Construction and Practice of Academic Risk Warning Model for “Financial Analysis” Course Based on 4D Data Fusion and Ensemble Learning
[ACM] 2026-9-15 | A Study on an AI-Based Personalized Learning Path Recommendation System for Physical Education
[ACM] 2026-9-15 | Designing an AI-Enhanced Teacher Literacy Diagnostic and Development Framework: A Study of Private University English Educators
[ACM] 2026-9-15 | A Knowledge Domain Mapping Analysis of Digital Literacy Research on Chinese University Teachers
[ACM] 2026-9-15 | A New Pathway for Cultivating Intercultural Competence through Human-AI Collaboration: An Experimental Study of AI Virtual Instructors in VR Based on an Affective MDP Model
[ACM] 2026-9-15 | A Study on a Digital Narrative Model for Ideological and Political Education Courses in Higher Education Institutions Based on BERT Sentiment Analysis and Knowledge Graphs
[ACM] 2026-9-15 | Design and Evaluation of an AI-Driven Personalized English Writing Feedback Model Integrating Multiple Intelligences
[ACM] 2026-9-15 | Virtual Simulation of Quadrotor UAV Empowering the Teaching Reform of Automatic Control Principles: Practical Path and Effectiveness Verification
[ACM] 2026-9-15 | Context-aware YOLOv8-based method for recognizing classroom concentration behavior
[ACM] 2026-9-15 | Construction and Application of a Deep Learning-Based Predictive Model for Predicting Learning Behaviour in Employment Courses
[ACM] 2026-9-15 | Data-Driven Evaluation of Student Engagement in an IoT-Enabled Open Hardware Laboratory
[ACM] 2026-9-15 | Development and Application of Teaching Agent for New Energy Vehicle Inspection and Maintenance Technology Major
[ACM] 2026-9-15 | A Dynamic Evaluation of the Quality of Ideological and Political Education in Higher Education Institutions from the Perspective of Artificial Intelligence
[ACM] 2026-9-15 | Light-AT-TS++: A unified recommendation framework for long-tail and cold-start dynamic adaptive multi-objective Thompson Sampling.
[IEEE] 2026-9-14 | Thermal Energy Voltammetry: An Indirect Analysis Method for Battery State-of-Health Estimation Under Varying Thermal Boundary Conditions
[ACM] 2026-9-15 | Analysis of application scenarios of artificial intelligence in the field of highway transportation and construction of intelligent traffic control agent
[ACM] 2026-9-15 | Data-Driven Governance: Efficacy Evaluation and Path Optimization of the “Four Determinations” Reform in University Functional Departments Based on Workload Measurement
[ACM] 2026-9-15 | Design and Implementation of a Lightweight Visual Fire Detection System Based on OpenCV
[IEEE] 2026-9-14 | IoT-Enabled Real-Time Adaptive Traffic Signal Control Using Deep Learning-Based Vehicle Density Estimation for Smart Cities
[IEEE] 2026-9-14 | IoT-Smart Wearable Sensors for Enhancing Worker Safety in Construction Environments
[IEEE] 2026-9-14 | Development of a Mini Electric Hoist with Smartphone-Integrated Pendant Control
[IEEE] 2026-9-14 | Design of a Smart Glove with AI Based Adaptive Behavioral Monitoring for Handicap Persons
[IEEE] 2026-9-14 | Tokenized Asset Management
[IEEE] 2026-9-14 | Adaptive Explainable Framework for Early Prediction of At-Risk Learners using OULAD and Decision Tree Models
[IEEE] 2026-9-14 | Study on the Correlation between Manufacturing Variability and Electrochemical Stability in Large-Scale Lithium-Ion Battery Production
[ACM] 2026-9-15 | AgentDiagnosis: A Multi-Strategy Enhanced Framework for Symptom-Disease Classification with LLMs Agents
[ACM] 2026-9-15 | Regional Sustainable Development Momentum in China: A Data-Driven Measurement Framework and Spatiotemporal Mechanism Analysis
[ACM] 2026-9-15 | Creation under Constraint: Error-Correction, Aesthetic, and Emotional Experiences of STEM Students in AI-assisted Digital Painting
[IEEE] 2026-9-14 | Adaptive Local Prototypes for Cross-Domain Few-Shot Defect Segmentation in Intelligent Robotic Inspection
[IEEE] 2026-9-14 | Research on Tooth Surface Modification of Bevel Gears in Nutation Reducers for Robotic Joints
[IEEE] 2026-9-14 | Control-Aware Shapley-Value-Based Bandwidth Allocation for SATCOM Terminals under Heterogeneous Delays
[IEEE] 2026-9-14 | Machine-Learning Driven Load Shedding to Mitigate Feedback Instability Attacks in Power Grids
[ACM] 2026-9-14 | Beyond Zero-Cost: Understanding Rust Safety Overheads in Systems Code
[ACM] 2026-9-14 | To Tier, or Not? Evaluating Tiered Memory Systems on the Basis of Cost
[IEEE] 2026-9-15 | Enhancing Security of Cloud Data with Modern Encryption Methods
[IEEE] 2026-9-15 | Bias-Free AI-Driven Placement Automation Using Rule-Augmented Machine Learning with Explainability and Fairness Constraints
[IEEE] 2026-9-15 | Design of Low-Delay Approximate Multiplier Using 4–2 Compressor with EDC
[IEEE] 2026-9-15 | A Portable Multimodal Potentiostat Module with Stand-Alone Operation for Point-of-Care Electrochemical Biosensing
[IEEE] 2026-9-15 | 2026 10th International Conference on Inventive Systems and Control (ICISC)
[IEEE] 2026-9-15 | Optimizing Credit Card Fraud Detection Using Machine Learning and Explainable AI
[IEEE] 2026-9-15 | AI-Driven Human Movement Intelligence System for Real-Time Sports Performance Analysis
[IEEE] 2026-9-15 | Two-Step Conditional Generative Adversarial Network for Surgical Scene Segmentation in Robotic Gastrectomy
[IEEE] 2026-9-15 | Author Index
[IEEE] 2026-9-15 | Intelligentmulti-Objective SLA-Aware Load Balancing Framework for Cloud Task Scheduling Using GWO
[IEEE] 2026-9-15 | Artificial Intelligence-Based Vehicle Localization Framework for Secure and Accurate Positioning in VANETs
[IEEE] 2026-9-15 | AI-Based Unified Assistive Communication System for Blind, Deaf, and Mute Individual
[IEEE] 2026-9-15 | Grating Lobe Suppression Array Using Mode Composite Transmission Line for Low-Cost IoT Wideband Wide-Angle Coverage
[IEEE] 2026-9-15 | An Intelligent Federated Learning Framework for Intrusion Detection in IoT Environments Using Metaheuristic Optimization-Enabled Graph Attention Network
[IEEE] 2026-9-15 | SSMGCN: Multi-View Graph Clustering with Shared-Specific Information Modelling for Spatially Resolved Transcriptomics
[IEEE] 2026-9-15 | Computing in Science &amp; Engineering
[IEEE] 2026-9-15 | Early-Cycle Lifetime Prediction of Li-Ion Batteries Across Diverse Degradation Conditions_supp1-3733143.docx
[IEEE] 2026-9-15 | A Hybrid Ensemble Learning Model for Electric Vehicles Performance Prediction and Classification
[IEEE] 2026-9-15 | An Enhanced CMOS Design for a High-Speed and Low-Power 4X16 Reversible Decoder
[IEEE] 2026-9-15 | Lightweight Trust Evaluation Model for Heterogeneous IoT Environments
[IEEE] 2026-9-15 | ResumeVision: NLP Based Screener
[IEEE] 2026-9-15 | PCOS-XAI: An Interpretable Predictive Model for Polycystic Ovary Syndrome Using Feature Selection and Ensemble Classification
[IEEE] 2026-9-15 | Dual-Polarization Base Station Antenna Array with Wide-Angle Beam Scanning Characteristics Designed on a Heat Sink
[IEEE] 2026-9-15 | Design of an Ultra-Wideband 3D Frequency-Selective Reconfigurable Intelligent Surfaces
[IEEE] 2026-9-15 | CBAGNN-Based Inverse Modeling of Cavity Filters With Frequency-Dependent Coupling Structure
[ACM] 2026-9-14 | SIHG-Rec: Unleashing the Power of Semantic and Interactive Homogeneous Graphs via Dual-Stage Fusion for Multimodal Recommendation
[IEEE] 2026-9-14 | ICGSP 2026 Cover Page
[ACM] 2026-9-14 | The Red Shoes 2
[ACM] 2026-9-14 | <scp>z</scp>
                    B
                    <scp>ulk</scp>
                    : Towards Automatic Compartmentalization in Rust with Zero Manual Retrofitting
[ACM] 2026-9-15 | Gradient Boosting Decision Tree-Based Analysis of AI-Enabled Teaching Model for Deaf College Students in Art Design
[ACM] 2026-9-15 | Designing Personalized Learning Environments for Management Education via Multi-Task Meta-Learning
