[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[IEEE] 2026-9-10 | Semantic-Aware Consistency Rectification for Cross-Modal Person Retrieval
[IEEE] 2026-9-10 | State-Aware Zero Trust Architecture for Offshore Wind Farms Based on Software Defined Perimeter
[IEEE] 2026-9-10 | Classroom Leadership for Fundamental Engineering Education in an Era of AI Disruption
[IEEE] 2026-9-10 | TriRE: Three-Stage Reflection for Training-Free Relation Extraction
[IEEE] 2026-9-10 | Design of a Hybrid E-plane Waveguide Power Divider at W-band
[IEEE] 2026-9-10 | A 30-GHz Triple-Mode Waveguide With High Mode Isolations
[IEEE] 2026-9-10 | A D-Band High-Gain Subharmonic Down-Conversion Mixer Based on Cross-Coupled Pair
[IEEE] 2026-9-10 | A Differential-Fed Wideband Endfire Antenna with Controllable Radiation Null
[IEEE] 2026-9-10 | Simulation of Three-Dimensional Optic-induced Plasma Distribution Based on Numerical Integration Methods
[IEEE] 2026-9-10 | A High-Concurrency Plotting Framework Based on Semantic-Aware Programmable Pipeline
[IEEE] 2026-9-10 | A Fast Automatic Frequency Calibration Circuit with Enhanced Hybrid-Search Algorithm for PLL
[IEEE] 2026-9-10 | Fractal Metasurface for Large-Angle Bessel Beam Deflection and Simultaneous Wireless Information and Power Transfer
[IEEE] 2026-9-10 | A 2-D Vertically Polarized Electronically-Controlled Beam-Scanning Leaky-Wave Antenna for Millimeter-Wave Applications
[IEEE] 2026-9-10 | Design on GaN-Based Ka-Band T/R Multi-functional MMIC Chip
[IEEE] 2026-9-10 | Design of L-band Frequency Conversion Module Based on SIP Technology
[IEEE] 2026-9-10 | Attention-Enhanced Dual-Direction Domain Adaptation for Emergency-Oriented Cross-Domain Multi-Hazard Disaster Classification
[IEEE] 2026-9-9 | 3D-printed Dielectric Dome Antenna with Integrated Polarizer for Wide-Angle Circular Polarization Coverage in the K-Band
[IEEE] 2026-9-9 | Pairwise Uncertainty-Based Graph Contrastive Learning
[IEEE] 2026-9-9 | A Robust Arc Fault Detector in LVAC Distribution Systems Based on Stochastic Conductance Model
[IEEE] 2026-9-9 | Compiler-Aware Heterogeneous Graph Learning for HLS QoR Prediction and Design Space Exploration
[IEEE] 2026-9-9 | Low-Latency and Sustainable Data Collection for Wireless-Powered Multi-UAV Mobile Crowdsensing Through Resource Allocation_supp1-3728432.pdf
[IEEE] 2026-9-9 | ICVCS 2026 Copyright Page
[IEEE] 2026-9-9 | A Multimode Near-Field Radio Frequency Metasurface Resonator Transmitter for Multireceiver Power Transfer at 6.78 MHz
[IEEE] 2026-9-9 | A Soft-Sensing-Based Method for Ahead-of-Bit Pore Pressure Prediction Under Seismic Constraints
[ACM] 2026-9-9 | STALL
                    <sup>+</sup>
                    : Boosting LLM-based Repository-level Code Completion with Static Analysis
[IEEE] 2026-9-9 | CIT-ANFIS: A Causal-Informed Tree-Structured Adaptive Neuro-Fuzzy Inference System for Short-Term Power Load Forecasting_supp1-3731577.pdf
[IEEE] 2026-9-9 | BP-DSGG: Balanced Predicate-aware Dynamic Scene Graph Generation_supp1-3697678.pdf
[IEEE] 2026-9-9 | Parameter Estimation of Smoothly Nutation Cone-Cylinder Target Based on Second-order Taylor Approximation in Monostatic Radar
[IEEE] 2026-9-9 | ChargeUp: Trust-Aware EV Charging Scheduling via Fuzzy-Stackelberg Game Theory and Credibility-Shaped Reinforcement Learning
[IEEE] 2026-9-9 | High-Speed Karatsuba-Based Polynomial Multiplier With Novel Scheduling for Lattice-Based Cryptography
[IEEE] 2026-9-9 | Inverse Scattering-Driven Variational Reconstruction with Morphology-Aware Regularisation for Wax-Covered Pest Imaging_supp1-3732101.pdf
[IEEE] 2026-9-9 | Towards Noise-Aware and Efficient Homomorphic Encryption on Crossbar Arrays
[ACM] 2026-9-9 | AI-coupled HPC Workflow Applications, Middleware and Performance
[ACM] 2026-9-9 | 3D Human Interaction Generation: A Survey
[IEEE] 2026-9-9 | Enabling IEEE 1451 Smart Transducer Interface over LoRaWAN
[IEEE] 2026-9-9 | Towards multi-analyte biosensing measurements in optical fibers through Brillouin Optical Frequency Domain Analysis
[IEEE] 2026-9-9 | Investigating the Impact of Various Underlying Hardware Factors on Virtualised Network Deployments : Implementation and Conclusions from 6G-SANDBOX
[IEEE] 2026-9-9 | Event-Correlated MCP Agents for Asynchronous Enterprise Systems
[IEEE] 2026-9-9 | Optimizing ResNet-50 for Multi-Class Diabetic Retinopathy Grading: An Explainable AI Approach
[IEEE] 2026-9-9 | Associated Personas: Linking Stakeholders to Traceable Requirements
[IEEE] 2026-9-9 | How Value-Aware is the Software Industry?
[IEEE] 2026-9-9 | Machine Learning-Assisted Optimization of Power Amplifier for Wireless Applications
[ACM] 2026-9-9 | Utilizing LLMs for Industrial Process Automation
[ACM] 2026-9-9 | Advancing Language Models for Code-related Tasks
[ACM] 2026-9-9 | ARISE: Real-Time Multi-Modal AI for Senior Wellness on Edge Devices
[ACM] 2026-9-9 | Early Forecasting of Developer Inactivity in Open Source Projects
[ACM] 2026-9-9 | SE4AI: Structured AI/ML Enabled Software Development Process
[ACM] 2026-9-9 | PySTAAR: An End-to-End, Extensible Framework for Automated Python Type Error Repair
[IEEE] 2026-9-10 | Uncertainty from Measuring a DC Voltage from Classroom Experiments to Verify Voltage Measurements in an Engineering Practice Course
[IEEE] 2026-9-10 | Deep Learning-Based Indoor Localization Using a TOF-AOA Heatmap Sequence Model
[IEEE] 2026-9-10 | Multi-Parameter Simultaneous Sensing Based on Spoof Localized Surface Plasmons
[IEEE] 2026-9-10 | Design of a Compact Microwave Anechoic Chamber Based on the Multi-Scenario Integrated Test System
[IEEE] 2026-9-10 | Comparative Evaluation of Convolutional Neural Networks and BiLSTM for Phishing Email Detection
[ACM] 2026-9-9 | How CHERIoT Provides Strong and Usable Isolation Without an MMU
[IEEE] 2026-9-10 | 2025 IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT)
[IEEE] 2026-9-10 | Deep Residual Network-Assisted Optimization for Cross-Polarized Metasurfaces
[IEEE] 2026-9-10 | A Dual-Band Beam-Scanning Antenna Array Based on Dual-Radiation-Mode Leaky-Wave Antenna
[IEEE] 2026-9-10 | A PFA-MLSTM-FCN Runoff Prediction Model for Data-deficient Regions
[IEEE] 2026-9-10 | Construction and Evaluation of a Knowledge Graph for Adolescent AI Courses Oriented Toward Computational Thinking Development
[IEEE] 2026-9-10 | Orthogonal Disentanglement with Projected Feature Alignment for Multimodal Emotion Recognition in Conversation
[IEEE] 2026-9-10 | A Dual-channel Terahertz Sensor Based on 3D-Printed Metasurfaces
[IEEE] 2026-9-10 | Grounded AI for Knowledge Integrity in Intergovernmental Organizations: Educational Infrastructure Review
[IEEE] 2026-9-10 | High-Efficiency On-Chip Inductor Synthesis Using PSO and KNN
[IEEE] 2026-9-10 | A Super-Resolution Sparse Aperture ISAR Imaging Algorithm Using the Signal Subspace Suppression Technique
[IEEE] 2026-9-10 | Biogas Production, Methane Separation, and Measurement Framework for Anaerobic Digestion: Advancing Sustainability in Dairy Farming
[IEEE] 2026-9-10 | Table of Contents
[IEEE] 2026-9-10 | A Broadband K/Ka-Band Transformer-Based Three-Tline Parallel Doherty Power Amplifier in 65-nm CMOS
[IEEE] 2026-9-10 | Ultra-Thin 1-Bit Reflective Coding Metasurface for SSP Excitation at Normal Incidence
[IEEE] 2026-9-10 | Parallel Microsphere Near-Field and Laser Hybrid Fabrication of Cross-Scale Hierarchical Metal Meshes for Transparent EMI Shielding
[IEEE] 2026-9-10 | Dual-Band Decoupling Enhancement of Closely Spaced U-Slot Patch Antennas Using a Non-Contact Dielectric Loading Structure
[IEEE] 2026-9-10 | Design and Implementation of an IoT-Based Smart Mushroom Cultivation System with Automated Environmental Control
[IEEE] 2026-9-10 | Nonlinear Characterization of Varactor Diodes
[IEEE] 2026-9-10 | VALU-Accelerated Hybrid Parallel VSIE for Electromagnetic Analysis
[IEEE] 2026-9-10 | Heuristic Optimization of Workplace Learning Activities in Dual Vocational Education
[IEEE] 2026-9-10 | Compact Dual-Polarized Microstrip Antenna for Ku-Band Mobile Terminals
[IEEE] 2026-9-10 | Equivalent Circuit Model and Bandwidth Analysis of Ultra-Wideband Reflective Polarization-Conversion Metasurfaces
[IEEE] 2026-9-10 | Symmetry-broken BIC enhancement of terahertz sources based on dielectric-loaded gratings
[IEEE] 2026-9-10 | Dual-Band Filtering Microstrip Antenna Based on High-Order Mode of SSPPs
[IEEE] 2026-9-10 | Design and Development of an Enhanced RFID-Based Name Verification System for Graduation Ceremonies
[IEEE] 2026-9-10 | SINA: Accelerating Time Synchronization in Large-Scale Network Simulation Using In-Network Allreduce
[IEEE] 2026-9-10 | Emotion-Driven Gameplay Adaptation: Keeping Players in Flow
[IEEE] 2026-9-10 | Enhanced SAR Ship Detection Using Multiscale Neighborhood Correlation and Self-Supervised Constraint
[IEEE] 2026-9-10 | The Freeware Software Imlaymed: An Aid for the GPR Imaging in Stratified Soils
[IEEE] 2026-9-10 | Modality Memory Association and Dual-Frequency Prototype-Guided Fine Grained Mining for Visible-to-Infrared Person Re-identification
[IEEE] 2026-9-10 | Observer-Based Predefined-Time Fractional-Order Fault-Tolerant Control for QUAV Via Hybrid Event-Triggered Mechanism
[IEEE] 2026-9-10 | Special Issue on Generative Models
[IEEE] 2026-9-10 | FAST-D: FAst and Scalable Thing Description Discovery in the Web of Things
[IEEE] 2026-9-10 | Learning Spatially Ambiguous Trajectories From Demonstrations Via Phase-Modulated Dynamical Systems
[IEEE] 2026-9-10 | A Cross-Cultural Symbolic Pipeline for Traditional Music Genre Classification
[IEEE] 2026-9-10 | Electromechanical Co-Design Towards Realizing Autonomous Insect-Scale Flapping-Wing Micro-Aerial Vehicles
[IEEE] 2026-9-10 | TYrPPG: Uncomplicated and Enhanced Learning Capability rPPG for Remote Heart Rate Estimation
[IEEE] 2026-9-10 | ScGraphTrans: Pathway-Guided Graph Learning and Domain Adaptation for Cell Type Annotation in Single-Cell RNA-seq
[IEEE] 2026-9-10 | Dual-Band Common Aperture Antenna Array Based On Electromagnetic-Transparent Antenna
[ACM] 2026-9-9 | History of SIGCSE and its conferences
[IEEE] 2026-9-9 | Fluid Antenna Enabled Low-Altitude Economy Networks via Deep Reinforcement Learning: An ISAC Design with Antenna Trajectory Optimization
[IEEE] 2026-9-9 | W2HP: A Hierarchical Multi-Agent Reinforcement Learning Framework for Multi-Domain Service Function Chain Deployment
[IEEE] 2026-9-9 | Modeling and Analysis of the Double-Current-Pulse Phenomenon in Transient Conduction of Photoconductive Thyristors
[IEEE] 2026-9-9 | HCT6D: Hierarchical Hybrid CNN-Transformer Architecture for 6D-Pose Estimation of Transparent Objects
[ACM] 2026-9-9 | Toward Intelligent Feedback Systems in Programming Education: AI Tutors, Large Language Models, and Future Directions
[IEEE] 2026-9-9 | The Influence of Dimensions on the Trapped Magnetic Field in Single-Domain REBa
                    <sub>2</sub>
                    Cu
                    <sub>3</sub>
                    O
                    <sub>7-δ</sub>
                    Ring-Shaped Bulk Superconductors
[IEEE] 2026-9-9 | Semantic-Aware Intelligent Agent for Multi-Task Image Communications
[IEEE] 2026-9-9 | Proceedings
[IEEE] 2026-9-9 | Message From General Chairs of CISOSE 2026
[IEEE] 2026-9-9 | DSRVC-DP: A High-Performance Domain-Specific Controller With Memoized CORDIC Extension of RISC-V for Digital Power Applications
[IEEE] 2026-9-9 | Spared Motor Neurons Enable Control of a Robotic Sixth Finger for Functional Grasping in Tetraplegia_supp2-3732031.docx
[IEEE] 2026-9-9 | CoDi – an exemplar-conditioned diffusion model for low-shot counting
[IEEE] 2026-9-9 | Steering Committee: RE 2026
[IEEE] 2026-9-9 | Calibrating Federated Models for Reliable Mobile Edge Deployment_supp1-3731388.pdf
[IEEE] 2026-9-9 | Gate-Voltage Slope Sensing in Active Gate Driver ICs: A Multi-Step Control Architecture and Boundary Analysis for SiC MOSFETs
[IEEE] 2026-9-9 | Conditional Generative Network Performance Modeling with Uncertainty Estimation
[IEEE] 2026-9-9 | 5G NR Long Term Measurement of the Exposure Generated by MaMIMO Antennas
[IEEE] 2026-9-9 | Bayesian Optimization of PTP Servo Parameters for Time Synchronization in Wired TSN Networks
[IEEE] 2026-9-9 | A Modular UVM-Based Scoreboard Architecture for Protocol-Aware Verification of Non-FLIT PCIe Transactions
[IEEE] 2026-9-9 | Design and Synthesis of Power Optimized NOR Flash Memory Architecture
[IEEE] 2026-9-9 | Benchmarking SLM and LLM in Feature Generation for Interpretable Automated Essay Scoring
[IEEE] 2026-9-9 | AI-Augmented Catastrophe Modeling with an Intelligent Orchestration Workflow
[IEEE] 2026-9-9 | Automated Detection of Venous Beading in Fundus Images Using Patch-Based Deep Learning for Diabetic Retinopathy Staging
[IEEE] 2026-9-9 | Towards LLM-Based Conversational Requirements Elicitation with Integrated Requirements Quality Assessment
[IEEE] 2026-9-9 | Improving Zero Shot Forecasting with Support Series and Multivariate Sensor Context
[IEEE] 2026-9-9 | Human-LLM Collaboration for Context-Dependent Requirements Engineering Tasks
[IEEE] 2026-9-9 | Low-cost equipment in biomedical measurement systems to detect substances of interest at ultra-low concentration levels
[ACM] 2026-9-9 | Data Architectures in the Age of AI
[IEEE] 2026-9-10 | Greentwin: a Cloud-Native Digital Twin Architecture for Citizen-Centric Green Interventions in Smart Cities
[IEEE] 2026-9-10 | An Efficient ResNeXt-Based Deep Learning Model for Motion Activity Intensity Recognition Using Smartwatch Accelerometer
[IEEE] 2026-9-10 | GAR-Tracker: Target-Visible Trajectory Planning for a Ground Assistant Robot
[IEEE] 2026-9-10 | 5-DoF Manipulation of Magnetic Capsule Robots Using Nonorthogonal Maxwell-Helmholtz Coils_supp2-3724330.mp4
[IEEE] 2026-9-10 | Evaluating Load-Conditional Convergence in Lithium-Ion Battery Degradation: A Matched-Group Statistical Framework
[IEEE] 2026-9-10 | Space-Based Solar Power [Green RF Engineering]
[IEEE] 2026-9-10 | Maximum Energy Capture of Direct-Drive Wave Energy Conversion: An Improved Complex-Conjugate Control Strategy with Displacement Constraint
[IEEE] 2026-9-10 | A Consumer-Owned Edge Node for Verifiable, Privacy-Preserving Personalized Health
[IEEE] 2026-9-10 | Efficiency-Aware Cooperative Path Planning for Truck-UAV Power Line Inspection
[IEEE] 2026-9-10 | Dynamic Mode Decomposition of Photoacoustic Sensor Data for Blood Classification
[IEEE] 2026-9-10 | Proposing a Quantitative Framework for Persona Set Diversity Measurement as a Pathway to Inclusive User Representation
[IEEE] 2026-9-10 | Study on High-Frequency Structure of X-Band High-Efficiency Klystron
[IEEE] 2026-9-10 | A Robust Keypoint-Based Machine Learning Framework for Audio Copy-Move Forgery Detection Using Time-Frequency Representations
[IEEE] 2026-9-10 | Adaptive Extended ETDAC Transforms Using Discrete Trigonometric Transforms
[ACM] 2026-9-10 | The Relationship between Human Values, Job Satisfaction, and Well-being among Thai IT Employees in Thailand: An Exploratory Study
[IEEE] 2026-9-10 | A Miniaturized Bandpass Filter Using Thin-Film Dual-Layer Resonator Units for Compact UWB RF Front-End Systems
[IEEE] 2026-9-10 | A Novel Bidirectional Leaky-wave Antenna with Broadside Radiation for Point-to-Point(P2P) Communication
[IEEE] 2026-9-10 | Online Detection System for Fabric Defects Based on Unsupervised Learning
[IEEE] 2026-9-10 | Impact Analysis of Loss Functions on Deep Learning-based Microwave Imaging Enhancement
[IEEE] 2026-9-10 | Design of E-Band Wideband High-Selectivity SIW Bandpass Filter Based on TSV Technology
[IEEE] 2026-9-10 | Beyond the Code: Evaluating Alternative Assessment Strategies for Integrity and Authentic Learning in AI-Influenced Programming Tasks
[IEEE] 2026-9-10 | Research on Digital Restoration of Dunhuang Murals Based on Diffusion Models
[IEEE] 2026-9-10 | Design of a Dual-Band High-Efficiency Filtering Power Amplifier Based on Parallel T-junction and Three-Section Transformer
[IEEE] 2026-9-10 | An Ultra-Low Phase-Noise X-Band LC VCO Using Transformer-Coupled Tank in 28-nm CMOS Technology
[IEEE] 2026-9-10 | A Novel Dual-Band Power Amplifier Using a Dual-Path Impedance Matching Structure
[IEEE] 2026-9-10 | An Ultra-Broadband V/W-Band Tripler in 0.1-μm GaAs pHEMT Process
[IEEE] 2026-9-10 | FMINet: A Mask-Constrained Inpainting Framework via Flow Matching for SAR RFI Mitigation
[IEEE] 2026-9-10 | Flat-Top Beam in Terahertz Holographic Impedance Metasurface via Phase-Factor Modulation
[IEEE] 2026-9-10 | Generative AI-Enabled Interdisciplinary Innovation and Entrepreneurship Education: Synergy Mechanisms from a Structural Equation Model
[IEEE] 2026-9-10 | Nonlinear Macromodeling of RF Power Amplifiers Using A Data-Driven Artificial Neural Network
[IEEE] 2026-9-10 | High-Integration Ka-Band Active Antenna With GaAs Power Amplifier
