[2026-07-03 23:04:10] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[arXiv] 2026-07-02 | From Answer Generators to Reasoning Facilitators: Designing AI Tutors for Mathematical Reasoning in High-Stakes Environments
[arXiv] 2026-07-02 | Beyond Gradient-Based Attacks: Adversarial Robustness and Explainability Stability in Cybersecurity Classifiers
[arXiv] 2026-07-02 | A Deep Learning Earth System Model Simulation of Indian Monsoon Intraseasonal and Interannual Variability
[arXiv] 2026-07-02 | Separating Expert Retention from Autonomous Source Inference in Raw-ECG-Replay-Free Continual ECG Deployment
[arXiv] 2026-07-02 | Development of a Retrieval-Augmented Generation Virtual Assistant for Enhanced Information Discovery at Rubin Observatory
[arXiv] 2026-07-02 | Computed emissivity of carbon dioxide, water vapor, and their mixtures for a wide range of temperatures and pressure-pathlengths
[arXiv] 2026-07-02 | AgenticDataBench: A Comprehensive Benchmark for Data Agents
[arXiv] 2026-07-02 | Path planning for unmanned naval surface vehicles
[arXiv] 2026-07-02 | Phase-selective orbital-charge conversion in $\mathrm{MoTe_2}$
[arXiv] 2026-07-02 | Post-Processing Reduced-Order Models for Transport-Dominated Problems by Gegenbauer Reconstruction
[arXiv] 2026-07-02 | Multi-Domain Matrix Framework for Human Resource Decision Support
[arXiv] 2026-07-02 | ProWAFT: A ROMA-LPD Instance for Workload-Aware and Dynamic Fault Tolerance in FPGA-Based CNN Accelerators
[arXiv] 2026-07-02 | SemHash-LLM: A Multi-Granularity Semantic Hashing Framework for Document Deduplication
[arXiv] 2026-07-02 | Efficient high-order explicit symplectic splitting methods for post-Newtonian Hamiltonian systems
[arXiv] 2026-07-02 | WorldDirector: Building Controllable World Simulators with Persistent Dynamic Memory
[arXiv] 2026-07-02 | Distributed Attacks in Persistent-State AI Control
[arXiv] 2026-07-02 | Program-as-Weights: A Programming Paradigm for Fuzzy Functions
[arXiv] 2026-07-02 | DemoPSD: Disagreement-Modulated Policy Self-Distillation
[arXiv] 2026-07-02 | Embodied.cpp: A Portable Inference Runtime of Embodied AI Models on Heterogeneous Robots
[arXiv] 2026-07-02 | Beyond Adam: SOAP and Muon for Faster, Label-Efficient Training of Machine Learning Interatomic Potentials
[arXiv] 2026-07-02 | BRST-BV approach to fields in Poincare patch of AdS
[arXiv] 2026-07-02 | Building the Ipseome: Large, Free, Open, Human Identity Data
[arXiv] 2026-07-02 | Interpretation-Oriented Cloud Removal via Observation-Anchored Residual Flow with Geo-Contextual Alignment
[arXiv] 2026-07-02 | Learning to Move Before Learning to Do: Task-Agnostic pretraining for VLAs
[arXiv] 2026-07-02 | AgentsCAD: Automated Design for Manufacturing of FDM Parts via Multi-Agent LLM Reasoning and Geometric Feature Recognition
[arXiv] 2026-07-02 | Curvature-induced host-mediated polarization of active particles
[arXiv] 2026-07-02 | Improved Approximation Algorithms for n-Pairs Shortest Paths
[arXiv] 2026-07-02 | Reasoning effort, not tool access, buys first-try reliability in agentic code generation: an observational study
[arXiv] 2026-07-02 | A Topological Formula for Potts Lattice Gauge Theory Correlations
[arXiv] 2026-07-02 | Part bounds for the Sylow permutation characters of $S_n$
[arXiv] 2026-07-02 | Self-Auditing Residual Drifting for Pathology-Preserving Accelerated Knee MRI
[arXiv] 2026-07-02 | QFedAgent: Quantum-Enhanced Personalized Federated Learning for Multi-Agent Activity Recognition
[arXiv] 2026-07-02 | Q-GAIN: A Python Package for Machine Learning and Physically Informed Analysis Applications
[arXiv] 2026-07-02 | Copying Quantum States
[arXiv] 2026-07-02 | Text-Driven 3D Indoor Scene Synthesis in Non-Manhattan Environments
[arXiv] 2026-07-02 | Object-centric LeJEPA
[arXiv] 2026-07-02 | Transformer Geometry Observatory TGO-II: Representational Similarity Observatory
[arXiv] 2026-07-02 | Representation Distribution Matching for One-Step Visual Generation
[arXiv] 2026-07-02 | Learning Spectral and Polarimetric Clues for One-to-Multimodal Novel View Synthesis
[arXiv] 2026-07-02 | Deterministic Polynomial-time Exact-root Computation for Sparse Polynomials with Bounded Total Degree
[arXiv] 2026-07-02 | GAP-GDRNet: Geometry-Aware Monocular Visual Pose Sensing on a Single-Target Synthetic Spacecraft Dataset
[arXiv] 2026-07-02 | Cloak and Detonate: Scanner Evasion and Dynamic Detection of Agent Skill Malware
[arXiv] 2026-07-02 | Tracing grain growth in the forming prestellar core L1506C with 3D modeling of Herschel, IRAM, and CFHT observations
[arXiv] 2026-07-02 | Kardar-Parisi-Zhang dynamics in an open integrable system: beyond the spontaneous-symmetry-breaking ansatz
[arXiv] 2026-07-02 | Sensitivity Analysis and Robust Optimal Control for Coupled Evolution Inclusions with State-Dependent Maximal Monotone Operators
[arXiv] 2026-07-02 | SoK: A Taxonomy for Cybersecurity Incident Response Influence Factors
[arXiv] 2026-07-02 | Probing Chemical Language Models: Effects of Pre-training and Fine-tuning
[arXiv] 2026-07-02 | Partially-Blind Single-Qubit Classification over a Prototype Hybrid Quantum Network
[arXiv] 2026-07-02 | Tuning nonlinear waves in nonreciprocal active filaments
[arXiv] 2026-07-02 | Conceptual completeness for subgeometric logics
[arXiv] 2026-07-02 | Colour evolution in the radio afterglow of GRB 241025A
[arXiv] 2026-07-02 | Quantifying angular momentum of coherently driven circular phonons
[arXiv] 2026-07-02 | Lower Bounds for Anytime Acceleration of Gradient Descent
[arXiv] 2026-07-02 | Aggregation with Exponential Weights is Optimal in Expectation
[arXiv] 2026-07-02 | Supersymmetric twists in twistor space and holography
[arXiv] 2026-07-02 | Instrumented difference-in-differences under case-control sampling
[arXiv] 2026-07-02 | How wrong is too wrong: A numerical study on the relevance of positional memory in the generalized Langevin equation
[arXiv] 2026-07-02 | On the growth spectrum of hyperbolic groups
[arXiv] 2026-07-02 | Refined Sensitivity Estimates for Single-Molecule Magnet Dark Matter Detectors
[arXiv] 2026-07-02 | Mixing times of spin systems on dynamical percolation
[arXiv] 2026-07-02 | HCMS: Head-Chunked Multi-Stream Pipeline for Communication-Computation Overlap in Long-Sequence Parallel Attention
[arXiv] 2026-07-02 | FlintKV: A Fast Durable Storage Engine for Modern Databases
[arXiv] 2026-07-02 | Phonon spectral function of Holstein polaron: Investigation of many-body effects with self-energy and vertex correction
[arXiv] 2026-07-02 | Stable Self-Modulating Quantum Fast-Weight Programmers with Bounded Memory Gates
[arXiv] 2026-07-02 | Quantum-geometric shift of quasiequilibrium: Origin of nonreciprocal current driven by quantum-metric dipole
[arXiv] 2026-07-02 | Automated logical Clifford gadgets for heterogeneous architectures via chain maps
[arXiv] 2026-07-02 | Computable measures of fermionic non-Gaussianity from the covariance matrix
[arXiv] 2026-07-02 | The Merger-Driven Origin of the Vast Extended Stellar Disc Around the Andromeda Galaxy
[ACM] 2026-7-2 | RL to Control Agile Dynamics of a Single Legged Hopping Robot
[ACM] 2026-7-2 | TO-SoFiT: Topology Optimization of Hydraulic Soft Fish Tail Design for programmable undulating locomotion
[ACM] 2026-7-2 | Autonomous Mobile Robot Navigation Using Double Deep Q-Network: Efficient Goal-Seeking and Obstacle Avoidance
[ACM] 2026-7-2 | WindStencil: Unleashing GPU Potential for High-Order Stencil Computation in High-Performance Inviscid CFD Simulations
[IEEE] 2026-7-2 | Automated Framework for Red-Team Prompt Injection Testing of LLMs
[IEEE] 2026-7-2 | Leveraging Enhanced Test-Driven Development for Accurate Code Generation in LLMs
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-2 | Technical Debt Approach and Consciousness in Startups Transitioning to the Growth Phase: A Four-Facet Model
[IEEE] 2026-7-2 | AI-Assisted Semantic Modeling of Languages for Symbolic Execution Driven Unit Test Generation
[IEEE] 2026-7-2 | Strategic Collaborative Uplink for Information Freshness in Rechargeable IoT Devices
[IEEE] 2026-7-2 | Lightweight and Adaptive Gear Defect Detection for Embodied Industrial Edge Deployment
[IEEE] 2026-7-2 | Impact of Traction Motors Bearings Degradation in Common Mode Current
[IEEE] 2026-7-2 | Closed-Form AOA/TDOA Hybrid Target Localization Method under Distance-Dependent Noise
[IEEE] 2026-7-2 | Multimodal Emotion Recognition Using Hierarchical Bottleneck Fusion of Audio, Text, and Video
[IEEE] 2026-7-2 | From Vision-Based to Multimodal Remote Physiological Monitoring: A Survey of Methods and Evaluation Challenges
[IEEE] 2026-7-2 | Execution-free Performance Modeling for Apache Spark
[IEEE] 2026-7-2 | A Comparative Analysis of Latency, Security, and Scalability in Heterogeneous Distributed Architectures for Autonomous Vehicles
[IEEE] 2026-7-2 | Towards Practical SDN Adoption in Resource-Constrained E-Learning Environments: The Challenges, Readiness, and Deployment Pathways
[IEEE] 2026-7-2 | AI-Assisted Learning in Theoretical Electrical Engineering - A Conversational Support Tool for Conceptual Understanding
[IEEE] 2026-7-2 | LLMs Explain’t: A Post-Mortem on Semantic Interpretability in Transformer Models
[IEEE] 2026-7-2 | Resource-Efficient Streaming Feature Extraction for Real-Time IoT DDoS Detection
[IEEE] 2026-7-2 | AI-Driven Proctoring Framework for Online Examinations Using Computer Vision and Behavioral Analytics
[IEEE] 2026-7-2 | BlipART: A Multimodal Approach To Detect Aggressive Meme In Low-Resource Language
[IEEE] 2026-7-2 | The Effect of AI on the Exam Cheating Threat: Comparing On-Site and Remote Exams
[IEEE] 2026-7-2 | From Pixels to Reality: Physical-Digital Patch Attacks on Real-World Camera
[IEEE] 2026-7-2 | DWTN: Need-Driven Presence Detection for Multiplexed Encrypted Traffic
[IEEE] 2026-7-2 | Post-Disaster Home Energy Management System for Residential Communities Using EV-Based Energy Transportation and Home Battery Coordination
[IEEE] 2026-7-2 | Optimizing Neural Networks: Contexts Where Involution Surpasses Convolution
[IEEE] 2026-7-2 | Electric Vehicles and Urban Air Quality in India: A Review of Smart Energy and Lifecycle Impacts
[IEEE] 2026-7-2 | Efficient Framework for Predicting Renewable Energy using Transformer Model and Dynamic Feature Learning
[IEEE] 2026-7-2 | FRAIT: Framework for Resilient Autonomic IoT
[IEEE] 2026-7-2 | Causal Models Improve Reinforcement Learning for Pervasive and Robotic Tasks
[IEEE] 2026-7-2 | What Drives Issue Resolution Speed? An Empirical Study of Scientific Workflow Systems on GitHub
[IEEE] 2026-7-2 | Online Uplink Scheduling for Multi-User LEO Satellite IoT Networks
[IEEE] 2026-7-2 | Research on the Relationship Between Road Alignment and Accident Types in Accident-Prone Sections
[IEEE] 2026-7-2 | Lightweight Models and Representations for Efficient and Robust Video Copy Detection
[IEEE] 2026-7-2 | Quantum-Assisted Secure Nano-Network Traffic Framework for Real-Time Medical Data Transmission in Smart Hospitals
[IEEE] 2026-7-2 | Fault analysis in a 10 MW wind farm with
[IEEE] 2026-7-2 | LiTransNet: LiDAR Point Cloud Transmission for Autonomous Vehicles Using Deep Learning
[IEEE] 2026-7-2 | Edge-Enhanced XR Teleoperation for Humanoid Robots using Jetson and Real-Time Digital Twin
[IEEE] 2026-7-2 | Automated Harbour Craft Identification and Tracking System
[IEEE] 2026-7-2 | Green Digital Transitions in Engineering Education and the Role of AI in Teaching Ecology for Sustainable Thinking
[IEEE] 2026-7-2 | The AI-Enabled Agile University: A Conceptual Model for Responsive, Data Driven Higher Education
[IEEE] 2026-7-2 | Thermodynamic Performance of a PTSC-LHTES-ORC-HTHP Hybrid Energy System for Combined Power and Process Heat Production
[IEEE] 2026-7-2 | AGU-Net: An Attention and Gating-aided U-Net Model for Breast Ultrasound Lesion Segmentation
[IEEE] 2026-7-2 | Integrating Learnable Spatial Embeddings into Transformers for Traffic Flow Forecasting
[IEEE] 2026-7-2 | IoT-Based Liquid Tank Monitoring-Comparative Evaluation of Lightweight Statistical Anomaly Detection Techniques
[IEEE] 2026-7-2 | Advanced Deep Learning Techniques for Accurate and Interpretable Monkeypox Diagnosis
[IEEE] 2026-7-2 | Beyond Inrush Current: Experimental Study of Wound-Rotor Starting and Simulation-Based Analysis of VFD-Controlled Induction Motors
[IEEE] 2026-7-2 | Design and Multiphysics Analysis of a Compact Air-Cooled Heatsink for GaN/SiC TType Power Converters in Electric Vehicle Applications
[IEEE] 2026-7-2 | Adaptive Energy-Aware Cooperative Micro Drone Swarms for Efficient Large Scale Aerial Mapping
[IEEE] 2026-7-2 | Network Temperature Driven Equilibrium Optimization for Enhanced Intrusion Detection
[IEEE] 2026-7-2 | Design and Analysis of Chirp-Layered Superposition Coding for LoRa
[IEEE] 2026-7-2 | Energy-Efficient INT8 Quantized LeNet Accelerator Using Systolic Arrays for Handwritten English-Arabic Digits Recognition
[IEEE] 2026-7-2 | Robust Movement Detection via Wi-Fi Channel State Information: Real-World Long-Term Validation and Cross-Dataset Generalisation
[IEEE] 2026-7-2 | Application of Genetic Algorithm and Step-wise Evaluation of Multi-Objectives to Optimize Location of Normally Open Points within Meshed Distribution Networks
[IEEE] 2026-7-2 | Microcontroller Implementation of Combined MTPA and LUT Correction of BLDC Motors with Large Stator Inductance and Hall Sensors Misalignment
[IEEE] 2026-7-2 | Performance Evaluation of Multi-Architecture Deep Learning Models for Real-Time Fire Detection on Resource-Constrained Devices
[IEEE] 2026-7-2 | Artificial Intelligence for Modeling Security and Privacy in IoT Networks: Concepts, Frameworks, and Applications
[IEEE] 2026-7-2 | Decoding-Dependent Uncertainty in Large Language Models: Cross-Architecture Sensitivity and Calibration Analysis
[IEEE] 2026-7-2 | Stability Analysis of Networked Control of Generator Excitation Control System
[IEEE] 2026-7-2 | Optimized Acceleration and Braking Dynamics of Heavy Mechanisms Transporting Liquid Loads
[IEEE] 2026-7-2 | Visual Insights into Agentic Optimization of Pervasive Stream Processing Services
[IEEE] 2026-7-2 | Evaluating Machine and Deep Learning Models for Stroke Prediction with Class Imbalance Handling
[IEEE] 2026-7-2 | Self Supervised Contrastive Learning Based Framework for Rare Disease Medical Image Diagnosis
[IEEE] 2026-7-2 | Oh, Be Safe: A Field Study for Crowdsensed Cycling Safety Maps
[IEEE] 2026-7-2 | Secure Biometric Authentication for Resource-Constrained IoT Devices
[ACM] 2026-7-3 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[ACM] 2026-7-2 | Design, Development and Testing of a DTx Tool for Pediatric Chronic Pain: Lessons Learned from Early-Testing with Healthy Children
[ACM] 2026-7-3 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[ACM] 2026-7-2 | CORE-BFS: Communication-Optimized REctangular-partitioned BFS Achieving 160.845 TeraTEPS on Frontier Supercomputer
[ACM] 2026-7-2 | S2VEC: Compiler-Driven Stream Specialization for Linearized Vectorization
[ACM] 2026-7-2 | SVSIG: Incremental Streaming Graph Processing with Source Vertex Suppression
[ACM] 2026-7-2 | Disentangled Multimodal Tuning and Interaction for Human Perception Understanding
[ACM] 2026-7-2 | Leveraging Large Language Models for Generating Research Topic Ontologies: A Multi-Disciplinary Study
[IEEE] 2026-7-2 | GPECOM 2026 Panel Discussion
[IEEE] 2026-7-2 | Welcome from the Workshops Chairs
[IEEE] 2026-7-2 | Mobile Charging Stations in Iov: Joint Optimization of Order Service and Energy Replenishment_supp1-3709175.pdf
[IEEE] 2026-7-2 | Congratulations on 10 Years of Power Electronics
[IEEE] 2026-7-2 | Deep Learning for Intrusion Detection in Satellite Networks: A Survey of Ground Station Internal Traffic and Satellite-Ground Link Security
[ACM] 2026-7-2 | Energy-Efficient LLM-Based Decompilation via a Two-Stage Pipeline on Constrained Hardware
