[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[arXiv] 2026-07-15 | Data driven non-equilibrium moist phase exchanges for atmospheric convection within a discontinuous Galerkin model of the compressible Euler equations
[arXiv] 2026-07-15 | Liouville type theorems for fully nonlinear elliptic equations with superlinear growth in gradient
[arXiv] 2026-07-15 | Is Deep Hedging Reinforcement Learning?
[arXiv] 2026-07-15 | Open surfaces with a triangle at infinity
[arXiv] 2026-07-15 | Foliated Quantum Error Correction for Qudits
[arXiv] 2026-07-15 | An exact algorithm for U(N) matrix models in the gauge-invariant singlet sector
[arXiv] 2026-07-15 | WarpGuard: Towards Control-Flow Attestation for Heterogeneous CPU-GPU Execution
[arXiv] 2026-07-15 | Equilibrium stability as a driver of cooperation among Q-learners
[arXiv] 2026-07-15 | Adaptive space-time BEM for the heat equation with Neumann boundary conditions
[arXiv] 2026-07-15 | Leveraging unlabelled data for generalizable neural population decoding
[arXiv] 2026-07-15 | Inductive construction of path homology chains and the structure of $Ω_3(G;R)$
[arXiv] 2026-07-15 | Comment on 'Primary Dimensions'
[arXiv] 2026-07-15 | Spectral fourth moments of Hecke--Maaß cusp forms
[arXiv] 2026-07-15 | Square-Root Law for Covert Communication with Warden-Favorable Side Information
[arXiv] 2026-07-15 | The Lagrangian flux-monodromy morphism
[arXiv] 2026-07-15 | Homotopy of representations up to homotopy
[arXiv] 2026-07-15 | Confinement effects on protein stability in a freezing water environment
[arXiv] 2026-07-15 | On the $K$-theoretic logarithmic double ramification class
[arXiv] 2026-07-15 | Low-Complexity Soft-Aided Error-and-Erasure Decoding for Generalized Product Codes
[arXiv] 2026-07-15 | Pair-Partition Constructions for CPM-Based Quantum LDPC Codes
[arXiv] 2026-07-15 | Cluster-configurational study of G-center in Silicon
[arXiv] 2026-07-15 | Entropy release from Minkowski breaking in regular Schwarzschild black holes
[arXiv] 2026-07-15 | MetaPerch: Learning from metadata for bioacoustics foundation models
[arXiv] 2026-07-15 | Screening of Biosecurity Features in Metagenomic Data with Evo 2 Probes
[arXiv] 2026-07-15 | The complex stellar system M 22: constraining the chemical enrichment from AGB stars using magnesium isotope ratios
[arXiv] 2026-07-15 | Gilbert's disc model conditioned on the square lattice
[arXiv] 2026-07-15 | Adaptivity in Local Kernel Based Methods for Approximating Solutions to the Poisson Equation
[arXiv] 2026-07-15 | High-precision measurement of the kaonic hydrogen 1s level shift and width with SIDDHARTA-2
[arXiv] 2026-07-15 | Verifying formulas for interventional distributions
[arXiv] 2026-07-15 | Quantum memory advantage for quantum process tomography
[arXiv] 2026-07-15 | Aharonov-Casher-induced electric quadrupole of charge-neutral particles
[arXiv] 2026-07-15 | Calibrated Closed-Form Uncertainty for Radiative Gaussian Splatting in Sparse-View CT
[arXiv] 2026-07-15 | Quantum Algorithm for Elliptic Curve Discrete Logarithms with Space-Efficient Point Addition
[arXiv] 2026-07-15 | Non-Expansive Two-Time-Scale Stochastic Approximation: A Fixed-Schedule One-Quarter Barrier and Bias-Corrected Acceleration
[arXiv] 2026-07-15 | Benchmarking trigonometric continuous-variable gate primitives with trapped ions
[arXiv] 2026-07-15 | Existence and Limiting Profiles of Normalized Travelling Wave Solutions for the Pseudo-Relativistic Schrödinger Equation with Logarithmic Nonlinearity
[arXiv] 2026-07-15 | StreamingQEC: Streaming Quantum Error Correction in Tightly Integrated Quantum-Classical Systems via Certified Recurrence
[arXiv] 2026-07-15 | Dynamic Universal Approximation via Signature Controlled Differential Equations
[ACM] 2026-7-15 | Lattice Musicking
[ACM] 2026-7-15 | Agriculture Punk: Hello World from Breadboard Farming
[ACM] 2026-7-15 | Cage-based Texture Transfer with Geometric Filtering
[IEEE] 2026-7-15 | Abstract Cards
[IEEE] 2026-7-15 | WS28: The 4th Workshop on Near-Field Communications, Localization, and Sensing
[IEEE] 2026-7-15 | Retraction Notice: A Conceptual Analysis of Machine Learning Towards Digital Marketing Transformation
[IEEE] 2026-7-15 | Message from the Chairman
[IEEE] 2026-7-15 | Retraction Notice: Enhanced Deep Learning Algorithm for Skin Cancer Detection
[IEEE] 2026-7-15 | Retraction Notice: Comparison of Regression Techniques and Integration Models Using Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: A Comprehensive Analysis of Emerging Threats in the Digital Era
[IEEE] 2026-7-15 | Retraction Notice: Sales Prediction For Food Products Using Machine Learning
[IEEE] 2026-7-15 | Retraction Notice: Dynamic Path Allocation Based on Reinforcement Learning in Iot Systems
[IEEE] 2026-7-15 | Bifurcation Analysis Framework of Spiking Neuron Models_supp1-3710811.pdf
[ACM] 2026-7-16 | Neuroscience Inspired Graph Operators Towards Edge-Deployable Virtual Sensing for Irregular Geometries
[IEEE] 2026-7-15 | G
                    <sup>2</sup>
                    FL: Robust Federated Learning for GNSS Spoofing Detection
[IEEE] 2026-7-15 | Proof of Concept of QCSP Frames in Earth-to-LEO Satellite Transmission
[IEEE] 2026-7-15 | NeuroSymbolic Robustness Analysis for Discrete Systems with Respect to Transition Deviations
[IEEE] 2026-7-15 | CED-TRL: Curriculum Environment Design for Temporally Extended Reinforcement Learning Tasks
[IEEE] 2026-7-15 | Improving Energy Sustainability of Multi-RAT IoT Coexistence Networks in the Presence of Adjacent Channel Interference and Hardware Impairments
[IEEE] 2026-7-15 | Novel 3D Film Laminate Package for High Efficiency 7 GHz GaN Power Amplifier Module
[IEEE] 2026-7-15 | Full-Circuit Modeling and Nonlinear Analysis of Flux-Pumped SQUID Amplifiers in Keysight Advanced Design System (ADS)
[IEEE] 2026-7-15 | AI-Powered Adaptive Learning System for Dyslexic Children
[IEEE] 2026-7-15 | CTA-Based Internal Carotid Artery Segmentation and DRR Generation for Enhanced Neurovascular Visualization
[ACM] 2026-7-16 | Sleep-Inspired Replay-Driven Online Temporal Learning with Memristive Neuromorphic Hardware for Edge Systems
[ACM] 2026-7-16 | Open-source asynchronous periphery for mixed-signal neuromorphic chips
[IEEE] 2026-7-15 | Age of Information Minimization for Buffer-Aided Uplink Systems via Movable Antennas
[IEEE] 2026-7-15 | Cramér–Rao Lower Bound for Barycenter Estimation of an Extended Target in the Near Field
[IEEE] 2026-7-15 | Enhancing Parkinsons Disease Diagnosis Using ConvNeXt and Hand-Drawn Image Biomarkers
[IEEE] 2026-7-15 | Geometric Cross-Layer NOMA-IRSA Random Access Scheme for GEO HTS Networks
[IEEE] 2026-7-15 | Multi-Sensor Based Automatic Food Authenticity Detection System
[IEEE] 2026-7-15 | Index Packet Error Correction in Digital Semantic Communications Through Vector-Quantized Diffusion Models
[IEEE] 2026-7-15 | Modeling and Scheduling of Hospital Robot Fleets Using Switching-max-plus Algebra
[IEEE] 2026-7-15 | From Domain Model to High-Mix Low-Volume Production Line Schedules
[IEEE] 2026-7-15 | Efficient and Interpretable Tabular Learning Via Visual Transformation
[IEEE] 2026-7-15 | D-Band Variable-Gain Balanced Power Amplifier with 36% FBW, 18.2 dBm PSAT and Reconfigurable Adaptive Bias in 22-nm FD-SOI
[IEEE] 2026-7-15 | SAGE: Student-Focused Adaptive Guidance Engine for Intelligent Tutoring with Regulated Learning
[IEEE] 2026-7-15 | A $10-\mathrm{W} 7-\text{GHz}$ Gan-on-Si Doherty Power Amplifier with Hybrid MMIC-Module Integration for 6G Base-Station Applications
[IEEE] 2026-7-15 | A Virtual Reality-Based Interior Design Framework Built on Cloud for Scalable and Immersive Experiences
[IEEE] 2026-7-15 | An Intelligent Traffic Estimation Approach to 6G Networks for Industry Applications based on Time-Frequency Features
[IEEE] 2026-7-15 | Data-driven diagnosis of failures in max-plus linear systems: a consistency-based approach
[IEEE] 2026-7-15 | A 2–18 GHz Integrated 4-Channel Transmit/Receive Beamformer in 65-nm CMOS
[IEEE] 2026-7-15 | Transciphering of Lightweight Symmetric Ciphertexts for Privacy-Preserving Generative AI Inference in Telecom Systems
[IEEE] 2026-7-15 | 0.5-to-52 GHz High Power Nonuniform Distributed Amplifier in 60 nm GaN/Si Process
[IEEE] 2026-7-15 | CAPTAIMN: A Real-Time LLM and RAG Based Decision Support System for Navigational Safety and COLREGs Compliance
[IEEE] 2026-7-15 | Model Predictive Control (MPC) Based Multi-Output DC to DC Converter for Electric Vehicle Applications
[IEEE] 2026-7-15 | Low-Complexity Near-Field Localization in Multipath Environment by ELAA Partitioning in Presence of Mutual Coupling
[IEEE] 2026-7-15 | Emulation Digital Twin Framework: Case Study on NGAP Attacks in 5G Control Plane
[IEEE] 2026-7-15 | Secure Beamforming for Pinching-Antenna Systems
[IEEE] 2026-7-15 | Transmit Beampattern Design for Continuous Aperture Array (CAPA)-aided Sensing Systems
[IEEE] 2026-7-15 | Packaging and Antenna Design for a 46 -Element Dual-Surface Mmwave Active STAR-RIS Built with CMOS RFICs
[IEEE] 2026-7-15 | ClimaStyle: A Climate-Aware Visual Try-On with Prompt-Based Segmentation
[IEEE] 2026-7-15 | Factor Graph Optimization Based Data Fusion for Accurate 3-D Positioning Using UWB and IMU
[IEEE] 2026-7-15 | Architectural Enhancements for Efficient Sensing Data Utilization in 6G ISAC
[IEEE] 2026-7-15 | Evaluation of GenLLM–based Air Traffic Complexity Assessment
[IEEE] 2026-7-15 | Distributed Pilot Framework for OTFS: Achieving Interference Whitening and PAPR Reduction
[IEEE] 2026-7-15 | A Single-Stage Feedback-Feedforward D-Band LNA in SiGe BiCMOS
[ACM] 2026-7-15 | Towards Inclusive Retrieval-Augmented Generation: Challenges and Opportunities for Cognitively Impaired Users
[ACM] 2026-7-15 | Reasoning-Grounded Intent Injection for Generative Recommendation
[ACM] 2026-7-15 | LLM-based Semantic and ID Representations for Sequential Recommendation
[ACM] 2026-7-15 | DCGL: Dual-Channel Graph Learning with Large Language Models for Knowledge-Aware Recommendation
[ACM] 2026-7-15 | Privacy Preserving Information Retrieval: Defining Privacy Research Pillars for a Future Research Agenda
[ACM] 2026-7-15 | RoTE: Coarse-to-Fine Multi-Level Rotary Time Embedding for Sequential Recommendation
[ACM] 2026-7-15 | Chunk-Wise Quantization for Graph Collaborative Filtering
[ACM] 2026-7-15 | Inductive Subgraphs as Shortcuts: Causal Disentanglement for Heterophilic Graph Learning
[ACM] 2026-7-15 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[ACM] 2026-7-15 | CARD: Non-Uniform Quantization of Visual Semantic Unit for Generative Recommendation
[ACM] 2026-7-15 | Exploring and Improving Cross- and Multi-Domain Personalized Question Answering via a Dual Retrieval Augmentation Approach
[ACM] 2026-7-15 | SECRET: SEarch query Classification with label RETrieval
[IEEE] 2026-7-15 | Confidence-Aware Hard-Soft Fused Tree Search for MIMO Detection_supp1-3713356.pdf
[IEEE] 2026-7-15 | Retraction Notice: Colorization of Black &amp; White Videos &amp; Photographs
[IEEE] 2026-7-15 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp2-3713229.xlsx
[ACM] 2026-7-16 | 8DNA: 8D Neural Asset Light Transport by Distribution Learning
[ACM] 2026-7-16 | VidSplat: Gaussian Splatting Reconstruction with Geometry-Guided Video Diffusion Priors
[ACM] 2026-7-16 | Shellular Metamaterial Design via Compact Electric Potential Parametrization
[ACM] 2026-7-16 | Broadband Hyperspectral 3D Imaging using Dispersed Structured Light
[ACM] 2026-7-16 | <i>C</i>
                    <sup>0</sup>
                    Generalized Coons Volumes over Arbitrary Polyhedra
[ACM] 2026-7-16 | GauSmoke: Hybrid Physics-Optical Gaussian Splatting for Sparse Smoke Reconstruction
[ACM] 2026-7-16 | ViewWeaver: Geometry-Grounded Generative Rendering for 3D-Aware Image Customization
[ACM] 2026-7-16 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[ACM] 2026-7-16 | Computational Design of Terrestrial Robots with Anisotropic Friction
[ACM] 2026-7-16 | Autoregressive Modeling of Film with Applications in Video Montage
[IEEE] 2026-7-16 | 2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)
[IEEE] 2026-7-16 | Agentic-VideoRAG: A Cost-Aware and Explainable Framework for Video Retrieval
[IEEE] 2026-7-16 | A Comparative study of Lightweight Deep Learning Frameworks for Plant Disease Detection
[IEEE] 2026-7-16 | DroidCleaner: An Android Malware Detector
[IEEE] 2026-7-16 | Temporal Defense: Early Detection of Blackhole Attacks in Wireless Sensor Networks using LSTM
[IEEE] 2026-7-16 | Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems: A Defense-Centric Systematic Review
[IEEE] 2026-7-16 | A Survey of ML Approaches for Anomaly Detection in cybersecurity With a Recommendation for Practical Deployment
[IEEE] 2026-7-16 | LLM-Powered Real-Time Voice Agent for Task-Guided Practice in Serious Games for ASD
[IEEE] 2026-7-15 | A 300-GHz 2-D Scalable 4 × 4 Phased-Array Receiver With Half-Wavelength Element Spacing in 65-nm CMOS
[IEEE] 2026-7-16 | Message from the AIST 2026 Chairs
[IEEE] 2026-7-16 | Adaptive Droop Control For Balanced Power Sharing In Islanded Microgrids Using Battery and Flywheel Energy Storage Systems
[IEEE] 2026-7-16 | Early Warning of Performance Degradation in Object Detection Models via Explainable AI
[IEEE] 2026-7-16 | Hybrid Table-Assisted and RL-Based Dynamic Routing for NGSO Satellite Networks
[IEEE] 2026-7-16 | M-wave Event Stream Transformer for Mechanical Anomaly Detection of GIS Circuit Breakers
[IEEE] 2026-7-16 | $\rm {M}^{2}\rm {C-EvDet}$: Multi-Domain Multi-Order Cross-Modal Knowledge Distillation for Event-based Object Detection
[IEEE] 2026-7-16 | Isolating Feature Transition Errors in Dynamically Adaptive Systems
[IEEE] 2026-7-16 | A Rapid Assessment Method for the Safe Load-Bearing Capacity of Pressure Vessels with Various Defect Types
[IEEE] 2026-7-15 | Intelligent Fractional Graph Signal Framework for Multi-Grade Brain Tumor Classification in IoT-Healthcare
[IEEE] 2026-7-16 | PV-Integrated Dynamic Voltage Restorer for Disturbance Compensation
[IEEE] 2026-7-16 | A Multimodal Approach for Alzheimer’s Disease Prediction Using Vision Transformer and CNN Models
[IEEE] 2026-7-16 | Remote Catheter System with Enhanced Haptic Feedback for Use in Endovascular Procedures
[IEEE] 2026-7-16 | A Comprehensive Review on Machine Learning Approaches for Zero-Day Attack Detection
[IEEE] 2026-7-16 | XPJudge: Explanation-Aware Pairwise Judging for Cost-Effective Code LLM Selection
[IEEE] 2026-7-16 | Leveraging Large Language Models for Trustworthiness Assessment of Web Applications
[IEEE] 2026-7-16 | Secure Bandwidth Allocation in UASNs via Spatially Correlated Shadowing Compensation and Geometric-Consistency Constraints
[IEEE] 2026-7-16 | Enabling Service Monitoring in Industrial IoT: A Knowledge-Integrated Service Status Perception Framework
[IEEE] 2026-7-16 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[IEEE] 2026-7-16 | Semantic-Driven Federated Multi-Task Learning for Low-Altitude UAV Networks
[IEEE] 2026-7-16 | Dual-Sphere Structured Fiber Optic Sensor Based on SPR and MZI Principles for Marine Parameter Detection
[IEEE] 2026-7-16 | The Expanding Influence of the PSMA Magnetics Workshop [PSMA Corner]
[IEEE] 2026-7-16 | Runtime and Memory Performance of Human-Written and LLM-Generated Code: An Empirical Study
[IEEE] 2026-7-16 | A Bilingual Hindi–English Speech Emotion Dataset with Benchmark Evaluation
[IEEE] 2026-7-15 | The Multivariate Inverse Gamma Distribution and its Application to Wireless Communication Systems
