[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[IEEE] 2026-7-3 | Improving RSSI Preprocessing for Physical-Layer Secret Key Generation in UAV Networks via Joint Sparse Signal Reconstruction
[IEEE] 2026-7-3 | A 4Gb 32-Layer 3D NOR Flash Test Chip with Innovative Design Methods Enabling Sub-100ns Low-Latency Read and Robust Retention
[IEEE] 2026-7-3 | Synergistic SAR - Optical Remote Sensing Framework for Landslide Mapping
[IEEE] 2026-7-3 | Stages Of Developing Linguistic Resources For The Uzbek English Parallel Corpus Of Official Texts
[IEEE] 2026-7-3 | Determining the Slope of a Received Signal Using Second Order Oscillating Systems
[IEEE] 2026-7-3 | Smart Optimization of Hybrid Power Solution for Single-Household Electrification in Lawalong, Chatra, Jharkhand Using HOMER Pro
[IEEE] 2026-7-3 | A Fully Integrated, GBW-Enhanced Tri-Loop, Maximum Ripple Rejection Tracking Analog LDO Achieving Better Than −25.5dB PSR Up to 1GHz and 13ns Settling Time
[IEEE] 2026-7-3 | 10-nm-Gate-Length Nanosheet CNFET with Self-Aligned Extension Doping for Ambipolar Leakage Suppression
[ACM] 2026-7-4 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[ACM] 2026-7-4 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[ACM] 2026-7-3 | Improving a Parallel C++ Intel SSE SIMD Linear Genetic Programming Interpreter
[ACM] 2026-7-3 | From Cage to Stage: Mapping Aesthetic Dance Movements Onto an Industrial Robot
[ACM] 2026-7-3 | Differentiable Physics for Graphics and AI
[ACM] 2026-7-3 | Learning a Delighting Prior for Facial Appearance Capture in the Wild
[ACM] 2026-7-3 | Woodstock: Interactive Modeling of Fungal Wood Decay
[ACM] 2026-7-3 | Implicit Minimal Surfaces for Bijective Correspondences
[ACM] 2026-7-3 | MPM Lite: Linear Kernels and Integration without Particles
[ACM] 2026-7-3 | Automatic identification of domain expressions to build a LEL glossary from Spanish texts
[IEEE] 2026-7-3 | Hybrid Physical Layer Authentication in RIS-Assisted V2X Networks
[IEEE] 2026-7-3 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp1-3706679.docx
[IEEE] 2026-7-3 | Facilitating Fast Response of the Heterogeneous Vehicle Platoon Based on the Multi-Delay Proportional-Retarded Controller
[IEEE] 2026-7-3 | Wall-Object Multimodal Encoding for Robust Coarse-to-Fine Relocalization Using LiDAR Signals_supp1-3709534.pdf
[IEEE] 2026-7-3 | Multi-frequency Terahertz Mueller Matrix Ellipsometry Driven by Neural Network
[IEEE] 2026-7-3 | Microwave Radar Imaging System with Large Aperture Sparse-Focused MIMO Array for Concealed Object Detection
[IEEE] 2026-7-3 | USAM: A Unified Safety–Age Metric for Timeliness in Heterogeneous IoT Systems
[IEEE] 2026-7-3 | IEEE Innovation Testbed
[IEEE] 2026-7-3 | Pushing the Limits: Unlocking the Potential of Faster-than-Nyquist Signaling
[IEEE] 2026-7-3 | Fake News Detection Using Machine Learning with Lightweight DistilBERT Deployment
[IEEE] 2026-7-3 | DRNet: All-in-One Image Restoration via Prior-Guided Dynamic Reparameterization
[ACM] 2026-7-4 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[ACM] 2026-7-4 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[ACM] 2026-7-4 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[ACM] 2026-7-4 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[ACM] 2026-7-4 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[IEEE] 2026-7-3 | Design of Transistor Microwave Amplifiers Using Ideal Matching Two-Ports
[IEEE] 2026-7-3 | Method for Determining the Emissivity Coefficient of the Venous Wall to Improve the Accuracy of Temperature Measurement Using Thermal Imaging in ex vivo Studies
[IEEE] 2026-7-3 | Geo-Environmental Controls on Gully Erosion: A Random Forest Approach in the SROU Basin (Middle Atlas, Morocco)
[IEEE] 2026-7-3 | Uncertainty-Aware Pneumonia Screening from Chest X-Rays Using Selective Triage and Explainable Deep Learning
[IEEE] 2026-7-3 | Scaling $V_{DD}$ for P-Type 2D-Material Channel Transistor: what Non-Idealities are Still to be Solved
[IEEE] 2026-7-3 | Low-Overhead CSI Reporting for Network Energy Saving
[IEEE] 2026-7-3 | Comparative study of feature grouping strategies on non-cooperative modulation recognition*
[IEEE] 2026-7-3 | A Multi-Stage Approach for the Analysis of Poetic Texts
[IEEE] 2026-7-3 | Simulation of the Impact of Design and Technology Parameters on the Threshold and Breakdown Voltages of LDMOS Transistors
[IEEE] 2026-7-3 | Ultra-Low Drift (4 mV/dec.) and Excellent Write Endurance (&gt; 3×10
                    <sup>10</sup>
                    ) in Heterostructure Te-Based Selector-Only Memory (SOM) with 2D WS
                    <sub>2</sub>
                    Interlayer
[IEEE] 2026-7-3 | A Single-Stage Solar PV-Fed Sensorless Induction Motor Water Pumping System Using Adaptive Sliding Mode MPPT and Integral Sliding Mode Control
[IEEE] 2026-7-3 | D2D Performance Analysis in the context of RIS Assisted Communications
[IEEE] 2026-7-3 | Experimental Performance Evaluation of a Fully Virtualized Open-Source 5G Network using srsRAN
[IEEE] 2026-7-3 | Design and Simulation of a Textile-Based Wearable Compact Antenna for Wireless Body Area Networks
[IEEE] 2026-7-3 | DustTransBEV: BEV Transformer Dust Cleaning for Autonomous Driving LiDAR Systems
[IEEE] 2026-7-3 | LLM-Driven Hierarchical Federated Orchestration for Privacy-Preserving 6G TN-NTN Networks
[IEEE] 2026-7-3 | An Efficient Quantum Signature Scheme for Secure Wireless Communications in IoT Networks
[IEEE] 2026-7-3 | Two-Stage Quantum Annealing for Sidelobe Suppression in 2-Bit Quantized Phased Arrays
[IEEE] 2026-7-3 | 6.5 kV Enhancement-Mode GaN Monolithic Bidirectional Switch (MBDS) Achieving Record Power Figure of Merit
[IEEE] 2026-7-3 | A 48 V, 25 W, 6.78 MHz Self-Starting Class-D WPT Transmitter with Self-Biasing and Autonomous Clocking Achieving 91% Peak DC-DC Efficiency
[IEEE] 2026-7-3 | Semi-Asynchronous DAG-Based Federated Learning for Internet of Things
[IEEE] 2026-7-3 | Stability-Oriented Closed-Loop Control for PV Integated On-Grid Cascaded H-Bridge Multilevel Inverter for Enhanced Dynamic Response
[IEEE] 2026-7-3 | A $3.2 \text{GS} / \mathbf{s}^{2}{ }^{\text {nd }}$-Order Noise-Shaping-Pipelined ADC with 400 MHz-BW 69 dB-SNDR Featuring Gain/Quantizer-Embedded Parallel Voltage/Time-Domain Loop Filter
[IEEE] 2026-7-3 | A 10-Bit Source-Driver IC with Mismatch-Resilient Cross-Point DAC Achieving 1223μm
                    <sup>2</sup>
                    /Channel and 4.3 mV DVO for Mobile OLED Displays
[IEEE] 2026-7-3 | A $\mathbf{1 2 9}$-Gb/s CMOS W-Band Polarization-Modulated Active Relay Transceiver Supporting Concurrent Dual-Polarized Dual-Stream Relay Operation
[IEEE] 2026-7-3 | TinyNPU: A3nm 0.06-134.36 μJ/Token DCIM-Based Ultra Low Power NPU for Always-On Reasoning on Wearables
[ACM] 2026-7-3 | Mixing Colors: Exploring Digital Images through the Bayer Filter
[ACM] 2026-7-3 | PQ-Free HD: Priority-Queue-Free Hausdorff Distance for Triangle Meshes on GPU
[ACM] 2026-7-3 | Research on Automatic Recognition of Abnormal Behavior of Students on Multimedia Comprehensive Quality Education Platform
[ACM] 2026-7-3 | Transformer-LLM Smart Classroom Assessment System: Sequence Labeling and Multi-Task Learning Methods Oriented to Ideological and Political Education in Curriculum
[IEEE] 2026-7-3 | USBEREIT 2026 Cover Page
[IEEE] 2026-7-3 | Superconducting Concentrator in a Combined Magnetic Field Sensor
[IEEE] 2026-7-3 | Beamforming Optimization for Active STAR-RIS Aided Secure ISAC System
[IEEE] 2026-7-3 | Indoor Wellness Optimization in Smart Buildings Based on Ambient Variable Dimensionality Reduction
[IEEE] 2026-7-3 | One Prompt, Many Sounds: Modeling Listener Variability in LLM-Based Equalization
[IEEE] 2026-7-3 | Conference Committees
[IEEE] 2026-7-3 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation
[IEEE] 2026-7-3 | FSTFormer: 2D Transformer Fusing Multi-Scale Fast–Slow Time Features based Adaptive Detection for Radar Targets with Unknown Scattering Centers
[IEEE] 2026-7-3 | Strategy for Mitigation of Voltage Distortions in Highly Efficient Single-Phase Unfolder Inverters
[IEEE] 2026-7-3 | Keynoters
[IEEE] 2026-7-3 | Centimeter-Level Multi-Human Positioning and Tracking Using LiDAR
[IEEE] 2026-7-3 | A New Human-Likeness and Comfort Index for Robot Movements Along Prescribed Paths
[IEEE] 2026-7-3 | A Distributed Thermal-Sensing-Driven Hierarchical Warning Framework for 10 kV Distribution Cables
[IEEE] 2026-7-3 | Transmit Pinching Antenna Systems (T-PASS): Joint Wired And Wireless Communication
[IEEE] 2026-7-3 | Real-Time Network Behavior Modeling for Collaborative Operations of Low-Altitude UAV Swarms
[IEEE] 2026-7-3 | A Modified Interleaved Switched-Capacitor Unidirectional DC-DC Converter with Wide Voltage-Gain Range for Integrating Renewable and Energy Storage Systems
[IEEE] 2026-7-3 | About the Commissioning of the FSUE “VNIIFTRI” Radio Telescope
[IEEE] 2026-7-3 | Hybrid Terahertz and Millimeter-Wave Communications for High-Capacity 6G HAPS-to-Satellite Links
[IEEE] 2026-7-3 | Computer Model For Identifying The Period Of Uzbek Texts Based On Lexical, Morphological, And Syntactic Features
[IEEE] 2026-7-3 | A Hybrid Reinforcement Learning-Guided Grey Wolf Optimizer for UAV Path Planning
[IEEE] 2026-7-3 | Monolithic 3D Integration of Stacked IGZO/Si Memtransistor-Based 2T0c Gain Cell for Attention Computation and CFET SRAM-DCIM With Multiple Spectral CNT-Sensors for End-To-End Vision Transformers (Vits) on Edge AI
[IEEE] 2026-7-3 | A Change-Detection Approach Using Google Earth Engine to Monitor the Loss of Historically-Significant Sustainable Traditional OASIS Agriculture
[IEEE] 2026-7-3 | A Sub-μW VCO-Based Direct Digitization Front-End with an Auto-Ranging Technique Achieving 1.8 NEF and 182.3 FoM
                    <sub>DR</sub>
                    for Energy-Efficient Neural Recording
[IEEE] 2026-7-3 | A Monolithic 20W/$\text{mm}^{2}$ 4.8V Input 94.8% Peak Efficiency 2-1 Switched Capacitor Voltage Regulator as First-Stage Current Multiplier for Vertical Power Delivery
[IEEE] 2026-7-3 | Total Harmonic Distortion Reduction in Cascaded Multilevel Inverters using Multicarrier Phase Shift Pulse Width Modulation Strategy
[IEEE] 2026-7-3 | Vision-Based Driver Drowsiness Detection Using Eye-State Analysis and Lightweight CNNs
[IEEE] 2026-7-3 | A 40nm 24.85-to-80.59 TFLOPS/W FP8 Computing-in-Memory Macro with Outlier-Aware Hierarchical-Alignment for Edge Transformers
[IEEE] 2026-7-3 | An 80.198um
                    <sup>2</sup>
                    Compact TRNG with Bias Mitigation, Proven PVT Tolerance in 4nm
[IEEE] 2026-7-3 | Energy communities – a solution to make consumption more efficient
[IEEE] 2026-7-3 | IoT Based Intelligent Fault Distance Locator for Underground Power Cables Using Microcontroller
[IEEE] 2026-7-3 | NLP-Driven Machine Learning Model for Early Detection of Crude Oil Price Volatility
[IEEE] 2026-7-3 | SPNet: Rethinking Feature Pyramids for Aerial Small Object Detection
[IEEE] 2026-7-3 | An in-Ear Sleep Modulation SoC Featuring a CNN–LSTM Accelerator with Long-Kernel Memory Reuse and Runtime Dynamic Quantization
[IEEE] 2026-7-3 | Cross-Model Analysis of Token-Level Explanations in Tatar Text Classification
[IEEE] 2026-7-3 | A 16 Mb 28 nm FD-SOI STT-MRAM Achieving 2.0 ns Read Access Time at 0.9 V via a PVT-Variation-Tolerant Dual-Reference Sensing Scheme
[IEEE] 2026-7-3 | The Impact of Bilingual Thinking on Problem-Solving Skills: Implications for Intelligent Educational Systems in Turkic Language Contexts
[IEEE] 2026-7-3 | Advanced Hybrid Fuzzy Approach to Automatic Generation Control (AGC) with Different Sources of Generation
[IEEE] 2026-7-3 | High-Density Chiplet Integration using Face-Down COW Processes with Bumpless Interconnects for Heterogeneous 3D Systems
[IEEE] 2026-7-3 | Adaptive Array Processing for FH-GNSS System with Beam-Squint Against Jamming
[IEEE] 2026-7-3 | Meeting AI Demand Through Equipment Innovation and AI-Driven Manufacturing: Progress and Challenges
[IEEE] 2026-7-3 | The Thermal Paradox of Oxygen Vacancies: Screening vs. Depolarization Setting the Retention in W-Doped Indium Oxide FEFETs
[IEEE] 2026-7-3 | Geometric Intelligence: Hybrid Observation with Deep Reinforcement Learning for Autonomous UAV Navigation
[IEEE] 2026-7-3 | A $28 \mathrm{nm} 0.7$ pJ/Bit Optically-Programmable, Fully-Digital Sram-Based Receiver Array with on-Chip Skew Calibration for Energy-Efficient Wireless Data Transfer
[ACM] 2026-7-4 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[ACM] 2026-7-4 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[ACM] 2026-7-4 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[ACM] 2026-7-4 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[ACM] 2026-7-3 | No Engine Required: Teaching Game Programming (Mostly) From Scratch
[IEEE] 2026-7-3 | Comparative Deep Learning Approaches for Personal Protective Equipment Recognition in Industrial Environments
[IEEE] 2026-7-3 | High-Precision Channel Simulation for Non-Gaussian Fading: A Copula-Based Approach
[IEEE] 2026-7-3 | Fault Detection and Classification for Distribution Network with Decentralized Power Generation Sources Using Combined WPT and XGBoost
[IEEE] 2026-7-3 | ISFET model development in Sentaurus Device
[IEEE] 2026-7-3 | Innovative Performance of 6th Generation 11nm DRAM Cell Transistor for HBM4 Application
[IEEE] 2026-7-3 | Gleanmer: A 6 mW SoC for Real-Time 3D Gaussian Occupancy Mapping
[IEEE] 2026-7-3 | Development of an NLP System for Detecting and Correcting Spelling Errors in Uzbek
[IEEE] 2026-7-3 | Simulation of Bioelectric and Thermal Effects of Multi-Electrode Microcurrent on Subcutaneous Tissues
[IEEE] 2026-7-3 | Real-Time RF Streaming on RFSoC 4x2: Quantifying OS Overhead in PL-to-PS Transport
[IEEE] 2026-7-3 | Effective Dipole Strength Modulation Using Imprinted Gadolinium Dipole (IGD) Layer to Achieve Fine $\mathrm{V}_{\mathrm{t}}$ Tunability for Low Thermal Budget CFET Devices
[IEEE] 2026-7-3 | TADDH: Task-Aligned Dynamic Detection Head for High-Performance X-ray Prohibited Item Detection
[IEEE] 2026-7-3 | Performance Evaluation of ANFIS-Based Adaptive Virtual Impedance Controller Under Sudden Load Changes in Islanded Hybrid Microgrid
[IEEE] 2026-7-3 | DCGCD: Cognitive Diagnosis Based on Dual-Channel Graph Convolution Learning
[IEEE] 2026-7-3 | Fixed-Threshold Method for Yelp Siren Detection
[IEEE] 2026-7-3 | Optimized ANN-Based Dynamic Rotor Speed Control for Floating Offshore Wind Turbines in High Wind Speeds
[IEEE] 2026-7-3 | A Budget-Constrained Multi-Pilot Design for the Delay–Doppler Domain
[IEEE] 2026-7-3 | Sensor Data Fusion for Structural Health Monitoring of Aerospace-Relevant Magnetorheological Elastomer Sandwich Structures
[ACM] 2026-7-4 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[ACM] 2026-7-4 | When Code Meets Things: The FLOSS Side of IoT Systems
[ACM] 2026-7-4 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[IEEE] 2026-7-3 | Resilient Adaptive PI-Based Control of Distributed Power Flow Controllers for Wind Energy Integrated Smart Grids
[IEEE] 2026-7-3 | Multi-Agent PPO for Dynamic UAV Dispatching to Urban Congested Zones
[IEEE] 2026-7-3 | A Green’s Function Method for Slotline Impedance Calculation in Planar Stratified Media
[IEEE] 2026-7-3 | A 248.5 $\text{GFLOPS}/\text{mm}^{2}$, 1.67 TFLOPS/W Streaming Processor with Hardware-Level Scheduling for Advanced Spectrum Sensing
[IEEE] 2026-7-3 | Sparse Ramanujan Sequences based OTFS for Peak-to-Average Power Ratio Reduction
[IEEE] 2026-7-3 | A Safe Agentic Digital Twin for Autonomous UAV Navigation
[IEEE] 2026-7-3 | A Robust, Digital-Friendly, Differential and Distributed Supply Monitor Architecture for Automotive SoC in 28nm
[IEEE] 2026-7-3 | Novel Control of Active and Reactive Power of a Microgrid with Battery Energy Storage System
[IEEE] 2026-7-3 | Comparative Analysis of MODIS-Derived Spectral Indices for Drought Monitoring: A Case Study of the Konya Basin, Türkıye
[IEEE] 2026-7-3 | Parameter-efficient fine-tuning of large language models for Tatar language: a comparative study of LoRA and QLoRA
[IEEE] 2026-7-3 | SAR Image Denoising Using Non-Local Sparse Principal Component Analysis
[IEEE] 2026-7-3 | SEUT: Semantic-Aware Multimodal Medical Data Transmission for Multi-Center Collaborative Diagnosis
[IEEE] 2026-7-3 | A 1-to-1050-mA DLDO with Rising-Edge Computational Control and Load-Dependent Feedback Achieving 46-mV/ns DVS Rate and 0.15-Ps FoM
[IEEE] 2026-7-3 | Reliability-Aware Multicast SFC Resource Optimization in NFV-enabled Networks
