[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[NO] 668/816 | Seeing through water: diffuse image-based depth measurements in three-dimensional dam-break flows
[NO] 669/816 | OCR-Enhanced Multimodal ASR Can Read While Listening
[NO] 670/816 | Stability of the free boundary Willmore problem
[NO] 671/816 | Assessing astrophysical foreground subtraction in DECIGO using compact binary populations inferred from the first part of the LIGO-Virgo-KAGRA's fourth observation run
[NO] 672/816 | Gaze Prediction in Virtual Reality Without Eye Tracking Using Visual and Head Motion Cues
[NO] 673/816 | Nonparametric inference for spot volatility in pure-jump semimartingales
[NO] 674/816 | Adversarial Synchronization
[NO] 675/816 | Uncertainty Quantification in Calibration and Simulation of Thermo-Chemical Curing of Epoxy Resins
[NO] 676/816 | On strong valid inequalities for a class of mixed-integer nonlinear sets with box constraints
[NO] 677/816 | Can Good Writing Be Generative? Expert-Level AI Writing Emerges through Fine-Tuning on High-Quality Books
[YES] 678/816 | Forecasting the Maintained Score from the OpenSSF Scorecard for GitHub Repositories linked to PyPI libraries
[NO] 679/816 | Beyond Rigid: Benchmarking Non-Rigid Video Editing
[NO] 680/816 | A Dataset for Automatic Vocal Mode Classification
[NO] 681/816 | Integrated Channel Estimation and Sensing for Near-Field ELAA Systems
[NO] 682/816 | Cognitive Fusion of ZC Sequences and Time-Frequency Images for Out-of-Distribution Detection of Drone Signals
[NO] 683/816 | Possible favored Great Oxidation Event scenario on exoplanets around M-Stars with the example of TRAPPIST-1e
[NO] 684/816 | Structural and dynamic anomalous properties of TIP4P/2005 water at extreme pressures
[NO] 685/816 | Active topological strings in renewing nematopolar fluids
[NO] 686/816 | Calibrating Beyond English: Language Diversity for Better Quantized Multilingual LLM
[NO] 687/816 | SwipeGen: Bridging the Execution Gap in GUI Agents via Human-like Swipe Synthesis
[NO] 688/816 | On the inclusion of bounded harmonic functions of random walks
[NO] 689/816 | Suppressing Final Layer Hidden State Jumps in Transformer Pretraining
[NO] 690/816 | Subword-Based Comparative Linguistics across 242 Languages Using Wikipedia Glottosets
[NO] 691/816 | Uniformly balanced $H$-factors in multicoloured complete graphs
[NO] 692/816 | Design Techniques for LLM-Powered Interactive Storytelling: A Case Study of the Dramamancer System
[NO] 693/816 | Multi-Objective Reinforcement Learning for Efficient Tactical Decision Making for Trucks in Highway Traffic
[NO] 694/816 | Low-Bit Quantization of Bandlimited Graph Signals via Iterative Methods
[NO] 695/816 | Another relation among the neutrino mass-squared differences?
[NO] 696/816 | Virgo Filaments VI: H$α$ clumps in the filaments around the Virgo galaxy cluster
[NO] 697/816 | Unknotting number and connected sums: The knots $4_1$ and $5_1$
[NO] 698/816 | Efficient Trotter-Suzuki Schemes for Long-time Quantum Dynamics
[NO] 699/816 | Capturing P: On the Expressive Power and Efficient Evaluation of Boolean Retrieval
[NO] 700/816 | Coherent control of photon pairs via quantum interference between second- and third-order quantum nonlinear processes
[NO] 701/816 | Approximate level-by-level maximum-likelihood decoding based on the Chase algorithm for high-rate concatenated stabilizer codes
[NO] 702/816 | Sofic actions, halo products, and metric approximations of groups
[NO] 703/816 | Advances and Innovations in the Multi-Agent Robotic System (MARS) Challenge
[NO] 704/816 | Riemannian AmbientFlow: Towards Simultaneous Manifold Learning and Generative Modeling from Corrupted Data
[NO] 705/816 | There is no Definable Grauert Direct Image Theorem
[NO] 706/816 | Weight modules for quantum symmetric pair subalgebras
[NO] 707/816 | Are Video Generation Models Geographically Fair? An Attraction-Centric Evaluation of Global Visual Knowledge
[YES] 708/816 | Bridging Instead of Replacing Online Coding Communities with AI through Community-Enriched Chatbot Designs
[YES] 709/816 | Explainability Methods for Hardware Trojan Detection: A Systematic Comparison
[NO] 710/816 | Intracluster light as a dark matter tracer: how their spatial and kinematic relationship is shaped by satellite demographics
[YES] 711/816 | AI-Driven Fuzzing for Vulnerability Assessment of 5G Traffic Steering Algorithms
[NO] 712/816 | First observation of multi-phonon $γ$-vibrations in an odd-odd nuclear system
[NO] 713/816 | An Explicit Entire Function of Order One with All Zeros on a Line and Bounded in a Half-Plane
[NO] 714/816 | Learned harmonic mean estimation of the marginal likelihood for multimodal posteriors with flow matching
[NO] 715/816 | Learning temporal embeddings from electronic health records of chronic kidney disease patients
[NO] 716/816 | Melting dynamics and mixing layer growth near the ice-ocean interface
[NO] 717/816 | Uniform Computability of PAC Learning
[NO] 718/816 | Contrasting Global and Patient-Specific Regression Models via a Neural Network Representation
[NO] 719/816 | A varying-coefficient model for characterizing duration-driven heterogeneity in flood-related health impacts
[NO] 720/816 | Quantum Rotation Diversity in Displaced Squeezed Binary Phase-Shift Keying
[NO] 721/816 | FaLW: A Forgetting-aware Loss Reweighting for Long-tailed Unlearning
[NO] 722/816 | Digital Euro: Frequently Asked Questions Revisited
[NO] 723/816 | Constraint-Aware Discrete-Time PID Gain Optimization for Robotic Joint Control Under Actuator Saturation
[NO] 724/816 | Universality of Many-body Projected Ensemble for Learning Quantum Data Distribution
[NO] 725/816 | Assessing the Quality of Mental Health Support in LLM Responses through Multi-Attribute Human Evaluation
[NO] 726/816 | CONQUER: Context-Aware Representation with Query Enhancement for Text-Based Person Search
[NO] 727/816 | Quantum gravitational stellar evolution beyond shell-crossing singularities
[NO] 728/816 | Correspondence between quasinormal modes and grey-body factors of Schwarzschild--Tangherlini black holes
[NO] 729/816 | Multimodal Privacy-Preserving Entity Resolution with Fully Homomorphic Encryption
[NO] 730/816 | PolySHAP: Extending KernelSHAP with Interaction-Informed Polynomial Regression
[NO] 731/816 | Goodness-of-Fit Checks for Joint Models
[NO] 732/816 | On the top-dimensional $L^2$-Betti number of residually poly-$\mathbb Z$ groups
[NO] 733/816 | Improvement of the Gilbert-Varshamov Bound for Linear Codes and Quantum Codes
[NO] 734/816 | Stability as a Liability:Systematic Breakdown of Linguistic Structure in LLMs
[NO] 735/816 | Vaccine Efficacy Estimands Implied by Common Estimators Used in Individual Randomized Field Trials
[NO] 736/816 | GimmBO: Interactive Generative Image Model Merging via Bayesian Optimization
[NO] 737/816 | Boundary condition for phonon distribution functions at a smooth crystal interface and interfacial angular momentum transfer
[NO] 738/816 | Moving sample method for solving time-dependent partial differential equations
[YES] 739/816 | Teaching Models to Teach Themselves: Reasoning at the Edge of Learnability
[NO] 740/816 | Sparse QUBO Formulation for Efficient Embedding via Network-Based Decomposition of Equality and Inequality Constraints
[NO] 741/816 | Cross-Domain Transfer with Self-Supervised Spectral-Spatial Modeling for Hyperspectral Image Classification
[NO] 742/816 | Area-minimizing capillary cones
[NO] 743/816 | Sampling Sphere Packings with Continuum Glauber Dynamics
[NO] 744/816 | Paying Less Generalization Tax: A Cross-Domain Generalization Study of RL Training for LLM Agents
[NO] 745/816 | Holography with an Inner Boundary: A Smooth Horizon as a Sum over Horizonless States
[NO] 746/816 | Saturation numbers for $3$-uniform Berge-$K_4$
[NO] 747/816 | Data-Driven Qubit Characterization and Optimal Control using Deep Learning
[NO] 748/816 | Global Optimization of Atomic Clusters via Physically-Constrained Tensor Train Decomposition
[NO] 749/816 | Emergent Cooperation in Quantum Multi-Agent Reinforcement Learning Using Communication
[NO] 750/816 | Beyond the Checkbox: Strengthening DSA Compliance Through Social Media Algorithmic Auditing
[NO] 751/816 | Novel five-dimensional rotating Lifshitz black holes with electric and axionic charges
[NO] 752/816 | ACM Past, Present, Future
[NO] 753/816 | ARDiS: A Portable and Unified Resource Management Framework in Real Hardware Systems
[NO] 754/816 | Introduction to HPC Programming
[NO] 755/816 | Thermal Attack on RO-PUFs: The Cases of Bulk 65 nm and FDSOI 28 nm
[NO] 756/816 | Confidential Computing on Heterogeneous CPU-GPU Systems: Survey and Future Directions
[NO] 757/816 | Towards an AI-Based Solution of Protein Structure Prediction Problem
[NO] 758/816 | Digital Twins for Cultural Heritage: A Systematic Analysis of the State of the Art
[NO] 759/816 | Utilizing Telepresence Robots in Undergraduate Nursing Simulations
[NO] 760/816 | AI Hands-On
[NO] 761/816 | Earth Observation Data Analysis Using Machine Learning
[NO] 762/816 | RISC-V prototypes for HPC: Maturity and Methods
[NO] 763/816 | A Systematic Literature Review of Healthcare Embedded Systems Using AI-based Biosignal Analysis
[NO] 764/816 | Proceedings of the Conference on ACM Europe Summer School on HPC Computer Architectures for AI and Dedicated Applications
[NO] 765/816 | Session Summary Podcast: Session 3: Machine Memories
[NO] 766/816 | The Digital Revolution of Earth System Modelling
[NO] 767/816 | Distributed Data Analytics for AI in Supercomputing Systems
[NO] 768/816 | Session Summary Podcast: Session 3: Short Papers
[NO] 769/816 | Agent-Based Simulation for Earthquake Disaster Mitigation
[NO] 770/816 | Diagnostic Studies of High-Resolution Global Climate Model
[NO] 771/816 | Getting Started with ROCm/HIP and its Academic Resources
[NO] 772/816 | Session Summary Podcast: Session 2: Special Sessions Papers
[NO] 773/816 | Parallel Programming with MPI and OpenMP Hands-on
[NO] 774/816 | Session Summary Podcast: Session 4: Reframing Vision
[NO] 775/816 | Integration of 3D Earthquake Simulation &amp; Real-Time Data Assimilation
[NO] 776/816 | An Active Learning Framework for Analog Circuit Multi-objective Customization
[NO] 777/816 | Climate Simulations
[NO] 778/816 | Introduction to the Use of Fugaku
[NO] 779/816 | Hands-on for Scientific Benchmarking
[NO] 780/816 | From Viruses to Food and New Drugs, Next Generation AI Applications and High Performance Computing
[NO] 781/816 | BBR Congestion Control Algorithms: Evolution, Challenges and Future Directions
[NO] 782/816 | From Sequence to Function: Applications of Protein Language Models in Protein Design
[NO] 783/816 | Molecular Dynamics Simulations of Biomolecular Systems
[NO] 784/816 | HPC and AI
[NO] 785/816 | A deep dive into sustainable generative AI and HPC systems
[NO] 786/816 | SCPL: Enhancing Neural Network Training Throughput with Decoupled Local Losses and Model Parallelism
[NO] 787/816 | Scientific Benchmarking
[NO] 788/816 | Introduction to HPC Applications and Systems
[NO] 789/816 | Solving 3D Puzzles of Biomolecular Interactions by Integrative Modelling: Part 1
[NO] 790/816 | Turing Lecture: A Not So Simple Matter of Software
[NO] 791/816 | ASEAN School on High-Performance Computing and Artificial Intelligence
[NO] 792/816 | AI Factories in the European HPC Ecosystem
[NO] 793/816 | Building and Evolving a Multilingual LLM: From First Steps to Specialization
[NO] 794/816 | Quick Start to Quantum Computing: Programming Variational Algorithms with CUDA-Q
[YES] 795/816 | GAEDM: Genetic Algorithm-Enhanced Static Analysis for Detection of API Hashing Obfuscation in Malware
[NO] 796/816 | Session Summary Podcast: Proceedings of the 7th Joint Workshop on CPS&amp;IoT Security and Privacy
[NO] 797/816 | Introduction to Performance Analysis and Optimization of HPC Applications
[NO] 798/816 | Session Summary Podcast: Session 5: Doctoral Symposium
[NO] 799/816 | The Use of LLMs and Other AI Models in Science
[NO] 800/816 | Scalable Methods for Storing and Retrieving Wikipedia Revision Histories for Large-Scale Analysis
[NO] 801/816 | Virtual Fugaku: Your own Fugaku on Cloud Service
[NO] 802/816 | Qilimanjaro Workshop: Practical Introduction to Quantum Computing
[NO] 803/816 | Session Summary Podcast: Session 5: Subversive Agencies
[NO] 804/816 | Session Summary Podcast: Session 6: Demo Papers
[NO] 805/816 | Session Summary Podcast: Session 2: Ecological Worlding
[NO] 806/816 | Solving 3D Puzzles of Biomolecular Interactions by Integrative Modelling: Part 2
[NO] 807/816 | A Co-optimization Framework for Multi-layer Design Rule Constraints
[NO] 808/816 | Scaling up Computing Chip(lets) for the Generative AI Era
[NO] 809/816 | Session Summary Podcast: Session 6: Mediated Data
[NO] 810/816 | Session Summary Podcast: Session 4: Brave New Idea
[NO] 811/816 | MERINDA: Model Recovery in FPGA-Based Dynamic Architecture for Edge and Physical AI
[NO] 812/816 | Expedited development of novel RISC-V instructions through an emulation-simulation framework
[NO] 813/816 | Session Summary Podcast: Session 1: Embodied Sensing
[NO] 814/816 | Atomistic Simulations and Applications for Drug Design
[NO] 815/816 | Opening of School
[NO] 816/816 | AI for Materials Discovery
筛选完成：共 816 篇；Yes = 37 篇；已保存到 papers/select_paper2026-01-26.json。
邮件发送成功！
[2026-01-27 09:36:08] 任务执行成功！
