[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | ZoneSep: A Lightweight End-to-End Neural Beamformer with Post-mask Decoder for In-vehicle Multi-zone Speech Separation
[IEEE] 2026-6-8 | MobileROS: A Wireless-Native Robot Operating System for Mobile Robotics
[ACM] 2026-6-8 | Uniformity Analysis in the WebGPU Shading Language
[IEEE] 2026-6-8 | Robust Initial Alignment for Industrial Autonomous Vehicles Under Severe Vibrations: A Dynamic Kernel VB-MCC-KF Approach
[IEEE] 2026-6-8 | An Autonomous Fault Monitoring Method for GEO Satellite Solar Arrays Integrating Physical Models with Data-Driven Techniques
[IEEE] 2026-6-8 | Constrained Learning-to-Rank for Controlled Trade-offs in Multi-Objective Ranking Systems
[IEEE] 2026-6-8 | Development of MID based fully integrated Radar Systems for the Automotive Industry
[IEEE] 2026-6-8 | Multi parameter discrimination using multiple spectral troughs in a cascaded fiber sensor
[IEEE] 2026-6-8 | Multi-channel Enhanced Synchro-Reassignment Transform for Robust Identification of Sub/Super-Synchronous Oscillations Using Synchronized Measurements
[IEEE] 2026-6-8 | Enhanced U-Net with Prior Disentanglement and global topology enhancement for ROP Vessel Segmentation
                    <sup>*</sup>
[IEEE] 2026-6-8 | A novel pneumatic energy storage system: An analysis from the energy perspective
[IEEE] 2026-6-8 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp3-3693142.mp4
[IEEE] 2026-6-8 | SmarTracker: Leveraging LLMs to Automate User Behavior Tracking in Mobile Apps
[IEEE] 2026-6-8 | Distributed Retrospective Federated Learning for Microwave Passive Circuit Design
[IEEE] 2026-6-8 | Physics-Driven Electromagnetic Inverse Scattering With Limited-Aperture Measurements
[IEEE] 2026-6-8 | Crop Dynamic Root Depth Matched High-resolution Multi-layer Soil Moisture Dataset Generated by In-situ-Remote Sensing Data Fusion
[IEEE] 2026-6-8 | A Novel Cooperative Positioning Algorithm Based on High-Precision IMU Preintegration and Adaptive Sliding Observation Optimization
[IEEE] 2026-6-8 | HF-DGF: Hybrid Feedback Guided Directed Grey-box Fuzzing
[IEEE] 2026-6-8 | sUAV-JSL: A Novel Single UAV-Based Jamming Sources Localization Scheme in GNSS and Communication Denial Environment
[IEEE] 2026-6-8 | IEEE Consumer Technology Society
[IEEE] 2026-6-8 | Prototype-Guided Unsupervised Semantic Segmentation with Explicit Concept Modeling
[IEEE] 2026-6-8 | IEEE Consumer Technology Society Board of Governors
[IEEE] 2026-6-8 | Comprehensive Optimization of RPMFS Motors Considering Variable Numbers of Slots and Poles
[IEEE] 2026-6-8 | SGprAle: Self-Supervised Gaussian Process Regression for Average Localisation Error Estimation in Wireless Networks
[IEEE] 2026-6-8 | Detecting SQLi Attacks Using a Compact Transformer-based Machine-Learning Framework
[IEEE] 2026-6-8 | Embedded Artificial Intelligence for Intelligent Diagnosis of Skin Lesions Using TinyML
[IEEE] 2026-6-8 | A review of autonomous obstacle avoidance and path planning technology for micro-UAVs in complex environments
[IEEE] 2026-6-8 | Spectrum Sensing: a comparative study between Algorithms based on Eigenvalues and Energy for Cognitive Radio
[IEEE] 2026-6-8 | Integrating Sustainability Competencies into Engineering Curricula: Jordan as a Case Study
[IEEE] 2026-6-8 | Chemist-Interpretable Explainable AI Through Semantic Knowledge Graphs: A Cross-Domain Framework for Molecular and Materials Property Prediction
[IEEE] 2026-6-8 | Hybrid Multi-Scale CNN and Vision Transformer Model for Accurate Skin Lesion Classification
[IEEE] 2026-6-8 | Medical Insurance Pricing and Affordability: Patterns, Risks, Cost Drivers
[IEEE] 2026-6-8 | Long-Term IEEE 802.15.4 Propagation Modeling in Millet Fields Using Machine Learning
[IEEE] 2026-6-8 | YOLOv5-MST: Mode Selection Transformer for All-Weather Ship Detection
[IEEE] 2026-6-8 | Heart Disease Prediction Using an Ensemble K-Nearest Neighbors Model Integrated with an Interactive Health Chatbot
[IEEE] 2026-6-8 | From Prediction to Performance: Evaluating How Machine Learning Accuracy Affects Industrial System Availability
[IEEE] 2026-6-8 | AutoCam: Hierarchical Path Planning for an Autonomous Auxiliary Camera in Surgical Robotics_supp2-3699217.mp4
[IEEE] 2026-6-8 | EDA-DM: Enhanced Distribution Alignment for Post-Training Quantization of Diffusion Models
[IEEE] 2026-6-8 | Comparing LLMs for Phishing Email Detection
[IEEE] 2026-6-8 | PhotoChain: A Blockchain-based Framework for Secure and Verifiable Cross-Platform Photo Sharing
[IEEE] 2026-6-8 | An IoT-Enabled Real-Time Student Learning Environment for Continuous Monitoring and Personalized Feedback
[IEEE] 2026-6-8 | Design of Experiments for Hyperparameter Optimization in VGG16-Based Acne Classification with Explainable AI
[IEEE] 2026-6-8 | Metaheuristic Optimization of Authentication Thresholds
[IEEE] 2026-6-8 | Smart Manufacturing Optimization System: An AI-Driven Approach for SME
[IEEE] 2026-6-8 | Tracking multiple sources under angle-only measurements of multiple passive sonar sensors in cluttered 3D environments
[IEEE] 2026-6-8 | Distributed Synchronisation of Heterogeneous Dynamical Networks With Nonlinear Diffusive Couplings
[IEEE] 2026-6-8 | Time-Varying Robust Sampled-Data High-Order Control Barrier Functions with Variable Sampling
[ACM] 2026-6-8 | Storybook Futures: A Public Installation for Speculative Narrative Exploration
[ACM] 2026-6-8 | Tracing the Impact: A Longitudinal Study of Accessibility Training
[ACM] 2026-6-8 | Chicago LEAD Program: Learning from Experience in AI Development
[ACM] 2026-6-8 | Replicating and Extending Small, All-Women CS1 Courses: A Six-Year Experience at a Hispanic-Serving R1 Institution
[IEEE] 2026-6-8 | Artificial Intelligence for Sustainable Agriculture and Improved Nutritional Outcomes
[IEEE] 2026-6-8 | Optimizing Neural Machine Translation: Enhancing Data and Decoding Efficiency
[IEEE] 2026-6-8 | Biosensing in the Internet of Medical Things: A System Architecture and Design-Oriented Survey
[IEEE] 2026-6-8 | Advanced Detection and Prediction of Defects in Photovoltaic Power Plants Using Artificial Intelligence and Smart Sensors: A Comprehensive Review
[IEEE] 2026-6-8 | City Scope A Smart Parking Management System for Real-Time Vehicle Detection and Tracking
[IEEE] 2026-6-8 | An Adaptive Encryption-Inference Two-Layer Security Algorithm Framework for Scientific and Technological Achievement Databases
[IEEE] 2026-6-8 | SCHEMEFORGE-AI: An Intelligent Framework for Automated Scheme Analysis and Recommendation using Artificial Intelligence
[IEEE] 2026-6-8 | PaudhRog: Plant Leaf Disease Detection using Transfer Learning with InceptionResNetV2
[IEEE] 2026-6-8 | Effect of nTiC addition on the performance improvement of pyramid solar still - A Renewable Energy Focus on Sustainability
[IEEE] 2026-6-8 | SecureCloudOpt: Risk-Constrained Hybrid Metaheuristic Optimization for Security-Aware VM Placement with Co-Residency Mitigation
[IEEE] 2026-6-8 | ML in medical research: A bibliometric analysis of methodological evolution and clinical applications
[IEEE] 2026-6-8 | Numerical Analysis of Fin-Enhanced PCM Cooling Using Different Heat Sink Materials for Photovoltaic System
[IEEE] 2026-6-8 | Optimization-Enabled Information Management Architecture for Smart Digital Enterprises
[IEEE] 2026-6-8 | Improving Avocado Detection in Isochromatic Foliage using YOLOv11 and Piecewise Linear Contrast Stretching
[IEEE] 2026-6-8 | ThermoLine-Net: A Deep Learning–Based Algorithm for Overheating Detection in Transmission Lines
[IEEE] 2026-6-8 | Performance Simulation and Analysis of Bdsbas for Civil Aircraft Navigation
[IEEE] 2026-6-8 | PGT-GAN: Privacy-Gradient Tabular Generative Adversarial Network
[IEEE] 2026-6-8 | Graph Neural Networks for Causal Inference in Climate Science: A Novel Approach to Model Modeling Complex Interactions
[IEEE] 2026-6-8 | Efficient Fine-Tuning Strategies for LLMs in Low-Resource Environments
[IEEE] 2026-6-8 | Performance Analysis of Equal Gain Combining and Maximal Ratio Combining over Correlated Weibull fading channels – A Review
[IEEE] 2026-6-8 | Spectrum Sensing Integration and Cross-Layer Optimisation in Cognitive Radio Routing Protocol
[IEEE] 2026-6-8 | Optimal Financial Portfolio Management Using Deep Transfer Learning with Real-Time Financial Data in Cloud Computing Platform
[IEEE] 2026-6-8 | Experimental Evaluation of SMOTE for Rare Cyberattack Detection in IoT Environments
[IEEE] 2026-6-8 | Able Vista: A Technology-Driven Platform for Enhancing Learning Outcomes Among Special Learners
[IEEE] 2026-6-8 | The Impact of Artificial Intelligence Applications on Visual Effects Workflows in Virtual Reality Animated Visual Presentations
[IEEE] 2026-6-8 | Classification of Breast Cancer Types Using Machine Learning
[IEEE] 2026-6-8 | Architectural Invariants for Designing Multi-Agent Energy Management Systems in Microgrids
[IEEE] 2026-6-8 | A Vehicle-Mounted Measurement Method for Longitudinal Slope of Unclassified Roads Based on Adaptive Wavelet Denoising
[IEEE] 2026-6-8 | Fiber Optic Temperature Sensors and Machine Learning-Fused Signal Demodulation Methods
[IEEE] 2026-6-8 | Towards Sustainable Textile Manufacturing: Implementing Intelligent Predictive Maintenance in the Indian Context
[IEEE] 2026-6-8 | An Ensemble Machine Learning Approach for Imbalanced Brain Stroke Prediction
[IEEE] 2026-6-8 | Self-adaptive graph learning approach for Spectral Clustering with soft-label assignment
[IEEE] 2026-6-8 | Enhancing Response Mechanisms Against LOLBAS Threats in SCADA Environments: Ablation Study and Practical Implications
[IEEE] 2026-6-8 | Manufacturing of double molded 3D freeform antennas based on Fan-Out Wafer Level Packaging (FOWLP) technologies by compression molding and direct Cu metallization
[IEEE] 2026-6-8 | Dual-Mode Adaptive Memory-Anchored Target State Estimation Based on Shooting Event Triggering under Dense False Measurements
[IEEE] 2026-6-8 | Influence of Geometrical Battery Electrode Defects on the Format-Flexible Laser Singulation Process
[IEEE] 2026-6-8 | Ultrasonic experimental study of the water quality: Impact of salinity
[IEEE] 2026-6-8 | Nonlinear Backstepping control of grid-connected wind energy system using Vienna rectifier and Half-Bridge inverter
[IEEE] 2026-6-8 | A Hierarchical Fusion Method Based on Dempster-Shafer Theory for Interoperability Assessment of Complex System
[IEEE] 2026-6-8 | Mining Mathematical Misconceptions Using Deep Learning and Large Language Models
[IEEE] 2026-6-8 | 2026 International Conference on Multi-scale Artificial Intelligence (MAI)
[IEEE] 2026-6-8 | TamOCR: A Lightweight LLM-Assisted OCR Framework for Digitizing Tamil-Brahmi Inscriptions
[IEEE] 2026-6-8 | An Ethical Intent-Aware Electric Fence System
[IEEE] 2026-6-8 | Collaborative Robot Automated Transcranial Magnetic Stimulation Coil Characterization
[IEEE] 2026-6-8 | PathRWKV: Enhancing Whole Slide Image Inference with Asymmetric Recurrent Modeling
[IEEE] 2026-6-8 | FPGA Implementation of Face Detection System Using MTCNN on ZCU104 Board
[IEEE] 2026-6-8 | Mitigation of Random Body Movement Artifacts in Radar-Based Vital Sign Monitoring
[IEEE] 2026-6-8 | Online Transient Frequency Prediction via Physics-Data Fusion with Swarm Intelligence Optimization
[IEEE] 2026-6-8 | Self-Adaptive Flood Extractor (SAFE): A Lightweight Spatiotemporal Gap-Filling Framework for Cloud-Prone Areas Using GEE
[IEEE] 2026-6-8 | Optimization of a Hybrid PV–Wind–Battery System for Off-Grid Rural Electrification in the High Atlas of Morocco
[IEEE] 2026-6-8 | Additional Reviewers
[IEEE] 2026-6-8 | Breathing Rate Estimation from Data Fusion of Multiple Elevated and Tilted FMCW Radars
[IEEE] 2026-6-8 | Construction of Deep Learning-Based Dynamic Early Warning Model for Charging Resource Capacity
[IEEE] 2026-6-8 | Trans-Intestinal Port for Periodic Drug Refilling: Bridging Ingestible Capsules and Implantable Devices_supp2-3699210.mp4
[IEEE] 2026-6-8 | ChamVerDB: A Chameleon Hash-based Secure and Efficient Verifiable Outsourced Database
[IEEE] 2026-6-8 | Graph-Based Reinforcement Learning for Minimizing Population Mortality in Epidemic Networks
[IEEE] 2026-6-8 | Analyzing the Impact of Service Stages on Demand and Modal Shift for Urban Air Mobility: A Case Study of Seoul Metropolitan Area
[IEEE] 2026-6-8 | GPU-Accelerated Simulation of Densely Connected Tensegrity Networks for Statistical Analysis of Morphological Convergence
[IEEE] 2026-6-8 | Adaptive High-Speed Radar Signal Processing Architecture for 3-D Localization of Multiple Targets on System on Chip
[ACM] 2026-6-8 | SureDistrib: Verifying Almost-Sure Termination of Composite Asynchronous Byzantine Protocols
[IEEE] 2026-6-8 | Production Atmosphere Requirements for the Use of Direct-Contact Prelithiation within Lithium-Ion Battery Production
[IEEE] 2026-6-8 | Feature selection method to improve time series forecasting of Moroccan GDP using deep learning
[IEEE] 2026-6-8 | A Small-Range High-Resolution Linear Displacement Encoder Based on Electromagnetic Resonance
[IEEE] 2026-6-8 | 2026 6th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)
[IEEE] 2026-6-8 | The Effects of Visual-Olfactory Interactions With Moving Particles on EEG-Based Emotional Classification in AR Environments
[IEEE] 2026-6-8 | IEEE Access
[IEEE] 2026-6-8 | Effect of IBR Negative-Sequence Control on Phase-to-Phase Fault Direction Determination
[IEEE] 2026-6-8 | A Fault Diagnosis and Differentiated Processing Strategy for Grid Side Overcurrent Faults in Electric Traction Drive System
[IEEE] 2026-6-8 | Quantum Software Size: What Do We Measure, How and Why? A Systematic Literature Review
[ACM] 2026-6-8 | Supermartingales for Unique Fixed Points: A Unified Approach to Lower Bound Verification
[ACM] 2026-6-8 | Incremental Computation for Efficient Programmable Inference in Probabilistic Programs
[ACM] 2026-6-8 | Redundant Array Computation Elimination
[ACM] 2026-6-8 | Evolving Abstract Transformers for Gradient-Guided, Adaptable Abstract Interpretation
[ACM] 2026-6-8 | Versioned E-Graphs
[ACM] 2026-6-8 | Belonging in Computing: The Roles of Peer, Mentor, and Departmental Support for Women of Color
[ACM] 2026-6-8 | Decolonizing Computer Science Education: Queer, Indigenous, Ecofeminist, and New Materialist Approaches
[ACM] 2026-6-8 | Beyond the Pilot Trap: XR Business Models and Ecosystem Sustainability in Finland's Creative Industries
[ACM] 2026-6-8 | Across the Universe of Autobiographical Media Memories in Space and Time
[ACM] 2026-6-8 | Making Ethics Matter: Relatable Pedagogical Approaches for Every Computer Science Student
[ACM] 2026-6-8 | Community-Based AI Learning: Redistributing Artificial Intelligence's Epistemic Authority in Education
[IEEE] 2026-6-8 | Structural Node Representation on Irregular Roles
[IEEE] 2026-6-8 | Influence of Grafting Modification on the Intrinsic Electronic Structure of Polypropylene Cable Insulation Materials: Insights from Single-Molecule Density Functional Theory
[IEEE] 2026-6-8 | Compact Hybrid-Mode Diplexer With Nonresonant Nodes Based on MISL Technology
[ACM] 2026-6-8 | SuperDP: Differential Privacy Refutation via Supermartingales
[ACM] 2026-6-8 | SSA without Dominance for Higher-Order Programs
[IEEE] 2026-6-8 | Performance Enhancement of Classic and Differential P &amp; O MPPT Used in PV System
[IEEE] 2026-6-8 | A Wideband Parasitic Patch Antenna in a Rigid-Flex Thin Substrate for on-Body Communication
[IEEE] 2026-6-8 | Advanced Artificial Intelligence-Based Adaptive Approaches for Personalized Education: A Literature Review and Research Perspectives
[IEEE] 2026-6-8 | A Comprehensive Review of Wireless Communication Protocols for Battery Management Systems in Electric Vehicles
[IEEE] 2026-6-8 | Fault Diagnosis in Analog Circuits Using Quadratic Discriminant Analysis Classifier
[IEEE] 2026-6-8 | A Machine Learning-Based Calibration Method for a Wind-Speed Measurement Unit in Power-Grid Meteorological Devices
[IEEE] 2026-6-8 | First Experimental Demonstration of Metasurface-Enhanced Detection of Small Scatterers Using an Open-Ended Coaxial Probe
